benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	423342926419	612073421000	5498713000
IXGo	LLGoFullLTOGlobalDCEPlugin	428211359360	611520137000	5415225000
IXGo	LLGoFullLTONoGlobalDCE	404713627228	607772925000	5714649000
IXGo	LLGoDeadcodeDrop	155975869367	492619119000	5890553000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	190660494233	289140196000	4036949000
Etcdctl	LLGoFullLTOGlobalDCE	189287619084	287001488000	3994211000
Etcdctl	LLGoFullLTONoGlobalDCE	189078053070	284940291000	4035882000
Etcdctl	LLGoDeadcodeDrop	67233685644	193793924000	3378340000
Etcdctl	LLGoNoLTO	66097833477	192377480000	3276690000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	124186466847	191869579000	2810291000
XGo	LLGoFullLTONoGlobalDCE	149027111855	188093559000	3321450000
Uber_zap	LLGoFullLTOGlobalDCE	111714565265	187668803000	3443732000
XGo	LLGoFullLTOGlobalDCE	146809164437	187254204000	3324729000
XGo	LLGoFullLTOGlobalDCEPlugin	144026984563	183500632000	3312264000
Aws_restjson	LLGoFullLTONoGlobalDCE	133194668550	160824481000	2794603000
Aws_restjson	LLGoFullLTOGlobalDCE	109295803561	139575981000	2719864000
Uber_zap	LLGoFullLTONoGlobalDCE	102468375492	123676910000	2435278000
K8s_workqueue	LLGoFullLTONoGlobalDCE	99387271422	117525113000	2410041000
K8s_workqueue	LLGoFullLTOGlobalDCE	96061190828	114141363000	2373509000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	95348146834	113451068000	2356906000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	88480216845	110214637000	2462615000
Gorm_schema	LLGoFullLTONoGlobalDCE	71029234500	101813672000	2235476000
Toml	LLGoFullLTOGlobalDCEPlugin	56876245771	94292742000	2393326000
XGo	LLGoDeadcodeDrop	37727286705	91212050000	2642138000
IXGo	LLGoNoLTO	33403464863	75196687000	3521743000
Aws_restjson	LLGoNoLTO	37581288980	73611897000	2354801000
Aws_restjson	LLGoDeadcodeDrop	35759823564	72710416000	2303609000
Gorm_schema	LLGoFullLTOGlobalDCE	55484464736	69653937000	1613003000
Toml	LLGoFullLTONoGlobalDCE	52283888736	61218683000	1416554000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	44116692138	59769945000	1557165000
XGo	LLGoNoLTO	26119172489	50810818000	2271920000
Uber_zap	LLGoDeadcodeDrop	23249988586	49598371000	2025519000
Toml	LLGoFullLTOGlobalDCE	40352387362	49413377000	1385727000
Uber_zap	LLGoNoLTO	22758974508	48417412000	2058670000
K8s_workqueue	LLGoDeadcodeDrop	21711589361	43901425000	2131012000
Dustin_humanize	LLGoFullLTONoGlobalDCE	35721424867	41177307000	1277605000
Gorm_schema	LLGoNoLTO	11868516675	34049033000	1391289000
K8s_workqueue	LLGoNoLTO	18562088586	33171837000	1870573000
Dustin_humanize	LLGoFullLTOGlobalDCE	26416213909	32167973000	1235754000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25493929862	31256810000	1242714000
Gorm_schema	LLGoDeadcodeDrop	10939125432	29668638000	1363676000
Toml	LLGoDeadcodeDrop	8190836329	19350728000	1302113000
Dustin_humanize	LLGoDeadcodeDrop	6155083777	14455781000	1184457000
Toml	LLGoNoLTO	5368228285	11975526000	1215306000
Dustin_humanize	LLGoNoLTO	4582441080	10071208000	1062456000
IXGo	Go	1118480745	1722651000	233192000
Etcdctl	Go	737930164	1108590000	175405000
XGo	Go	704848766	879497000	179440000
Aws_restjson	Go	537059182	840122000	208067000
K8s_workqueue	Go	400823762	580382000	100453000
Uber_zap	Go	365750569	557339000	105638000
Toml	Go	294636305	446382000	84622000
Gorm_schema	Go	329618536	433850000	86229000
Dustin_humanize	Go	193902678	282003000	74751000
