benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	533434917764	726826475000	5793098000
IXGo	LLGoFullLTONoGlobalDCE	533323004220	716117976000	5647212000
IXGo	LLGoFullLTOGlobalDCEPlugin	526158579261	709534559000	5923459000
IXGo	LLGoDeadcodeDrop	137615651188	361833815000	5064606000
IXGo	LLGoNoLTO	129304115714	353046652000	4885587000
Etcdctl	LLGoFullLTOGlobalDCE	138397693690	225255044000	4353527000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	137139365621	223680178000	4150661000
Etcdctl	LLGoFullLTONoGlobalDCE	138328001407	223331244000	4184853000
Etcdctl	LLGoDeadcodeDrop	55796419733	164085050000	3951109000
Etcdctl	LLGoNoLTO	54561271843	162192533000	3725932000
XGo	LLGoFullLTOGlobalDCEPlugin	104480819932	143033100000	2809985000
XGo	LLGoFullLTONoGlobalDCE	104646312498	141934077000	2813910000
XGo	LLGoFullLTOGlobalDCE	103772546215	141404973000	2670139000
Aws_restjson	LLGoFullLTONoGlobalDCE	111942604356	135716491000	1811778000
Aws_restjson	LLGoFullLTOGlobalDCE	100414845320	125033175000	1765041000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	100354779324	124781035000	1800868000
Uber_zap	LLGoFullLTONoGlobalDCE	69275871438	86839144000	1427705000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	66497146024	82671041000	1424527000
K8s_workqueue	LLGoFullLTOGlobalDCE	66312954758	82065202000	1410850000
K8s_workqueue	LLGoFullLTONoGlobalDCE	66717950210	81793492000	1327227000
XGo	LLGoDeadcodeDrop	32420222343	80427510000	2348972000
XGo	LLGoNoLTO	31907736523	78743396000	2264980000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	60059675404	78377796000	1445532000
Uber_zap	LLGoFullLTOGlobalDCE	59878520156	77595135000	1405184000
Aws_restjson	LLGoDeadcodeDrop	33584180211	62908122000	1564442000
Aws_restjson	LLGoNoLTO	33337202204	62424843000	1555787000
Gorm_schema	LLGoFullLTONoGlobalDCE	37879488225	50566890000	1071907000
Gorm_schema	LLGoFullLTOGlobalDCE	37233222867	50123944000	1126680000
Uber_zap	LLGoDeadcodeDrop	19831916583	42319479000	1237829000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	28668698220	41707541000	1041376000
Uber_zap	LLGoNoLTO	19252319754	41530428000	1185798000
Toml	LLGoFullLTONoGlobalDCE	33121499936	40749026000	856037000
K8s_workqueue	LLGoDeadcodeDrop	19107128068	37677487000	1226389000
K8s_workqueue	LLGoNoLTO	17659122286	35816800000	1144492000
Toml	LLGoFullLTOGlobalDCEPlugin	26497458227	34332543000	777647000
Toml	LLGoFullLTOGlobalDCE	26333131254	34097003000	828696000
IXGo	Go	10125595446	32300813000	2548619000
Gorm_schema	LLGoDeadcodeDrop	9931107850	26825037000	903194000
Dustin_humanize	LLGoFullLTONoGlobalDCE	22450323497	26828328000	653339000
Gorm_schema	LLGoNoLTO	9746906451	26263423000	886150000
Etcdctl	Go	7918611455	24234155000	1746137000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	14891008815	19423059000	625370000
Dustin_humanize	LLGoFullLTOGlobalDCE	14808384182	19370460000	566562000
Toml	LLGoDeadcodeDrop	6361852054	16237634000	710952000
Toml	LLGoNoLTO	6362776531	16017575000	710197000
XGo	Go	4400112324	13856585000	976703000
Dustin_humanize	LLGoDeadcodeDrop	4372926579	9376156000	531415000
Dustin_humanize	LLGoNoLTO	4242233314	8913839000	502374000
Aws_restjson	Go	2683374167	5696171000	601882000
Gorm_schema	Go	1728013157	4111401000	328787000
Uber_zap	Go	1648281639	3753736000	387084000
K8s_workqueue	Go	1350639172	3314164000	386079000
Toml	Go	751978532	1423284000	186368000
Dustin_humanize	Go	314719245	516262000	123424000
