benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTOGlobalDCE	188137534332	190006825000	5698039000
Aws_restjson	LLGoFullLTONoGlobalDCE	186405514713	193315115000	5216013000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	154994523613	160583519000	3280575000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	134759804863	136706950000	3972640000
Aws_restjson	LLGoNoLTO	124512748411	125393758000	5916493000
Uber_zap	LLGoFullLTONoGlobalDCE	106524169863	109280699000	2601499000
K8s_workqueue	LLGoFullLTONoGlobalDCE	96236039228	98941667000	2527850000
K8s_workqueue	LLGoFullLTOGlobalDCE	81909278006	88434501000	2333369000
Toml	LLGoFullLTOGlobalDCEPlugin	73766037921	72597897000	2916911000
Uber_zap	LLGoFullLTOGlobalDCE	73102775225	80702903000	2245651000
Toml	LLGoNoLTO	71831541912	69646197000	6303616000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	70582496936	79411167000	2197023000
Toml	LLGoFullLTONoGlobalDCE	62849119799	61477636000	1530789000
Gorm_schema	LLGoFullLTONoGlobalDCE	55368208206	60155741000	1614638000
Gorm_schema	LLGoFullLTOGlobalDCE	54655516227	57897709000	1655042000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	44839511058	48174902000	1658990000
Uber_zap	LLGoNoLTO	43397569896	46618718000	2907701000
Dustin_humanize	LLGoFullLTONoGlobalDCE	38694907440	40415318000	1214927000
Toml	LLGoFullLTOGlobalDCE	37367239641	40577293000	1347432000
Gorm_schema	LLGoNoLTO	26900069475	30119928000	2008393000
Dustin_humanize	LLGoFullLTOGlobalDCE	25855419019	28221892000	1186248000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25828252932	28117426000	1167917000
K8s_workqueue	LLGoNoLTO	21754148906	28418106000	2256786000
Dustin_humanize	LLGoNoLTO	18086036847	16015697000	1339869000
Aws_restjson	Go	1375903508	881542000	171015000
K8s_workqueue	Go	958958450	752030000	161657000
Uber_zap	Go	906701077	606226000	115105000
Dustin_humanize	Go	389234305	332001000	58948000
Toml	Go	367804938	416092000	83307000
Gorm_schema	Go	260833367	381954000	84427000
