benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	327511292626	503420231000	6445485000
Etcdctl	LLGoFullLTONoGlobalDCE	283525103978	455374960000	7741453000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	261548638728	406931129000	4956539000
IXGo	LLGoFullLTOGlobalDCEPlugin	291835839283	396402990000	5244262000
IXGo	LLGoFullLTONoGlobalDCE	285897085228	389607760000	5210779000
Etcdctl	LLGoFullLTOGlobalDCE	244357089770	343448281000	4083297000
IXGo	LLGoNoLTO	105610837899	326464884000	6985117000
IXGo	LLGoDeadcodeDrop	82283161890	247192087000	4531764000
Aws_restjson	LLGoNoLTO	64251677697	206834843000	3794824000
Etcdctl	LLGoDeadcodeDrop	59190661368	196550872000	3293264000
Etcdctl	LLGoNoLTO	56136409276	186841107000	3251798000
XGo	LLGoFullLTONoGlobalDCE	138008003928	181786383000	2877096000
XGo	LLGoFullLTOGlobalDCEPlugin	134529115820	179977295000	2740718000
XGo	LLGoFullLTOGlobalDCE	130865954059	161955147000	2889384000
Aws_restjson	LLGoFullLTONoGlobalDCE	115488282919	147121323000	2417551000
Aws_restjson	LLGoFullLTOGlobalDCE	99650199667	126820560000	2359683000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	98686332094	125382720000	2332377000
Uber_zap	LLGoFullLTONoGlobalDCE	87283199347	106621791000	2165007000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	72666178024	98731566000	2597407000
XGo	LLGoDeadcodeDrop	32214237250	97307521000	2360488000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79768176208	95035312000	2243883000
K8s_workqueue	LLGoFullLTOGlobalDCE	80113429640	95057629000	2073538000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	79828729045	94598521000	2254036000
Toml	LLGoDeadcodeDrop	31507861248	88892454000	2135874000
Uber_zap	LLGoFullLTOGlobalDCE	67848318898	87530068000	2111191000
K8s_workqueue	LLGoDeadcodeDrop	27350903943	81115855000	2229177000
XGo	LLGoNoLTO	24996963905	68998494000	2855055000
Aws_restjson	LLGoDeadcodeDrop	28684074703	67811498000	2047829000
Gorm_schema	LLGoFullLTOGlobalDCE	49303656925	65928959000	1605703000
Gorm_schema	LLGoFullLTONoGlobalDCE	51213341670	65580281000	1409853000
Toml	LLGoFullLTONoGlobalDCE	43695576158	52393545000	1305299000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37566123789	52274892000	1389363000
Toml	LLGoFullLTOGlobalDCE	35224194866	44303357000	1257293000
Toml	LLGoFullLTOGlobalDCEPlugin	35082355139	43930838000	1249751000
IXGo	Go	12171361387	39345470000	3344726000
Dustin_humanize	LLGoFullLTONoGlobalDCE	35688433486	41524568000	1118833000
Uber_zap	LLGoDeadcodeDrop	13681877930	38657115000	1883858000
Uber_zap	LLGoNoLTO	13405797705	37746269000	1845616000
Gorm_schema	LLGoDeadcodeDrop	10925628642	32743581000	1234292000
Dustin_humanize	LLGoFullLTOGlobalDCE	25001507299	30871258000	1090927000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25013488194	30828844000	1129128000
K8s_workqueue	LLGoNoLTO	8858971348	22412296000	1728567000
Etcdctl	Go	5649099579	15867666000	832795000
Gorm_schema	LLGoNoLTO	5687665964	14266420000	1198983000
Toml	LLGoNoLTO	4931637239	12083370000	1011493000
Dustin_humanize	LLGoNoLTO	4730776223	10950440000	975081000
Dustin_humanize	LLGoDeadcodeDrop	4667846476	10770465000	979809000
XGo	Go	2756594836	5952663000	486288000
Gorm_schema	Go	2034901348	5074016000	323043000
Aws_restjson	Go	1844461074	4518259000	401913000
Uber_zap	Go	1269908132	2731292000	220693000
K8s_workqueue	Go	866049209	1984191000	217724000
Dustin_humanize	Go	313031739	555662000	73827000
Toml	Go	333068201	450257000	83208000
