benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	450544023839	489872106000	10944418000
IXGo	LLGoFullLTOGlobalDCE	418511253686	428475520000	7448633000
IXGo	LLGoFullLTOGlobalDCEPlugin	363690142238	387286724000	6549481000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	319566256386	343558041000	6931730000
Etcdctl	LLGoFullLTONoGlobalDCE	310125210711	322686873000	5346004000
Etcdctl	LLGoFullLTOGlobalDCE	258549295512	283962417000	4196372000
IXGo	LLGoNoLTO	243467948780	270884171000	10263248000
Etcdctl	LLGoNoLTO	214166602955	233780031000	9226122000
Uber_zap	LLGoFullLTONoGlobalDCE	210432187881	201038625000	5564633000
XGo	LLGoFullLTOGlobalDCEPlugin	194088126195	192221858000	4359908000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	188306158040	177588662000	5721718000
XGo	LLGoFullLTONoGlobalDCE	180212859176	185342311000	3394873000
K8s_workqueue	LLGoFullLTOGlobalDCE	178912091452	166938819000	4751425000
Aws_restjson	LLGoFullLTONoGlobalDCE	136084242780	136898656000	2562498000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	125937600009	128685197000	2745306000
XGo	LLGoFullLTOGlobalDCE	125478784243	144893828000	2760589000
Uber_zap	LLGoFullLTOGlobalDCE	117186984400	109374107000	2334464000
K8s_workqueue	LLGoFullLTONoGlobalDCE	117093937390	113487937000	2296170000
XGo	LLGoNoLTO	103250385598	124588353000	5782063000
Aws_restjson	LLGoFullLTOGlobalDCE	99794416109	111515104000	2275982000
Dustin_humanize	LLGoNoLTO	99064238347	77958744000	5925866000
Aws_restjson	LLGoNoLTO	94619004624	91624183000	4191932000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	85109698719	90571490000	2052138000
Gorm_schema	LLGoFullLTOGlobalDCE	75192956598	71856929000	1623968000
Uber_zap	LLGoNoLTO	72366113963	78922383000	3768659000
Toml	LLGoFullLTONoGlobalDCE	68553934138	64434199000	1305521000
Toml	LLGoFullLTOGlobalDCE	58407658002	54337584000	1269708000
Gorm_schema	LLGoFullLTONoGlobalDCE	57467092916	58740258000	1427531000
Toml	LLGoFullLTOGlobalDCEPlugin	46279477353	47106499000	1212126000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	45794534568	48180596000	1604520000
Dustin_humanize	LLGoFullLTOGlobalDCE	44771944447	38342679000	1145998000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	37009581563	36813809000	1105697000
Dustin_humanize	LLGoFullLTONoGlobalDCE	32505806023	36380374000	1001222000
K8s_workqueue	LLGoNoLTO	22024349318	27472293000	1804871000
Gorm_schema	LLGoNoLTO	20760594653	26565353000	1640456000
Toml	LLGoNoLTO	18719001967	18386934000	1223611000
IXGo	Go	16264464555	29375953000	2193313000
Etcdctl	Go	10044071718	14024320000	827263000
Toml	Go	5910091423	1796096000	220994000
Aws_restjson	Go	5654130703	4286710000	392883000
K8s_workqueue	Go	4824060534	1671331000	231909000
Gorm_schema	Go	3986697711	3198214000	173969000
Uber_zap	Go	3715193852	2785748000	215450000
XGo	Go	2987829465	5167705000	371700000
Dustin_humanize	Go	830753805	568194000	86460000
