benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	318165209183	519089993000	8495523000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	258150302800	435877379000	6378850000
IXGo	LLGoFullLTONoGlobalDCE	279220829939	402863167000	5109120000
IXGo	LLGoFullLTOGlobalDCEPlugin	283751271421	397636611000	5000114000
Etcdctl	LLGoFullLTONoGlobalDCE	239255008087	346163857000	3943086000
Etcdctl	LLGoFullLTOGlobalDCE	232479477048	339490968000	3792606000
Etcdctl	LLGoDeadcodeDrop	100116124954	334008685000	4332300000
IXGo	LLGoDeadcodeDrop	96390874736	299259913000	4446348000
Aws_restjson	LLGoFullLTONoGlobalDCE	134635086517	224341754000	3704287000
XGo	LLGoNoLTO	62100385716	208195446000	4396763000
XGo	LLGoFullLTOGlobalDCEPlugin	132532067777	182439092000	2838368000
XGo	LLGoFullLTONoGlobalDCE	129792484154	160957528000	2689788000
XGo	LLGoFullLTOGlobalDCE	126019385959	158337994000	2741614000
Aws_restjson	LLGoFullLTOGlobalDCE	99725411586	129063475000	2338991000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	98663977242	127363970000	2360790000
Uber_zap	LLGoFullLTONoGlobalDCE	86036737422	106699086000	2093631000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79907729222	96021121000	2116378000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	78375784859	94664029000	2086627000
K8s_workqueue	LLGoFullLTOGlobalDCE	77387945244	93354673000	1935077000
Etcdctl	LLGoNoLTO	32038077951	91800122000	2771807000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	69207203357	92262358000	2121033000
Uber_zap	LLGoFullLTOGlobalDCE	67431247697	88694656000	1959507000
Dustin_humanize	LLGoNoLTO	31704218884	69259392000	1957403000
IXGo	LLGoNoLTO	24440523274	67818718000	3071081000
Gorm_schema	LLGoFullLTONoGlobalDCE	51389434087	68689385000	1731648000
Aws_restjson	LLGoNoLTO	28922161116	65535679000	1952435000
Aws_restjson	LLGoDeadcodeDrop	29042252962	64509044000	2048657000
XGo	LLGoDeadcodeDrop	23357334907	62476102000	2356965000
Gorm_schema	LLGoFullLTOGlobalDCE	48312008604	62491879000	1416997000
Toml	LLGoFullLTONoGlobalDCE	43422326201	52715239000	1246730000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37128110047	51458774000	1359365000
Uber_zap	LLGoNoLTO	15430025010	44601287000	2008762000
Toml	LLGoFullLTOGlobalDCEPlugin	35381326014	45182725000	1151147000
Toml	LLGoFullLTOGlobalDCE	34796039201	44338462000	1181055000
Uber_zap	LLGoDeadcodeDrop	14113214226	40136175000	1824942000
Dustin_humanize	LLGoFullLTONoGlobalDCE	34625919912	40835081000	1053444000
IXGo	Go	10986697587	35064725000	2391538000
Gorm_schema	LLGoDeadcodeDrop	11292824639	34325690000	1229100000
Dustin_humanize	LLGoFullLTOGlobalDCE	25416846019	32729421000	1047440000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25275912716	31531713000	1089009000
K8s_workqueue	LLGoNoLTO	10999392623	30036536000	1855692000
K8s_workqueue	LLGoDeadcodeDrop	10716079914	28969698000	1871929000
Toml	LLGoDeadcodeDrop	9701102357	28016411000	1225250000
Etcdctl	Go	5458241058	15722520000	787542000
Gorm_schema	LLGoNoLTO	5927363826	15182323000	1158616000
Toml	LLGoNoLTO	5041582181	12578036000	993911000
Dustin_humanize	LLGoDeadcodeDrop	4828977616	11302982000	922887000
XGo	Go	2424606259	5923459000	382524000
Aws_restjson	Go	1885137225	4641675000	359317000
Gorm_schema	Go	1484506486	3214177000	199508000
Uber_zap	Go	1320984186	2781337000	221011000
K8s_workqueue	Go	804027105	1607818000	168871000
Dustin_humanize	Go	314875622	543615000	75425000
Toml	Go	300197276	452914000	81675000
