benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	549619047843	754196224000	8516483000
IXGo	LLGoFullLTOGlobalDCE	454175943739	634036466000	8035573000
IXGo	LLGoFullLTONoGlobalDCE	424031852269	604240255000	7850768000
IXGo	LLGoNoLTO	140732941372	373423533000	7211126000
IXGo	LLGoDeadcodeDrop	139213495904	372736789000	7242516000
Etcdctl	LLGoFullLTOGlobalDCE	165318555734	272055102000	6143429000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	164563614763	271572526000	6201675000
Etcdctl	LLGoFullLTONoGlobalDCE	165764476243	271298070000	6138128000
Etcdctl	LLGoNoLTO	68844657922	203120326000	5558302000
Etcdctl	LLGoDeadcodeDrop	69114565674	202607815000	5462186000
XGo	LLGoFullLTOGlobalDCEPlugin	124632434743	171352271000	4184595000
XGo	LLGoFullLTOGlobalDCE	123177343220	169657326000	4347526000
XGo	LLGoFullLTONoGlobalDCE	124060025395	169314566000	4127702000
Aws_restjson	LLGoFullLTONoGlobalDCE	122525602473	151866039000	3312238000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	114677081705	144849185000	3203456000
Aws_restjson	LLGoFullLTOGlobalDCE	112133721028	142082955000	3227503000
Uber_zap	LLGoFullLTONoGlobalDCE	83333439899	104708825000	2653034000
K8s_workqueue	LLGoFullLTOGlobalDCE	81570186090	101475649000	2705137000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	81083511681	100482917000	2792334000
XGo	LLGoDeadcodeDrop	40918881121	99116077000	3888562000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80052049374	99086672000	2768796000
XGo	LLGoNoLTO	40418066152	97991780000	3815959000
Uber_zap	LLGoFullLTOGlobalDCE	73909073080	96387197000	2706121000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	72805925282	94882550000	2685382000
Aws_restjson	LLGoDeadcodeDrop	39717972425	77402924000	2907493000
Aws_restjson	LLGoNoLTO	39436917107	76541704000	2862616000
Gorm_schema	LLGoFullLTONoGlobalDCE	45912027117	61547189000	1938104000
Gorm_schema	LLGoFullLTOGlobalDCE	45221496590	61333759000	1888469000
Uber_zap	LLGoNoLTO	25164042393	53240906000	2358018000
Uber_zap	LLGoDeadcodeDrop	25178872801	52591130000	2368569000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34491382074	50366544000	1833094000
Toml	LLGoFullLTONoGlobalDCE	40586794173	50006123000	1617308000
K8s_workqueue	LLGoDeadcodeDrop	24178916205	47063788000	2425493000
K8s_workqueue	LLGoNoLTO	23672266089	46547720000	2410161000
Toml	LLGoFullLTOGlobalDCE	31937284764	41478671000	1553951000
IXGo	Go	12342875827	39883785000	3105321000
Toml	LLGoFullLTOGlobalDCEPlugin	31830630745	41401713000	1552441000
Gorm_schema	LLGoDeadcodeDrop	12801062673	33618250000	1762022000
Gorm_schema	LLGoNoLTO	12445626461	32906088000	1769705000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26724022344	32124787000	1346818000
Etcdctl	Go	9554437607	29669732000	2098281000
Dustin_humanize	LLGoFullLTOGlobalDCE	18130064006	23678159000	1327413000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17943225144	23639561000	1299231000
Toml	LLGoDeadcodeDrop	8521879933	20458059000	1396304000
Toml	LLGoNoLTO	8338674595	20012127000	1477417000
XGo	Go	5335682527	17086007000	1202664000
Dustin_humanize	LLGoDeadcodeDrop	5889274838	11805708000	1223589000
Dustin_humanize	LLGoNoLTO	5772839055	11656348000	1231485000
Aws_restjson	Go	3116296757	6918520000	693211000
Gorm_schema	Go	2080335958	5116327000	369927000
Uber_zap	Go	1994505019	4705768000	396125000
K8s_workqueue	Go	1614437965	3981588000	508315000
Toml	Go	904744039	1730163000	236434000
Dustin_humanize	Go	374665448	639102000	151619000
