benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	383504120705	542299315000	6319709000
IXGo	LLGoFullLTOGlobalDCEPlugin	369991717851	519899753000	6191463000
IXGo	LLGoFullLTOGlobalDCE	364555428861	517599079000	6188992000
IXGo	LLGoDeadcodeDrop	119698366258	319009150000	5453510000
IXGo	LLGoNoLTO	113058599785	302279232000	5218743000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	147778379256	234504519000	4487394000
Etcdctl	LLGoFullLTOGlobalDCE	147354988724	233484120000	4600143000
Etcdctl	LLGoFullLTONoGlobalDCE	147018202351	229560904000	4324076000
Etcdctl	LLGoNoLTO	54568837235	164224555000	3905003000
Etcdctl	LLGoDeadcodeDrop	54934463570	163872628000	3936588000
XGo	LLGoFullLTONoGlobalDCE	115429550169	160081973000	3044376000
XGo	LLGoFullLTOGlobalDCEPlugin	113320872414	157619264000	2910705000
XGo	LLGoFullLTOGlobalDCE	113056956006	157042528000	2841360000
Aws_restjson	LLGoFullLTONoGlobalDCE	93291757561	122253097000	2065980000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	83470133916	114289735000	2197104000
Aws_restjson	LLGoFullLTOGlobalDCE	84482848613	114313266000	2093186000
K8s_workqueue	LLGoFullLTOGlobalDCE	77586139058	97025015000	1669374000
Uber_zap	LLGoFullLTONoGlobalDCE	74944907560	94907378000	1659116000
XGo	LLGoDeadcodeDrop	35474976201	92219212000	2581093000
XGo	LLGoNoLTO	34574529518	90935868000	2565079000
K8s_workqueue	LLGoFullLTONoGlobalDCE	72232606027	90149066000	1570142000
Uber_zap	LLGoFullLTOGlobalDCE	66709411040	88338072000	1595630000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	64845182414	85267813000	1606148000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	59043995161	77291060000	1490032000
Aws_restjson	LLGoNoLTO	34027889602	70272115000	1794360000
Aws_restjson	LLGoDeadcodeDrop	33310130392	68623009000	1756860000
Gorm_schema	LLGoFullLTOGlobalDCE	39412574652	54682861000	1236113000
Gorm_schema	LLGoFullLTONoGlobalDCE	39558343576	54643417000	1115992000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	31486806514	48327297000	1227351000
Uber_zap	LLGoDeadcodeDrop	20795844773	47555533000	1328945000
Uber_zap	LLGoNoLTO	19615549525	44970792000	1319394000
Toml	LLGoFullLTONoGlobalDCE	35558524814	45303995000	917330000
K8s_workqueue	LLGoDeadcodeDrop	18599477338	40264771000	1355296000
K8s_workqueue	LLGoNoLTO	18042974425	39247833000	1307180000
Toml	LLGoFullLTOGlobalDCEPlugin	28245088945	37826513000	1015248000
Toml	LLGoFullLTOGlobalDCE	27946029176	37221210000	892045000
IXGo	Go	10475527695	34250088000	2830268000
Gorm_schema	LLGoDeadcodeDrop	10724717332	31750840000	1051400000
Gorm_schema	LLGoNoLTO	10407159710	30832716000	1062633000
Dustin_humanize	LLGoFullLTONoGlobalDCE	23030546933	28296176000	658558000
Etcdctl	Go	8351244945	26365758000	1797282000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	15764557400	21614205000	700319000
Dustin_humanize	LLGoFullLTOGlobalDCE	15538683007	21151750000	656536000
Toml	LLGoDeadcodeDrop	7872975195	20388773000	846331000
Toml	LLGoNoLTO	7692323452	19721230000	822915000
XGo	Go	4848628573	15462208000	1150449000
Dustin_humanize	LLGoNoLTO	5072213087	10800184000	633574000
Dustin_humanize	LLGoDeadcodeDrop	4904788160	10751521000	624192000
Aws_restjson	Go	2584022072	5967994000	578816000
Gorm_schema	Go	1837826652	4540768000	352725000
Uber_zap	Go	1752987127	4197434000	358065000
K8s_workqueue	Go	1405151764	3628604000	391782000
Toml	Go	764097364	1532524000	182308000
Dustin_humanize	Go	331083105	591202000	114398000
