benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTONoGlobalDCE	233060314067	391888377000	7372785000
IXGo	LLGoFullLTOGlobalDCE	275767492021	389014339000	6304584000
IXGo	LLGoFullLTOGlobalDCEPlugin	274534992828	386058775000	6557016000
IXGo	LLGoFullLTONoGlobalDCE	262562534895	355616361000	6045111000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	203958242509	299193988000	4598560000
Etcdctl	LLGoFullLTOGlobalDCE	203056703182	295839738000	4464386000
IXGo	LLGoDeadcodeDrop	87088439655	262212288000	7732665000
XGo	LLGoDeadcodeDrop	75020616263	236206234000	5371213000
Etcdctl	LLGoNoLTO	55965734951	185292474000	3675268000
Etcdctl	LLGoDeadcodeDrop	56376115615	185020849000	3877508000
XGo	LLGoFullLTONoGlobalDCE	133739778454	176460884000	3419172000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	97554121183	174354627000	4971374000
XGo	LLGoFullLTOGlobalDCE	126636883458	155730827000	3360945000
XGo	LLGoFullLTOGlobalDCEPlugin	126475777550	155573385000	3327268000
K8s_workqueue	LLGoNoLTO	52300164248	150101329000	3800696000
Aws_restjson	LLGoFullLTONoGlobalDCE	110294842840	135522378000	2845880000
Uber_zap	LLGoFullLTOGlobalDCE	79781124561	129393023000	3107808000
Aws_restjson	LLGoFullLTOGlobalDCE	93343794359	119400799000	2847279000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	93404706000	119049073000	2874566000
Uber_zap	LLGoFullLTONoGlobalDCE	86724727267	107449658000	2590753000
K8s_workqueue	LLGoFullLTONoGlobalDCE	78633711916	92686361000	2577597000
K8s_workqueue	LLGoFullLTOGlobalDCE	77561442374	91609575000	2556433000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	77462770039	91432754000	2480334000
Aws_restjson	LLGoNoLTO	27927785899	65318811000	2869492000
Gorm_schema	LLGoFullLTOGlobalDCE	48412264230	62547543000	1790755000
Gorm_schema	LLGoFullLTONoGlobalDCE	49664819797	61919821000	1739558000
IXGo	LLGoNoLTO	21689642442	59436412000	3765795000
Aws_restjson	LLGoDeadcodeDrop	25578633000	58512614000	2503398000
Dustin_humanize	LLGoFullLTOGlobalDCE	34446878688	53911408000	1985007000
Toml	LLGoFullLTONoGlobalDCE	43151851703	51662697000	1519151000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36721458190	49470375000	1689323000
Toml	LLGoFullLTOGlobalDCEPlugin	34277009865	42731027000	1539735000
Toml	LLGoFullLTOGlobalDCE	34166978610	42548615000	1428430000
Gorm_schema	LLGoDeadcodeDrop	13816494658	41864285000	1857414000
Dustin_humanize	LLGoFullLTONoGlobalDCE	34870798748	39958713000	1284936000
XGo	LLGoNoLTO	15520416633	37594569000	2478261000
Uber_zap	LLGoDeadcodeDrop	13492056314	37800850000	2217639000
Uber_zap	LLGoNoLTO	13064118897	36659251000	2209963000
IXGo	Go	9940255131	30427388000	2316989000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	24905002884	30124935000	1319008000
K8s_workqueue	LLGoDeadcodeDrop	9775800737	25303707000	2062419000
Toml	LLGoDeadcodeDrop	7456354379	18337370000	1486755000
Etcdctl	Go	5410949718	15062899000	792340000
Gorm_schema	LLGoNoLTO	5577376212	13406457000	1377412000
Toml	LLGoNoLTO	4764443003	11072285000	1295585000
Dustin_humanize	LLGoDeadcodeDrop	4672426320	10141841000	1188963000
Dustin_humanize	LLGoNoLTO	4014634179	9082218000	1112772000
XGo	Go	3283526538	7970837000	494943000
Aws_restjson	Go	1827026865	4355254000	420807000
Gorm_schema	Go	1443999505	3133217000	188985000
Uber_zap	Go	1261219703	2649442000	222404000
K8s_workqueue	Go	855615966	1680676000	261236000
Dustin_humanize	Go	319893310	527946000	106762000
Toml	Go	305736368	442226000	94406000
