benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoDeadcodeDrop	152677435152	457213584000	8612469000
IXGo	LLGoFullLTOGlobalDCEPlugin	295914239748	418972521000	5549836000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	261607059490	411768913000	6371562000
IXGo	LLGoFullLTOGlobalDCE	291035024847	402966806000	5668258000
IXGo	LLGoFullLTONoGlobalDCE	279116543910	383324082000	5340956000
Etcdctl	LLGoFullLTONoGlobalDCE	244327221887	340779710000	4077388000
Etcdctl	LLGoFullLTOGlobalDCE	241763986054	339757608000	4133965000
XGo	LLGoFullLTOGlobalDCE	168041538609	278884834000	6189121000
Etcdctl	LLGoDeadcodeDrop	58334440243	191012442000	3463606000
Etcdctl	LLGoNoLTO	57033153900	188466859000	3345915000
XGo	LLGoFullLTONoGlobalDCE	140889617220	186344911000	2921931000
XGo	LLGoFullLTOGlobalDCEPlugin	132616822146	163758419000	2937436000
Aws_restjson	LLGoFullLTONoGlobalDCE	119277904901	151579912000	3010635000
K8s_workqueue	LLGoFullLTONoGlobalDCE	95968693510	141350853000	3015118000
Aws_restjson	LLGoFullLTOGlobalDCE	100764321261	129167440000	2427221000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	98871231846	126043609000	2356862000
Uber_zap	LLGoFullLTONoGlobalDCE	89453574138	108399207000	2299129000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	80609342402	95437342000	2111229000
K8s_workqueue	LLGoFullLTOGlobalDCE	78893624841	93295449000	2109204000
Toml	LLGoNoLTO	34230255904	92552493000	2585900000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	70318193502	90168347000	2158726000
Uber_zap	LLGoFullLTOGlobalDCE	69957946898	89763864000	2043142000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	47814689474	80402851000	2218484000
Aws_restjson	LLGoDeadcodeDrop	29269802453	67117740000	2219098000
Gorm_schema	LLGoFullLTONoGlobalDCE	50535409899	65355280000	1523925000
IXGo	LLGoNoLTO	23527905991	63219708000	3070305000
Dustin_humanize	LLGoFullLTONoGlobalDCE	44461769308	64483360000	1733860000
XGo	LLGoDeadcodeDrop	23036586195	60750546000	2415589000
Aws_restjson	LLGoNoLTO	28562092554	60738422000	2077558000
Gorm_schema	LLGoFullLTOGlobalDCE	48016075356	61123696000	1420671000
XGo	LLGoNoLTO	22339522775	59993134000	2276484000
Toml	LLGoFullLTONoGlobalDCE	43531990299	52266772000	1322615000
Toml	LLGoFullLTOGlobalDCEPlugin	35539767209	44621604000	1265305000
Toml	LLGoFullLTOGlobalDCE	35469956245	44300537000	1238740000
Uber_zap	LLGoNoLTO	15263330228	42884908000	2244952000
Uber_zap	LLGoDeadcodeDrop	13783794536	38293169000	1963531000
Dustin_humanize	LLGoFullLTOGlobalDCE	26227797473	33857729000	1147177000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25815404278	31668407000	1164167000
IXGo	Go	9715606713	30057580000	2399928000
Gorm_schema	LLGoDeadcodeDrop	9843722509	28758540000	1265088000
K8s_workqueue	LLGoNoLTO	10085575069	27192863000	1672859000
K8s_workqueue	LLGoDeadcodeDrop	10287662863	26889664000	1757370000
Gorm_schema	LLGoNoLTO	9532522331	27264146000	1261269000
Toml	LLGoDeadcodeDrop	7028493366	17592227000	1106490000
Etcdctl	Go	5460996010	15261148000	886765000
Dustin_humanize	LLGoDeadcodeDrop	4835072766	11040349000	1011931000
Dustin_humanize	LLGoNoLTO	4856551968	11000100000	959641000
XGo	Go	3570385820	8361473000	482051000
Aws_restjson	Go	1804535692	4440585000	410269000
Gorm_schema	Go	1485292232	3256730000	191671000
Uber_zap	Go	1289441014	2755506000	221270000
K8s_workqueue	Go	1841175970	1653423000	224517000
Toml	Go	340271915	552929000	112908000
Dustin_humanize	Go	324674949	562545000	78331000
