benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCE	246267359866	433515423000	7408308000
IXGo	LLGoFullLTONoGlobalDCE	284870288044	417022268000	7819797000
IXGo	LLGoFullLTOGlobalDCEPlugin	275329142586	398452950000	5888621000
IXGo	LLGoFullLTOGlobalDCE	269728030420	376593803000	5555052000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	213039707105	320245693000	4223313000
Etcdctl	LLGoFullLTONoGlobalDCE	214397336490	317058973000	4233216000
XGo	LLGoFullLTONoGlobalDCE	163167101827	256781573000	4390097000
IXGo	LLGoDeadcodeDrop	84682559888	256268860000	4866857000
Etcdctl	LLGoDeadcodeDrop	62216234161	208342461000	3347364000
XGo	LLGoNoLTO	60622488533	203097705000	4254931000
XGo	LLGoFullLTOGlobalDCE	135877713429	184401585000	3120163000
XGo	LLGoFullLTOGlobalDCEPlugin	131003752220	162606178000	3411224000
Aws_restjson	LLGoFullLTONoGlobalDCE	117329074201	150914263000	3246062000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	88008520229	149894827000	3253851000
Aws_restjson	LLGoFullLTOGlobalDCE	99542924648	130265208000	2843790000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	96453210380	128010939000	2725148000
Uber_zap	LLGoFullLTONoGlobalDCE	90204401930	111566158000	2540658000
K8s_workqueue	LLGoDeadcodeDrop	35853655458	108816994000	2932822000
XGo	LLGoDeadcodeDrop	34758625399	106184326000	2773177000
K8s_workqueue	LLGoFullLTOGlobalDCE	81731668169	97831163000	2491057000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	81850385756	97450760000	2489964000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81469975571	97272759000	2292635000
Uber_zap	LLGoFullLTOGlobalDCE	71477461992	93436303000	2580243000
Etcdctl	LLGoNoLTO	30582831414	85969466000	3104702000
Gorm_schema	LLGoFullLTOGlobalDCE	56248074499	80499931000	1919843000
Dustin_humanize	LLGoDeadcodeDrop	26633752717	70400940000	1890028000
Aws_restjson	LLGoDeadcodeDrop	29253791165	67787632000	2458068000
Gorm_schema	LLGoFullLTONoGlobalDCE	52428722537	68510110000	1659648000
IXGo	LLGoNoLTO	23641865354	65116921000	3708556000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	40922870094	64797138000	2256494000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	40396788982	56675449000	1538741000
Toml	LLGoFullLTONoGlobalDCE	44952285637	54010204000	1509208000
Toml	LLGoFullLTOGlobalDCE	36634701855	46164551000	1463025000
Toml	LLGoFullLTOGlobalDCEPlugin	36066100147	45556389000	1439305000
IXGo	Go	13598843022	43728717000	2924762000
Dustin_humanize	LLGoFullLTONoGlobalDCE	37346821067	45183950000	1323636000
Uber_zap	LLGoNoLTO	14377311396	41533424000	2160497000
Uber_zap	LLGoDeadcodeDrop	14421488764	40851716000	2143556000
Gorm_schema	LLGoDeadcodeDrop	11657905950	35047159000	1449876000
Dustin_humanize	LLGoFullLTOGlobalDCE	26425546958	32543456000	1249885000
Aws_restjson	LLGoNoLTO	10960521418	28430363000	2136449000
K8s_workqueue	LLGoNoLTO	9009832014	23330313000	1900467000
Toml	LLGoNoLTO	7910318058	20368259000	1420914000
Toml	LLGoDeadcodeDrop	7634081590	19291150000	1301915000
Etcdctl	Go	5762443228	16102860000	783024000
Gorm_schema	LLGoNoLTO	6149460455	15260471000	1445888000
Dustin_humanize	LLGoNoLTO	4273481654	9997986000	1102404000
XGo	Go	2470820221	6020617000	383456000
Aws_restjson	Go	1962392473	4727790000	399630000
Gorm_schema	Go	1533922042	3325713000	182216000
Uber_zap	Go	1348467263	2819268000	212503000
K8s_workqueue	Go	973559402	2234442000	308854000
Dustin_humanize	Go	323913908	543902000	103825000
Toml	Go	298714294	438637000	102182000
