benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	295720495185	465814597000	7649722000
IXGo	LLGoNoLTO	144860936580	447503315000	10194935000
Etcdctl	LLGoFullLTONoGlobalDCE	232434626802	382870457000	6228417000
IXGo	LLGoFullLTOGlobalDCEPlugin	269647822004	376589586000	6328227000
IXGo	LLGoFullLTONoGlobalDCE	262019400654	359679086000	5958511000
Etcdctl	LLGoFullLTOGlobalDCE	207873783693	304087137000	4774716000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	205347017655	300847940000	4642333000
IXGo	LLGoDeadcodeDrop	80405973563	253323283000	5505878000
Etcdctl	LLGoDeadcodeDrop	73294623110	252099411000	4105459000
XGo	LLGoFullLTOGlobalDCEPlugin	134051751449	181821588000	3759498000
XGo	LLGoFullLTONoGlobalDCE	135124192439	177750982000	3464737000
XGo	LLGoFullLTOGlobalDCE	126657159371	156230009000	3392661000
Aws_restjson	LLGoFullLTONoGlobalDCE	113812777882	148384670000	3349355000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	91031833953	134369164000	3220785000
Aws_restjson	LLGoFullLTOGlobalDCE	101114041221	127303650000	2866143000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	95640316823	122944731000	2816498000
Uber_zap	LLGoFullLTONoGlobalDCE	87874768592	106648397000	2702161000
XGo	LLGoDeadcodeDrop	31977033702	96910528000	2810831000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79656603672	94031264000	2539442000
K8s_workqueue	LLGoFullLTOGlobalDCE	77849803418	92105534000	2498209000
Toml	LLGoDeadcodeDrop	31691150170	89627833000	2586547000
Uber_zap	LLGoFullLTOGlobalDCE	68592705046	88002851000	2654880000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	67571401990	86890646000	2603449000
Etcdctl	LLGoNoLTO	28198392466	79076233000	3441521000
Gorm_schema	LLGoFullLTONoGlobalDCE	51239786541	65402359000	1713040000
Aws_restjson	LLGoDeadcodeDrop	27265483036	62041780000	2522039000
Gorm_schema	LLGoFullLTOGlobalDCE	49517413028	62340296000	1723479000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	35955412526	56649591000	2105949000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	39011481330	56682896000	1923002000
Toml	LLGoFullLTONoGlobalDCE	45006398756	53230455000	1616854000
Toml	LLGoFullLTOGlobalDCE	34682454700	44334814000	1622569000
Toml	LLGoFullLTOGlobalDCEPlugin	34534464662	43280399000	1465954000
Dustin_humanize	LLGoFullLTONoGlobalDCE	37043444303	42505809000	1367983000
Uber_zap	LLGoDeadcodeDrop	14663605968	40974917000	2328346000
XGo	LLGoNoLTO	15572053813	37706932000	2445579000
IXGo	Go	10226933706	31251408000	2452992000
Gorm_schema	LLGoDeadcodeDrop	10658168968	31651785000	1502805000
K8s_workqueue	LLGoNoLTO	11329571963	29792949000	2159075000
Dustin_humanize	LLGoFullLTOGlobalDCE	25208547079	30600257000	1349976000
Etcdctl	Go	9371431244	29454138000	2027643000
K8s_workqueue	LLGoDeadcodeDrop	10114898483	26635956000	2154989000
Gorm_schema	LLGoNoLTO	9424459594	26950472000	1452217000
Aws_restjson	LLGoNoLTO	10185955773	25749364000	2221783000
Uber_zap	LLGoNoLTO	9274482050	23167783000	2137535000
XGo	Go	5262343559	16709777000	1129397000
Toml	LLGoNoLTO	4825378089	11330667000	1261467000
Dustin_humanize	LLGoDeadcodeDrop	4725905971	10060840000	1240431000
Dustin_humanize	LLGoNoLTO	4175318502	9357430000	1161473000
Uber_zap	Go	1958306586	4979866000	374128000
Aws_restjson	Go	1884198344	4460741000	430023000
Gorm_schema	Go	1451212557	3128556000	201843000
K8s_workqueue	Go	816104845	1586992000	194513000
Dustin_humanize	Go	321467646	536034000	99693000
Toml	Go	313590383	441272000	112554000
