benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	286064134517	417817579000	7945133000
IXGo	LLGoFullLTOGlobalDCEPlugin	275257598302	383829018000	5627434000
IXGo	LLGoFullLTONoGlobalDCE	271295424602	375026364000	5480509000
Etcdctl	LLGoFullLTONoGlobalDCE	209517723737	312273124000	4101512000
Etcdctl	LLGoFullLTOGlobalDCE	208190260262	311393386000	4104987000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	206985778068	310339547000	4147088000
IXGo	LLGoDeadcodeDrop	92775753994	294149590000	5052899000
XGo	LLGoFullLTOGlobalDCE	170035538803	288120966000	5840205000
Etcdctl	LLGoDeadcodeDrop	83699597541	284834532000	4255207000
XGo	LLGoFullLTONoGlobalDCE	162792247271	255593327000	4272285000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	109682673156	184392143000	3668865000
XGo	LLGoFullLTOGlobalDCEPlugin	135267959547	183554909000	3066817000
Aws_restjson	LLGoFullLTONoGlobalDCE	113256165061	140433892000	2782626000
Aws_restjson	LLGoFullLTOGlobalDCE	96753279461	126038031000	2754457000
Uber_zap	LLGoFullLTONoGlobalDCE	88878660387	109120517000	2460777000
Toml	LLGoDeadcodeDrop	39505118289	99857922000	2780913000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82246441050	99936707000	2556417000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	79855224427	95597091000	2380944000
K8s_workqueue	LLGoFullLTOGlobalDCE	79799422851	95564389000	2299996000
Uber_zap	LLGoFullLTOGlobalDCE	70138264511	91593093000	2508787000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	69926749467	90622905000	2445177000
Etcdctl	LLGoNoLTO	30168520569	84843144000	3214869000
Gorm_schema	LLGoFullLTOGlobalDCE	51679873400	69112544000	1717511000
Gorm_schema	LLGoFullLTONoGlobalDCE	51875722355	67058456000	1634085000
IXGo	LLGoNoLTO	23469180381	64797811000	3664842000
XGo	LLGoDeadcodeDrop	23290824360	62262157000	2535312000
Aws_restjson	LLGoDeadcodeDrop	26350354448	62208086000	2290332000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	36558834904	58491951000	1923786000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	38846841566	54781224000	1572029000
Toml	LLGoFullLTONoGlobalDCE	45140758161	54531095000	1431062000
Toml	LLGoFullLTOGlobalDCEPlugin	35869097170	45327478000	1457103000
Toml	LLGoFullLTOGlobalDCE	35873693448	45301807000	1481105000
Uber_zap	LLGoDeadcodeDrop	15800219881	44169505000	2164780000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36522272832	42325810000	1242692000
XGo	LLGoNoLTO	16609789494	40662285000	2438644000
Gorm_schema	LLGoDeadcodeDrop	11378793179	34371373000	1420250000
IXGo	Go	10727958601	33387900000	2296520000
Dustin_humanize	LLGoFullLTOGlobalDCE	26006968509	32126201000	1272743000
Etcdctl	Go	9830916675	31039215000	1848337000
K8s_workqueue	LLGoNoLTO	10327976793	27851851000	2114134000
Aws_restjson	LLGoNoLTO	10734566747	27827931000	2052593000
K8s_workqueue	LLGoDeadcodeDrop	10406430049	27635960000	1917675000
Uber_zap	LLGoNoLTO	9727647703	25194611000	1963673000
Gorm_schema	LLGoNoLTO	5915562976	14625024000	1419284000
Toml	LLGoNoLTO	5075839530	12179341000	1293342000
Dustin_humanize	LLGoDeadcodeDrop	4903777386	10880380000	1208896000
Dustin_humanize	LLGoNoLTO	4804117177	10727034000	1156441000
XGo	Go	3458428249	8543793000	468623000
Gorm_schema	Go	2251693909	5380302000	357920000
Uber_zap	Go	1963237286	5290721000	355490000
Aws_restjson	Go	1940159662	4635248000	386244000
K8s_workqueue	Go	827225542	1601534000	188630000
Dustin_humanize	Go	317325108	543822000	97570000
Toml	Go	310712336	423931000	115917000
