benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTOGlobalDCE	179946443871	185269405000	4878919000
K8s_workqueue	LLGoFullLTONoGlobalDCE	155838987798	157426000000	4523706000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	137780039092	138890180000	3449189000
Aws_restjson	LLGoFullLTONoGlobalDCE	130352968015	142754519000	2596156000
Uber_zap	LLGoFullLTONoGlobalDCE	109888534370	114745836000	2333634000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	103313161877	116100749000	2323990000
Uber_zap	LLGoFullLTOGlobalDCE	100122030877	100945837000	2446312000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	91681707079	95956761000	2267299000
K8s_workqueue	LLGoFullLTOGlobalDCE	89909250068	94222786000	2125536000
Toml	LLGoNoLTO	87872271196	84910796000	5735151000
Uber_zap	LLGoNoLTO	81718384932	86029950000	4007289000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	76516219125	72300161000	2399773000
Aws_restjson	LLGoNoLTO	72696210010	81122194000	3305886000
Gorm_schema	LLGoFullLTONoGlobalDCE	65340918113	67123511000	1541079000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	63418111056	57676798000	2221860000
Toml	LLGoFullLTONoGlobalDCE	57707155078	58825900000	1390321000
Gorm_schema	LLGoFullLTOGlobalDCE	57139157378	58963590000	1548600000
Toml	LLGoFullLTOGlobalDCEPlugin	54236162794	53859588000	1330345000
Dustin_humanize	LLGoFullLTONoGlobalDCE	49234175335	49684137000	1215451000
Gorm_schema	LLGoNoLTO	37415323609	38587317000	2016711000
Dustin_humanize	LLGoFullLTOGlobalDCE	35841133002	36302877000	1119453000
Toml	LLGoFullLTOGlobalDCE	33576180250	38504570000	1158355000
K8s_workqueue	LLGoNoLTO	17142196499	26893456000	1882254000
Dustin_humanize	LLGoNoLTO	6491868184	10671163000	899597000
Uber_zap	Go	1575806803	477150000	99044000
K8s_workqueue	Go	950793161	741854000	121926000
Gorm_schema	Go	770830615	503696000	90087000
Toml	Go	685588663	460717000	77027000
Aws_restjson	Go	544997535	679206000	88485000
Dustin_humanize	Go	488811445	312044000	47978000
