benchmark	configuration	real-ns	user-ns	sys-ns
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	142118364264	142663479000	4982271000
Uber_zap	LLGoFullLTOGlobalDCE	132187550820	133634246000	5062106000
Aws_restjson	LLGoFullLTONoGlobalDCE	131964976924	136415017000	3086013000
Uber_zap	LLGoFullLTONoGlobalDCE	118006174385	122878403000	3264002000
Aws_restjson	LLGoFullLTOGlobalDCE	99662022710	106230939000	2618592000
K8s_workqueue	LLGoFullLTONoGlobalDCE	93145817679	96140699000	2379709000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	90156630006	99839176000	2377537000
Aws_restjson	LLGoNoLTO	88666240168	95015906000	4462481000
Uber_zap	LLGoNoLTO	76084296364	80933257000	4856910000
K8s_workqueue	LLGoFullLTOGlobalDCE	73612035409	80165502000	2169729000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	66300866087	73515308000	2165070000
Dustin_humanize	LLGoFullLTONoGlobalDCE	65050108868	63658507000	2966987000
Dustin_humanize	LLGoNoLTO	60999902551	54800117000	5782891000
Gorm_schema	LLGoFullLTOGlobalDCE	56464195704	57691598000	1743473000
Gorm_schema	LLGoFullLTONoGlobalDCE	52543047603	55590050000	1610727000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	49334907647	50926825000	1634016000
Toml	LLGoFullLTONoGlobalDCE	39752786196	43389845000	1263001000
Toml	LLGoFullLTOGlobalDCEPlugin	35454897565	37708400000	1206510000
Toml	LLGoFullLTOGlobalDCE	34094761255	36635005000	1260149000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	33119858662	33207275000	1226578000
Dustin_humanize	LLGoFullLTOGlobalDCE	25101087237	27044525000	1141819000
Gorm_schema	LLGoNoLTO	22132584425	26350045000	1937286000
Toml	LLGoNoLTO	18470872275	19175392000	1463617000
K8s_workqueue	LLGoNoLTO	16008277293	24249213000	2006098000
Aws_restjson	Go	935479243	739694000	141156000
K8s_workqueue	Go	864119929	598309000	125473000
Uber_zap	Go	702198145	538202000	110645000
Toml	Go	654230310	531085000	148262000
Gorm_schema	Go	622540362	470695000	86407000
Dustin_humanize	Go	400631762	293784000	62725000
