benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	561009066387	592827882000	14084604000
IXGo	LLGoFullLTONoGlobalDCE	443320787316	469155792000	11170548000
IXGo	LLGoFullLTOGlobalDCE	419217354460	450497546000	9206299000
Etcdctl	LLGoFullLTOGlobalDCE	344689065632	371743691000	7530560000
Etcdctl	LLGoFullLTONoGlobalDCE	320252128350	339043113000	6168080000
Uber_zap	LLGoFullLTONoGlobalDCE	298781466339	277227345000	6988839000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	298289574130	320714030000	5968918000
K8s_workqueue	LLGoFullLTONoGlobalDCE	291844882697	266702013000	7487985000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	291245272506	266967198000	7764661000
IXGo	LLGoNoLTO	286566849494	310755627000	15419211000
XGo	LLGoFullLTONoGlobalDCE	210621644352	224019364000	4568701000
Etcdctl	LLGoNoLTO	206773639002	220611106000	10050431000
XGo	LLGoFullLTOGlobalDCEPlugin	167680578071	194075970000	4387902000
XGo	LLGoFullLTOGlobalDCE	161242080691	180124714000	3646929000
Aws_restjson	LLGoFullLTOGlobalDCE	145995814986	150970511000	3339514000
Aws_restjson	LLGoFullLTONoGlobalDCE	144713290571	161242539000	3459658000
K8s_workqueue	LLGoNoLTO	142140020700	138773423000	10820462000
K8s_workqueue	LLGoFullLTOGlobalDCE	134249219555	133440298000	2791505000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	126393479329	137315361000	2914518000
Uber_zap	LLGoFullLTOGlobalDCE	121447345583	129543545000	3223852000
XGo	LLGoNoLTO	107106887558	122913518000	6328451000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	105518408560	108174746000	2746053000
Toml	LLGoFullLTOGlobalDCE	82924337931	82324875000	3885490000
Gorm_schema	LLGoFullLTONoGlobalDCE	75037769304	81061039000	2095628000
Aws_restjson	LLGoNoLTO	74056900519	83718792000	4074336000
Gorm_schema	LLGoFullLTOGlobalDCE	63923958177	67604388000	1771517000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	55911724592	62087088000	2009884000
Toml	LLGoFullLTONoGlobalDCE	53895371633	60211023000	1797560000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	53512009033	47623148000	1478100000
Uber_zap	LLGoNoLTO	50251169603	56177063000	3186437000
Toml	LLGoFullLTOGlobalDCEPlugin	48831777115	51210958000	1542517000
Dustin_humanize	LLGoFullLTONoGlobalDCE	46957207397	48539376000	1354135000
Gorm_schema	LLGoNoLTO	42909205751	40450425000	2507994000
Dustin_humanize	LLGoFullLTOGlobalDCE	36063279787	35728554000	1368831000
Toml	LLGoNoLTO	31480221998	27116092000	1855253000
Etcdctl	Go	12932842824	32414491000	2024118000
IXGo	Go	10866260857	33702460000	2459520000
XGo	Go	9904426578	10023352000	583654000
Dustin_humanize	LLGoNoLTO	8895779253	13239137000	1245468000
Gorm_schema	Go	5711331118	6186122000	374496000
Aws_restjson	Go	4670753332	5364250000	473807000
Dustin_humanize	Go	2803643335	966807000	367748000
K8s_workqueue	Go	2784762923	2037988000	225216000
Uber_zap	Go	2388239910	3235059000	289697000
Toml	Go	1957320830	657111000	153693000
