benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	421136013014	613597298000	5417076000
IXGo	LLGoFullLTOGlobalDCEPlugin	413753652413	587993242000	5711387000
IXGo	LLGoFullLTONoGlobalDCE	402895975339	569438672000	5126873000
Etcdctl	LLGoFullLTOGlobalDCE	216829580669	369890885000	5233877000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	213293808692	368968490000	5122820000
Etcdctl	LLGoFullLTONoGlobalDCE	215459200866	368114988000	5070939000
IXGo	LLGoDeadcodeDrop	115150398471	351866854000	4430389000
IXGo	LLGoNoLTO	112772212780	337857034000	4169984000
Etcdctl	LLGoNoLTO	108609120214	334094238000	4309578000
XGo	LLGoFullLTONoGlobalDCE	150255001327	199997023000	3261930000
XGo	LLGoFullLTOGlobalDCEPlugin	148287857794	198739477000	3413674000
Etcdctl	LLGoDeadcodeDrop	67528021161	194824372000	3376759000
XGo	LLGoFullLTOGlobalDCE	145168574504	185442708000	3342762000
Aws_restjson	LLGoFullLTONoGlobalDCE	125313176510	154688136000	2823342000
Aws_restjson	LLGoFullLTOGlobalDCE	109680773603	142611792000	2853586000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	109225709946	138905680000	2829768000
Uber_zap	LLGoFullLTONoGlobalDCE	101219021447	122444710000	2474315000
K8s_workqueue	LLGoFullLTONoGlobalDCE	97730956534	115765229000	2543311000
K8s_workqueue	LLGoFullLTOGlobalDCE	96558302935	114882630000	2422129000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	96622278510	114822816000	2372828000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	87645557028	110342502000	2417117000
Uber_zap	LLGoFullLTOGlobalDCE	87574077247	109424940000	2478338000
Uber_zap	LLGoDeadcodeDrop	39837584883	108769606000	2366454000
XGo	LLGoDeadcodeDrop	38221409554	92468104000	2629022000
Aws_restjson	LLGoNoLTO	36673405667	78198058000	2299208000
Gorm_schema	LLGoFullLTONoGlobalDCE	57619732762	74502862000	1669380000
Aws_restjson	LLGoDeadcodeDrop	36560945076	73257962000	2438910000
Dustin_humanize	LLGoDeadcodeDrop	27502550728	73217733000	1896614000
Gorm_schema	LLGoFullLTOGlobalDCE	55130697446	69373197000	1598522000
Toml	LLGoFullLTONoGlobalDCE	51676423674	60844595000	1470710000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	43391272436	57654456000	1635653000
XGo	LLGoNoLTO	26360605130	51461808000	2385609000
Toml	LLGoFullLTOGlobalDCEPlugin	40873187201	50221788000	1397936000
Toml	LLGoFullLTOGlobalDCE	40827898752	50108677000	1417856000
K8s_workqueue	LLGoDeadcodeDrop	21799310091	43648451000	2234718000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36391141419	42001219000	1290193000
Toml	LLGoDeadcodeDrop	14313946801	40618466000	1564368000
Gorm_schema	LLGoDeadcodeDrop	12881737508	37122331000	1426793000
Uber_zap	LLGoNoLTO	19025069882	34991534000	1905122000
K8s_workqueue	LLGoNoLTO	18631396860	33489446000	1852400000
Dustin_humanize	LLGoFullLTOGlobalDCE	25014746443	30959208000	1215622000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	24912001729	30708008000	1274103000
Gorm_schema	LLGoNoLTO	6762620193	15211705000	1342124000
Toml	LLGoNoLTO	5479681544	12246578000	1224513000
Dustin_humanize	LLGoNoLTO	4613844488	10099775000	1134137000
IXGo	Go	1502044839	1786211000	343184000
Etcdctl	Go	1005972163	1161320000	219430000
XGo	Go	723482582	940120000	153328000
Aws_restjson	Go	510365268	691393000	127302000
K8s_workqueue	Go	451032714	623234000	156066000
Uber_zap	Go	383303174	570523000	104247000
Gorm_schema	Go	350359516	450674000	94533000
Toml	Go	306493230	435023000	98980000
Dustin_humanize	Go	242834983	392586000	119252000
