benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoNoLTO	110835293255	349536134000	7773107000
IXGo	LLGoFullLTOGlobalDCEPlugin	226266258329	319406478000	5127039000
IXGo	LLGoFullLTOGlobalDCE	220109455172	310483080000	4975844000
IXGo	LLGoFullLTONoGlobalDCE	215332746230	301599676000	5033646000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	170766778892	261745703000	4819197000
Etcdctl	LLGoFullLTOGlobalDCE	163128119938	237931457000	3753059000
Etcdctl	LLGoFullLTONoGlobalDCE	164324965478	237422534000	3648126000
IXGo	LLGoDeadcodeDrop	72748904876	225347669000	4282707000
Aws_restjson	LLGoFullLTONoGlobalDCE	97707561666	151252732000	2906337000
Etcdctl	LLGoDeadcodeDrop	45045434255	146937822000	2828699000
Etcdctl	LLGoNoLTO	44112831045	145146369000	2876844000
K8s_workqueue	LLGoFullLTOGlobalDCE	80227706036	127484188000	3125821000
XGo	LLGoFullLTONoGlobalDCE	103762552344	125480217000	2615083000
XGo	LLGoFullLTOGlobalDCEPlugin	101939463796	124238615000	2623344000
XGo	LLGoFullLTOGlobalDCE	101622334666	123925765000	2672215000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	65066776262	107291349000	2706389000
Aws_restjson	LLGoFullLTOGlobalDCE	75651610486	96618321000	2261476000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	76130036935	96500164000	2241443000
Uber_zap	LLGoFullLTONoGlobalDCE	68629881643	82824920000	2081749000
K8s_workqueue	LLGoFullLTONoGlobalDCE	62630435227	73181093000	2090522000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	61985565012	73046639000	2125021000
Gorm_schema	LLGoFullLTONoGlobalDCE	46957445645	68966509000	1887152000
Uber_zap	LLGoFullLTOGlobalDCE	53553813963	68788364000	2021595000
Toml	LLGoDeadcodeDrop	24654534425	68609476000	1967874000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	38670793569	63714837000	2036855000
K8s_workqueue	LLGoDeadcodeDrop	21050091074	61839223000	2078913000
XGo	LLGoNoLTO	19793037401	53882038000	2597856000
Aws_restjson	LLGoDeadcodeDrop	21471807501	50142039000	1995341000
Gorm_schema	LLGoFullLTOGlobalDCE	38123149286	48066641000	1358441000
XGo	LLGoDeadcodeDrop	17466453253	45581712000	2159673000
Aws_restjson	LLGoNoLTO	20404824719	45075964000	1923541000
Toml	LLGoFullLTONoGlobalDCE	34300310205	40708896000	1201375000
Toml	LLGoFullLTOGlobalDCEPlugin	27335528776	34074268000	1227289000
Toml	LLGoFullLTOGlobalDCE	27232925905	33724923000	1198799000
IXGo	Go	9696788104	30967460000	2366681000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27738729413	31820125000	1070037000
Uber_zap	LLGoDeadcodeDrop	10714306810	30262885000	1728975000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	19788322908	23902320000	1020338000
Dustin_humanize	LLGoFullLTOGlobalDCE	19822747715	23807039000	1040502000
Gorm_schema	LLGoDeadcodeDrop	7646834161	21800248000	1192842000
Gorm_schema	LLGoNoLTO	7425705611	20970623000	1210122000
K8s_workqueue	LLGoNoLTO	7719263189	20050976000	1598054000
Uber_zap	LLGoNoLTO	7581283531	18274871000	1678324000
Etcdctl	Go	4347530820	12004023000	667910000
Toml	LLGoNoLTO	3926856023	8962497000	1011834000
Dustin_humanize	LLGoDeadcodeDrop	3839910251	8182281000	957627000
Dustin_humanize	LLGoNoLTO	3256491137	7238287000	922134000
XGo	Go	1899309191	4443656000	381149000
Aws_restjson	Go	1552261014	3459899000	337248000
Gorm_schema	Go	1144274594	2459470000	170059000
Uber_zap	Go	1092692582	2092604000	185549000
K8s_workqueue	Go	628354351	1187351000	163218000
Dustin_humanize	Go	259623408	402060000	96217000
Toml	Go	243823429	353813000	80835000
