benchmark	configuration	real-ns	user-ns	sys-ns
K8s_workqueue	LLGoFullLTOGlobalDCE	187189694598	181851943000	5384596000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	186266972138	183832958000	5271116000
Uber_zap	LLGoNoLTO	152275059247	150486727000	10955408000
Uber_zap	LLGoFullLTONoGlobalDCE	146447920941	154954747000	3479180000
Aws_restjson	LLGoFullLTONoGlobalDCE	145520496587	156368779000	3074500000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	124897851097	135094622000	3009613000
Toml	LLGoFullLTOGlobalDCE	121351729323	111020687000	3719274000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	121221505209	110233658000	4064384000
Aws_restjson	LLGoFullLTOGlobalDCE	116168682614	129500631000	2914721000
K8s_workqueue	LLGoFullLTONoGlobalDCE	91802126297	102560232000	2423830000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	90051203271	100976936000	2373801000
Gorm_schema	LLGoFullLTONoGlobalDCE	86543829220	92032659000	3481971000
Uber_zap	LLGoFullLTOGlobalDCE	80167352032	92083151000	2475439000
Aws_restjson	LLGoNoLTO	62587519827	75392055000	3830661000
Gorm_schema	LLGoFullLTOGlobalDCE	59602531765	65962300000	1814848000
Toml	LLGoFullLTONoGlobalDCE	58156335252	61476423000	1530957000
Dustin_humanize	LLGoFullLTONoGlobalDCE	43336773933	46463087000	1376153000
Toml	LLGoFullLTOGlobalDCEPlugin	39702264061	45410357000	1354955000
Gorm_schema	LLGoNoLTO	28823815453	34885315000	2226553000
Dustin_humanize	LLGoFullLTOGlobalDCE	28081184938	32389798000	1259971000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27784446864	32209275000	1151261000
K8s_workqueue	LLGoNoLTO	20677966237	31692228000	2435569000
Toml	LLGoNoLTO	14513088477	20019674000	1470975000
Dustin_humanize	LLGoNoLTO	9777433151	12905180000	1251826000
Aws_restjson	Go	443492753	667827000	136695000
K8s_workqueue	Go	435720599	722027000	187174000
Uber_zap	Go	361702084	537630000	107824000
Gorm_schema	Go	313565802	487259000	84737000
Toml	Go	281415901	409771000	97426000
Dustin_humanize	Go	182351018	275993000	74776000
