benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	288264641145	414153987000	5347210000
IXGo	LLGoFullLTOGlobalDCE	279232479184	383256193000	5799011000
Etcdctl	LLGoDeadcodeDrop	113939332570	377345585000	6631875000
IXGo	LLGoFullLTOGlobalDCEPlugin	274072807408	374842706000	5424866000
Etcdctl	LLGoFullLTONoGlobalDCE	212658710224	315891078000	4113547000
Etcdctl	LLGoFullLTOGlobalDCE	209294808399	311728004000	4283000000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	207767415325	309351757000	4004687000
IXGo	LLGoNoLTO	89934597089	275787203000	6889212000
IXGo	LLGoDeadcodeDrop	84795549622	260274143000	4750980000
Aws_restjson	LLGoFullLTOGlobalDCE	114862134125	201275301000	3671059000
XGo	LLGoFullLTOGlobalDCEPlugin	133108553383	181380429000	3116868000
XGo	LLGoFullLTOGlobalDCE	133411939320	180238817000	3196305000
XGo	LLGoFullLTONoGlobalDCE	130067689786	160332111000	3034576000
Uber_zap	LLGoFullLTONoGlobalDCE	99050858515	141597709000	2675557000
Aws_restjson	LLGoFullLTONoGlobalDCE	110548357065	140464396000	2694395000
XGo	LLGoNoLTO	40617775778	125986873000	3617050000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	94341474266	124707136000	2816005000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	90154391427	124348685000	2576191000
XGo	LLGoDeadcodeDrop	34599671817	106734956000	2635904000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80388938352	95773815000	2439786000
K8s_workqueue	LLGoFullLTOGlobalDCE	78694970432	94206395000	2305079000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	71302859361	92794461000	2461112000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	56751182618	90824642000	2923124000
Uber_zap	LLGoFullLTOGlobalDCE	69174094595	89915642000	2410091000
Toml	LLGoFullLTONoGlobalDCE	56609081662	89842495000	2356776000
Etcdctl	LLGoNoLTO	30137468853	84854372000	3138024000
Aws_restjson	LLGoDeadcodeDrop	29779728980	73177699000	2459289000
Gorm_schema	LLGoFullLTONoGlobalDCE	53885975216	69365661000	1706454000
Aws_restjson	LLGoNoLTO	26920395369	65376467000	2565665000
Gorm_schema	LLGoFullLTOGlobalDCE	49500741416	64934222000	1607279000
Toml	LLGoFullLTOGlobalDCEPlugin	40300265684	58712190000	1833657000
Uber_zap	LLGoNoLTO	17091387184	50133864000	2483567000
Toml	LLGoFullLTOGlobalDCE	35731957895	45262772000	1491857000
Dustin_humanize	LLGoFullLTONoGlobalDCE	37263103220	43028258000	1286351000
Uber_zap	LLGoDeadcodeDrop	14398837841	41038784000	2126359000
IXGo	Go	11208549794	36144697000	2344898000
Gorm_schema	LLGoDeadcodeDrop	11234160759	33991493000	1404365000
Dustin_humanize	LLGoFullLTOGlobalDCE	26753574892	32951444000	1260512000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25596362744	31816818000	1300149000
K8s_workqueue	LLGoNoLTO	10859486006	29595203000	2222448000
Gorm_schema	LLGoNoLTO	9868194892	28870060000	1317579000
K8s_workqueue	LLGoDeadcodeDrop	10558481996	28044850000	2074951000
Toml	LLGoDeadcodeDrop	7245448678	18419071000	1308131000
Toml	LLGoNoLTO	6953237153	17581184000	1262660000
Etcdctl	Go	5564730939	15867470000	780714000
Dustin_humanize	LLGoDeadcodeDrop	4991956005	11138619000	1175015000
Dustin_humanize	LLGoNoLTO	4733748643	10749004000	1127019000
Aws_restjson	Go	3095371805	7048414000	573906000
XGo	Go	2403021863	5999350000	373052000
Gorm_schema	Go	1501458886	3270023000	192773000
Uber_zap	Go	1437258731	2831799000	255866000
K8s_workqueue	Go	818468184	1617378000	184393000
Dustin_humanize	Go	321655344	553056000	101958000
Toml	Go	324169255	464029000	97493000
