benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCEPlugin	319675023248	338609544000	5724454000
Etcdctl	LLGoFullLTONoGlobalDCE	317561223038	337918597000	5433591000
Etcdctl	LLGoFullLTOGlobalDCE	249485325247	282724264000	3076509000
XGo	LLGoFullLTOGlobalDCE	179936040373	188672627000	2939721000
Etcdctl	LLGoDeadcodeDrop	159098353314	179581880000	2849431000
XGo	LLGoFullLTONoGlobalDCE	160996560657	178298419000	2749181000
Aws_restjson	LLGoFullLTOGlobalDCE	149009232591	164810723000	3632546000
XGo	LLGoFullLTOGlobalDCEPlugin	131586242988	150648429000	2551380000
Uber_zap	LLGoFullLTONoGlobalDCE	123027603002	135901832000	2640631000
Aws_restjson	LLGoFullLTONoGlobalDCE	118715511268	130981458000	2158645000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	125475675808	124356940000	2368204000
K8s_workqueue	LLGoFullLTONoGlobalDCE	140927692422	118454909000	2311882000
XGo	LLGoDeadcodeDrop	103513107495	113099763000	2376016000
XGo	LLGoNoLTO	66806123818	88047615000	2323427000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	76910103105	86334660000	1936705000
K8s_workqueue	LLGoFullLTOGlobalDCE	73476514718	85081854000	2036057000
Uber_zap	LLGoFullLTOGlobalDCE	73772854607	84919852000	2088219000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74776612778	83714218000	1957987000
Toml	LLGoDeadcodeDrop	102483976869	83304906000	2030881000
Gorm_schema	LLGoFullLTOGlobalDCE	76674328152	78848354000	2294526000
Etcdctl	LLGoNoLTO	60945781038	78371837000	2408489000
K8s_workqueue	LLGoNoLTO	61992147667	70805653000	2120462000
Aws_restjson	LLGoDeadcodeDrop	67394335898	66923652000	1931582000
Gorm_schema	LLGoFullLTONoGlobalDCE	64596998956	65239461000	1445761000
Toml	LLGoFullLTOGlobalDCEPlugin	52339256959	59182586000	1708057000
Aws_restjson	LLGoNoLTO	45723783076	57611399000	1797539000
Gorm_schema	LLGoNoLTO	49541083370	56386688000	1478942000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	51496914586	52814488000	1262783000
Toml	LLGoFullLTONoGlobalDCE	46448715478	49240571000	1182785000
Toml	LLGoFullLTOGlobalDCE	47738730933	47064636000	1222493000
Dustin_humanize	LLGoFullLTONoGlobalDCE	45858291310	45013153000	1107985000
Uber_zap	LLGoDeadcodeDrop	33633652530	40411210000	1770717000
Uber_zap	LLGoNoLTO	26094416798	35695032000	1578872000
Dustin_humanize	LLGoFullLTOGlobalDCE	35937313039	33484309000	1088672000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	33976814062	32243114000	1125368000
K8s_workqueue	LLGoDeadcodeDrop	26273937515	30865455000	1717415000
Gorm_schema	LLGoDeadcodeDrop	23278259567	27888397000	1224011000
XGo	Go	12774058626	16037397000	1132911000
Etcdctl	Go	14327899597	15039252000	958355000
Toml	LLGoNoLTO	8666436014	12677119000	985312000
Dustin_humanize	LLGoDeadcodeDrop	13700492971	12589592000	1018793000
Dustin_humanize	LLGoNoLTO	5663186092	10860338000	925729000
Uber_zap	Go	9339055908	5263091000	398507000
Aws_restjson	Go	5323963851	4601600000	413876000
Gorm_schema	Go	3056414035	3244200000	246542000
K8s_workqueue	Go	708143179	1374118000	185146000
Dustin_humanize	Go	773231036	587815000	91577000
Toml	Go	279626787	386782000	85242000
