benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	322334463888	512886378000	8372866000
IXGo	LLGoFullLTOGlobalDCE	310396736742	456627866000	5828749000
IXGo	LLGoFullLTONoGlobalDCE	297246141707	435593931000	5644187000
Etcdctl	LLGoNoLTO	118235012459	388291226000	7354617000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	214981498213	323114231000	4231769000
Etcdctl	LLGoFullLTOGlobalDCE	210899851490	316168345000	4168304000
Etcdctl	LLGoFullLTONoGlobalDCE	208791906566	312376452000	4103447000
IXGo	LLGoDeadcodeDrop	83801917379	272780053000	4883740000
Etcdctl	LLGoDeadcodeDrop	62154268935	207774197000	3704894000
XGo	LLGoFullLTOGlobalDCE	144558620535	201882884000	3610945000
Uber_zap	LLGoFullLTONoGlobalDCE	118537361998	196493279000	4115059000
Uber_zap	LLGoFullLTOGlobalDCE	96293896459	172473511000	3831853000
XGo	LLGoFullLTOGlobalDCEPlugin	137294191937	170576995000	3446885000
XGo	LLGoFullLTONoGlobalDCE	133830809180	164351934000	3228191000
Aws_restjson	LLGoDeadcodeDrop	45385555048	150583815000	3194056000
Aws_restjson	LLGoFullLTONoGlobalDCE	122126673166	149673822000	2853992000
Aws_restjson	LLGoFullLTOGlobalDCE	99491572447	130431221000	2830426000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	95150291194	123865606000	2785934000
XGo	LLGoDeadcodeDrop	34728775801	106807847000	2661525000
K8s_workqueue	LLGoFullLTONoGlobalDCE	85154020166	102124229000	2762183000
K8s_workqueue	LLGoFullLTOGlobalDCE	84682433052	101255392000	2595679000
Toml	LLGoDeadcodeDrop	34293509658	98985773000	2419494000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	80948942531	96565688000	2387930000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	71560985413	93761960000	2512471000
Gorm_schema	LLGoFullLTONoGlobalDCE	54262369539	70009499000	1673414000
IXGo	LLGoNoLTO	23899097766	65889984000	3629815000
Gorm_schema	LLGoFullLTOGlobalDCE	51060096100	65673795000	1702170000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	37268664973	60121327000	1968702000
Toml	LLGoFullLTONoGlobalDCE	46568593699	56120247000	1528183000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	39413073116	53953478000	1674567000
Toml	LLGoFullLTOGlobalDCEPlugin	37728503392	47268593000	1504163000
Toml	LLGoFullLTOGlobalDCE	37058021296	46587284000	1477788000
Dustin_humanize	LLGoFullLTONoGlobalDCE	37989120862	44198282000	1362150000
Uber_zap	LLGoDeadcodeDrop	14927699404	43248064000	2221925000
XGo	LLGoNoLTO	16906690391	41422510000	2529544000
Uber_zap	LLGoNoLTO	14348804759	41397291000	2137068000
Gorm_schema	LLGoNoLTO	13614999312	39603824000	1714069000
IXGo	Go	12027128265	37566668000	2659255000
Dustin_humanize	LLGoFullLTOGlobalDCE	27811645567	34028249000	1261087000
K8s_workqueue	LLGoDeadcodeDrop	10889337283	29437195000	2170969000
Gorm_schema	LLGoDeadcodeDrop	10324239579	29859253000	1438124000
Aws_restjson	LLGoNoLTO	11216533858	28856550000	2193455000
K8s_workqueue	LLGoNoLTO	9201821105	23136656000	2063624000
XGo	Go	5813403857	18701257000	1152391000
Etcdctl	Go	5728545779	16115316000	846381000
Toml	LLGoNoLTO	5154970596	12328298000	1253377000
Dustin_humanize	LLGoDeadcodeDrop	5091330681	11232879000	1258404000
Dustin_humanize	LLGoNoLTO	4362718263	10193599000	1157386000
Aws_restjson	Go	2030373919	4840545000	398999000
Gorm_schema	Go	1598405590	3418379000	192828000
Uber_zap	Go	1325045587	2802936000	208147000
K8s_workqueue	Go	855352907	1671182000	185806000
Dustin_humanize	Go	337106177	582393000	90792000
Toml	Go	316790719	458232000	105349000
