benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCEPlugin	215879128951	290893497000	3554921000
Etcdctl	LLGoFullLTONoGlobalDCE	215392759868	290003976000	3516735000
Etcdctl	LLGoFullLTOGlobalDCE	207831555443	285418984000	3474545000
Etcdctl	LLGoDeadcodeDrop	65910097907	221153313000	4915140000
XGo	LLGoFullLTOGlobalDCE	120539367176	185728046000	3810392000
XGo	LLGoFullLTONoGlobalDCE	116037672348	153480923000	2660626000
XGo	LLGoFullLTOGlobalDCEPlugin	111891165485	148847495000	2688384000
Aws_restjson	LLGoFullLTONoGlobalDCE	99487991377	121064256000	2152148000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	84762293495	106649972000	2101433000
Aws_restjson	LLGoFullLTOGlobalDCE	83946485814	105431203000	2019353000
K8s_workqueue	LLGoFullLTONoGlobalDCE	71399990066	94434701000	2073747000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	69479876710	93276702000	1986764000
Uber_zap	LLGoFullLTONoGlobalDCE	70814292977	85966848000	1978253000
K8s_workqueue	LLGoNoLTO	27093911549	79383813000	2713612000
Uber_zap	LLGoFullLTOGlobalDCE	57763343253	75988050000	2077777000
XGo	LLGoDeadcodeDrop	25842912580	75192718000	2091083000
K8s_workqueue	LLGoFullLTOGlobalDCE	63604021785	75091410000	1818509000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	57488566040	73181370000	1970711000
Etcdctl	LLGoNoLTO	25714498222	69451668000	2572693000
Toml	LLGoFullLTONoGlobalDCE	43345363304	65681388000	1701398000
Toml	LLGoFullLTOGlobalDCEPlugin	36168196331	58548311000	1746906000
Aws_restjson	LLGoDeadcodeDrop	25954299697	55045508000	1872898000
Aws_restjson	LLGoNoLTO	26298117027	53238666000	2122892000
Gorm_schema	LLGoFullLTONoGlobalDCE	39767715565	51108300000	1217147000
Gorm_schema	LLGoFullLTOGlobalDCE	39532540909	50586041000	1245987000
Dustin_humanize	LLGoDeadcodeDrop	20122439438	49421754000	1700793000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	30709790246	43480017000	1425602000
Dustin_humanize	LLGoFullLTOGlobalDCE	25627881848	39858966000	1321766000
XGo	LLGoNoLTO	14040697641	33657083000	1846832000
Toml	LLGoFullLTOGlobalDCE	27195377415	34194943000	1108675000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27783900756	32555397000	966477000
Uber_zap	LLGoDeadcodeDrop	11118513760	30211300000	1724844000
Uber_zap	LLGoNoLTO	10650284399	29428699000	1497802000
Gorm_schema	LLGoDeadcodeDrop	9086983854	24698838000	1122687000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	19806182216	24780473000	960470000
K8s_workqueue	LLGoDeadcodeDrop	8453561935	21427330000	1584827000
Gorm_schema	LLGoNoLTO	7923399912	21613492000	1086590000
Toml	LLGoDeadcodeDrop	5689194923	13860519000	947731000
Toml	LLGoNoLTO	5437654462	13209508000	926424000
Etcdctl	Go	4321823664	12006125000	787755000
Dustin_humanize	LLGoNoLTO	3554211393	7953458000	874410000
XGo	Go	2525615997	6066743000	426541000
Aws_restjson	Go	2214177748	4957537000	557956000
Gorm_schema	Go	1125666436	2368337000	193816000
Uber_zap	Go	1067115580	2170262000	205294000
K8s_workqueue	Go	636056934	1208242000	161256000
Dustin_humanize	Go	255184585	410704000	76316000
Toml	Go	256024515	362836000	84613000
