benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	568277487839	797232287000	7473449000
IXGo	LLGoFullLTONoGlobalDCE	583374193198	787541365000	7046977000
IXGo	LLGoFullLTOGlobalDCEPlugin	481524262425	668165269000	7213927000
IXGo	LLGoDeadcodeDrop	143708717837	389632001000	6427950000
IXGo	LLGoNoLTO	131462985205	359436457000	6224560000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	169341746900	277986224000	5212235000
Etcdctl	LLGoFullLTOGlobalDCE	169345004901	277615442000	5170528000
Etcdctl	LLGoFullLTONoGlobalDCE	169500627026	276594124000	5273131000
Etcdctl	LLGoDeadcodeDrop	68920656537	204432731000	4800290000
Etcdctl	LLGoNoLTO	67444562211	201381524000	4642905000
XGo	LLGoFullLTONoGlobalDCE	127791615810	174777652000	3422648000
XGo	LLGoFullLTOGlobalDCEPlugin	124101743823	171704227000	3341278000
XGo	LLGoFullLTOGlobalDCE	124215565211	171180961000	3415775000
Aws_restjson	LLGoFullLTONoGlobalDCE	127188476908	157514504000	2385615000
Aws_restjson	LLGoFullLTOGlobalDCE	118054560081	149230686000	2304233000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	110337635592	141744295000	2304205000
Uber_zap	LLGoFullLTONoGlobalDCE	84240096956	106278484000	1876294000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81884289721	101497438000	1763166000
XGo	LLGoDeadcodeDrop	40381344310	98960758000	2901461000
K8s_workqueue	LLGoFullLTOGlobalDCE	79851344802	99489163000	1740341000
XGo	LLGoNoLTO	39264199898	97118819000	2731848000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73485100053	95789924000	1716544000
Uber_zap	LLGoFullLTOGlobalDCE	72999244143	95700919000	1791505000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	67672009003	87548325000	1723278000
Aws_restjson	LLGoDeadcodeDrop	39302038298	77292800000	2054752000
Aws_restjson	LLGoNoLTO	38784223022	76088992000	1966269000
Gorm_schema	LLGoFullLTONoGlobalDCE	46036309096	61882582000	1216460000
Gorm_schema	LLGoFullLTOGlobalDCE	44678301299	60823244000	1318658000
Uber_zap	LLGoDeadcodeDrop	24765542772	53406407000	1467450000
Uber_zap	LLGoNoLTO	24176562531	52090219000	1388717000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34603187046	50951817000	1217193000
Toml	LLGoFullLTONoGlobalDCE	40825328231	50419629000	1067435000
K8s_workqueue	LLGoDeadcodeDrop	22660434668	46031604000	1412615000
K8s_workqueue	LLGoNoLTO	22135852402	45005805000	1447720000
IXGo	Go	12447442544	39853118000	3096719000
Toml	LLGoFullLTOGlobalDCEPlugin	32036826130	41835576000	1038643000
Toml	LLGoFullLTOGlobalDCE	31523686182	41361630000	928540000
Gorm_schema	LLGoDeadcodeDrop	12475523728	34069368000	1198655000
Gorm_schema	LLGoNoLTO	12048830948	33070814000	1142006000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26807408281	32377579000	800694000
Etcdctl	Go	9761138423	30339284000	2127575000
Dustin_humanize	LLGoFullLTOGlobalDCE	18203822257	24103983000	777110000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17860192145	23588993000	763765000
Toml	LLGoDeadcodeDrop	7886097156	20328852000	882531000
Toml	LLGoNoLTO	7909865313	20007464000	886007000
XGo	Go	5476058871	17046227000	1271997000
Dustin_humanize	LLGoDeadcodeDrop	5239808006	11383754000	628972000
Dustin_humanize	LLGoNoLTO	5169999909	11270359000	632363000
Aws_restjson	Go	3333770574	7155110000	732942000
Gorm_schema	Go	2118915852	5133016000	393284000
Uber_zap	Go	2068548656	4826458000	430193000
K8s_workqueue	Go	1643688213	4075924000	505943000
Toml	Go	930668004	1780386000	234602000
Dustin_humanize	Go	368588631	646597000	144308000
