benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	298216576314	404347237000	6492268000
IXGo	LLGoDeadcodeDrop	122035351070	399107552000	9524173000
IXGo	LLGoFullLTOGlobalDCE	273753696561	386115120000	6169010000
IXGo	LLGoFullLTONoGlobalDCE	267467005820	360789332000	6346647000
Etcdctl	LLGoFullLTOGlobalDCE	238517710883	339693563000	5054240000
Etcdctl	LLGoFullLTONoGlobalDCE	204539894297	298480118000	4550551000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	202555281623	297809028000	4483312000
Etcdctl	LLGoNoLTO	63554391202	209242496000	5351662000
Etcdctl	LLGoDeadcodeDrop	60171640528	200022093000	4150294000
XGo	LLGoFullLTOGlobalDCEPlugin	133872291859	184952862000	4063112000
Aws_restjson	LLGoFullLTONoGlobalDCE	118173575617	182377137000	3363125000
XGo	LLGoFullLTONoGlobalDCE	132565763639	174206623000	3491458000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	101970366118	167263815000	3421709000
XGo	LLGoFullLTOGlobalDCE	126208520436	155618698000	3384140000
Uber_zap	LLGoFullLTOGlobalDCE	79989262478	120022398000	3071978000
Aws_restjson	LLGoFullLTOGlobalDCE	92723510115	117964022000	2831741000
Uber_zap	LLGoFullLTONoGlobalDCE	84823197954	102714673000	2626609000
K8s_workqueue	LLGoFullLTOGlobalDCE	77094207874	91299058000	2670399000
K8s_workqueue	LLGoFullLTONoGlobalDCE	77746517788	91339249000	2456157000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	76974710358	90940281000	2588456000
Gorm_schema	LLGoDeadcodeDrop	32130514923	88482240000	2531888000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	66886275731	85535694000	2574359000
Toml	LLGoFullLTOGlobalDCE	45810949266	76374732000	2610601000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	46261509412	74944898000	2312920000
Dustin_humanize	LLGoFullLTONoGlobalDCE	48657238318	67691006000	2413550000
Gorm_schema	LLGoFullLTONoGlobalDCE	49635554807	63588440000	1724084000
Aws_restjson	LLGoNoLTO	27238572996	62067549000	2714879000
IXGo	LLGoNoLTO	21625676767	59366465000	3611971000
Gorm_schema	LLGoFullLTOGlobalDCE	47378921343	60053681000	1676501000
Aws_restjson	LLGoDeadcodeDrop	25451385762	58225445000	2530465000
XGo	LLGoDeadcodeDrop	21956456074	57692941000	2786310000
XGo	LLGoNoLTO	21190835364	56704732000	2704102000
Toml	LLGoFullLTONoGlobalDCE	43617900755	52597910000	1662929000
Toml	LLGoFullLTOGlobalDCEPlugin	38834954743	48088305000	1638820000
Uber_zap	LLGoDeadcodeDrop	13457848252	37843878000	2168887000
IXGo	Go	9965787694	30574790000	2330133000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	24661620652	30131960000	1248479000
Dustin_humanize	LLGoFullLTOGlobalDCE	24675441464	29904114000	1253422000
K8s_workqueue	LLGoDeadcodeDrop	10280321245	27348766000	2136472000
Uber_zap	LLGoNoLTO	9175933021	22911337000	2024980000
K8s_workqueue	LLGoNoLTO	8378786736	20847122000	1941589000
Toml	LLGoNoLTO	7253119802	17967555000	1386829000
Toml	LLGoDeadcodeDrop	6838958902	16770326000	1268579000
Etcdctl	Go	5340906871	15034629000	881039000
Gorm_schema	LLGoNoLTO	5594431870	13418704000	1364054000
Dustin_humanize	LLGoDeadcodeDrop	4716869770	10201891000	1165784000
Dustin_humanize	LLGoNoLTO	4031586564	9049006000	1154845000
XGo	Go	3402076456	7955484000	518951000
Uber_zap	Go	1890003956	5078259000	437353000
Aws_restjson	Go	1832766791	4342665000	419743000
Gorm_schema	Go	1639813540	3395780000	240977000
K8s_workqueue	Go	926844316	1736746000	206634000
Dustin_humanize	Go	316146524	534177000	90217000
Toml	Go	315057206	442553000	115010000
