benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTOGlobalDCE	214181297768	219098501000	6249273000
Aws_restjson	LLGoNoLTO	185738300481	180927089000	10227499000
Aws_restjson	LLGoFullLTONoGlobalDCE	145217263531	156286517000	3107364000
Uber_zap	LLGoFullLTONoGlobalDCE	135702616403	145854960000	3278604000
K8s_workqueue	LLGoFullLTOGlobalDCE	111156431095	116759462000	2750089000
Toml	LLGoNoLTO	109795048794	97697098000	6385030000
Toml	LLGoFullLTONoGlobalDCE	106729826673	105528183000	4222401000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	103148595425	113022597000	2521774000
K8s_workqueue	LLGoFullLTONoGlobalDCE	101366888693	109265414000	2600946000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	95264839408	103840116000	2384542000
Uber_zap	LLGoFullLTOGlobalDCE	82566351982	91266717000	2302046000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	81825526796	93551435000	2368150000
Gorm_schema	LLGoFullLTONoGlobalDCE	65975314656	72550314000	1818614000
Toml	LLGoFullLTOGlobalDCEPlugin	61394896380	62503286000	1658703000
Gorm_schema	LLGoFullLTOGlobalDCE	59759189259	66434420000	1695692000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	50217247898	56711147000	1509446000
Dustin_humanize	LLGoFullLTONoGlobalDCE	43157961681	46294440000	1348267000
Toml	LLGoFullLTOGlobalDCE	37484565312	42749701000	1271234000
Uber_zap	LLGoNoLTO	37457805998	47085503000	2689704000
Gorm_schema	LLGoNoLTO	33123087368	37272432000	2351472000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	28596690896	32907863000	1277826000
Dustin_humanize	LLGoFullLTOGlobalDCE	27845398107	32309207000	1253223000
K8s_workqueue	LLGoNoLTO	21210732556	32309636000	2386890000
Dustin_humanize	LLGoNoLTO	10119988134	13389173000	1267575000
Uber_zap	Go	1089487836	737430000	149310000
Aws_restjson	Go	1083809094	912077000	129257000
Gorm_schema	Go	733737242	614038000	106459000
Dustin_humanize	Go	421694373	363431000	84847000
Toml	Go	418901319	583054000	145228000
K8s_workqueue	Go	392116032	587551000	117936000
