benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	537324030939	732808740000	6900918000
IXGo	LLGoFullLTONoGlobalDCE	481358056558	702704930000	6679176000
IXGo	LLGoFullLTOGlobalDCEPlugin	405726647951	587152154000	6836562000
IXGo	LLGoDeadcodeDrop	154032070455	441297659000	6070901000
IXGo	LLGoNoLTO	146677020734	410376407000	6115813000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	173083335519	278398809000	5074433000
Etcdctl	LLGoFullLTOGlobalDCE	172153802675	277184171000	5217589000
Etcdctl	LLGoFullLTONoGlobalDCE	171632137315	273834728000	4917956000
Etcdctl	LLGoNoLTO	68160624017	199100011000	4380730000
Etcdctl	LLGoDeadcodeDrop	68147409855	195728641000	4352687000
XGo	LLGoFullLTOGlobalDCEPlugin	125426690224	176312112000	3224970000
XGo	LLGoFullLTOGlobalDCE	125522322870	175439152000	3299455000
XGo	LLGoFullLTONoGlobalDCE	125175123272	174690864000	3294869000
Aws_restjson	LLGoFullLTONoGlobalDCE	117353246486	150648599000	2415762000
Aws_restjson	LLGoFullLTOGlobalDCE	107115863212	141543056000	2452074000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	100527739994	135305067000	2489164000
Uber_zap	LLGoFullLTONoGlobalDCE	89402913194	113633759000	1870328000
XGo	LLGoDeadcodeDrop	43688760857	109985347000	3029874000
K8s_workqueue	LLGoFullLTOGlobalDCE	88490832921	110465249000	1944359000
XGo	LLGoNoLTO	43293058294	107933362000	3018219000
Uber_zap	LLGoFullLTOGlobalDCE	78511275988	103565875000	1804629000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81842534786	102329615000	1877780000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73889808159	98439601000	1782027000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	73481131260	95813566000	1827589000
Aws_restjson	LLGoDeadcodeDrop	43877530625	85785704000	2209864000
Aws_restjson	LLGoNoLTO	43328946852	85228585000	2113860000
Gorm_schema	LLGoFullLTONoGlobalDCE	51077708375	68697524000	1418697000
Gorm_schema	LLGoFullLTOGlobalDCE	45856196843	62989264000	1436509000
Uber_zap	LLGoDeadcodeDrop	26753476699	58808880000	1715968000
Uber_zap	LLGoNoLTO	26032576959	56601794000	1611681000
Toml	LLGoFullLTONoGlobalDCE	44164511597	54722513000	1199549000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35814914666	53173023000	1385302000
K8s_workqueue	LLGoNoLTO	24349717186	49394267000	1553959000
K8s_workqueue	LLGoDeadcodeDrop	24228538081	49266002000	1608404000
Toml	LLGoFullLTOGlobalDCEPlugin	35636876163	46516119000	1143483000
IXGo	Go	13517969717	44217434000	3062816000
Toml	LLGoFullLTOGlobalDCE	34457416349	44989780000	1114598000
Gorm_schema	LLGoDeadcodeDrop	13568569456	36778710000	1312532000
Gorm_schema	LLGoNoLTO	13383722656	36306642000	1380758000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28748844586	35248380000	890970000
Etcdctl	Go	10708571193	32588489000	2123811000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18252637721	24847163000	891200000
Dustin_humanize	LLGoFullLTOGlobalDCE	17580585025	23647229000	835629000
Toml	LLGoNoLTO	8912595027	22057355000	1094109000
Toml	LLGoDeadcodeDrop	8338170348	21169353000	1005465000
XGo	Go	5592785484	17754941000	1125255000
Dustin_humanize	LLGoNoLTO	5921484678	12852220000	799929000
Dustin_humanize	LLGoDeadcodeDrop	5675244732	12287870000	754305000
Aws_restjson	Go	3110746706	7036283000	670359000
Gorm_schema	Go	2304891230	5542136000	399473000
Uber_zap	Go	2034983985	4830304000	418310000
K8s_workqueue	Go	1730520144	4373314000	457539000
Toml	Go	926881250	1807165000	237478000
Dustin_humanize	Go	406939859	679499000	159340000
