benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	590733574835	607244822000	15925972000
Etcdctl	LLGoFullLTOGlobalDCE	503293963193	470894751000	12644920000
IXGo	LLGoFullLTOGlobalDCEPlugin	474114521364	494945575000	9537166000
IXGo	LLGoFullLTONoGlobalDCE	414782290523	453534799000	7693147000
XGo	LLGoFullLTOGlobalDCEPlugin	374441850470	351768069000	14542062000
Etcdctl	LLGoFullLTONoGlobalDCE	372985112680	388650854000	5970998000
IXGo	LLGoNoLTO	371858280831	384533192000	16489993000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	357465520693	374234308000	5938462000
XGo	LLGoFullLTONoGlobalDCE	212884328746	235701867000	4826229000
Etcdctl	LLGoNoLTO	184683336019	235575072000	9705376000
XGo	LLGoFullLTOGlobalDCE	160614936516	181681502000	3406309000
K8s_workqueue	LLGoNoLTO	158404111656	155687650000	8971426000
Aws_restjson	LLGoFullLTONoGlobalDCE	148194762624	161818224000	2765533000
Aws_restjson	LLGoFullLTOGlobalDCE	136954105408	145122192000	2937639000
Gorm_schema	LLGoFullLTONoGlobalDCE	130076834973	125651663000	3831898000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	126702754706	130184312000	3620974000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	123581890862	136551834000	2654655000
Toml	LLGoFullLTONoGlobalDCE	122323222084	116227989000	3744504000
Uber_zap	LLGoFullLTONoGlobalDCE	106286485262	118453052000	2484239000
Uber_zap	LLGoFullLTOGlobalDCE	101765592295	108354615000	2776807000
Dustin_humanize	LLGoNoLTO	99477004839	80055951000	6274668000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	95471727527	105277539000	2341586000
K8s_workqueue	LLGoFullLTONoGlobalDCE	94664715929	105522624000	2286473000
K8s_workqueue	LLGoFullLTOGlobalDCE	93375455272	105123698000	2261197000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	79575214175	73460488000	2297865000
Aws_restjson	LLGoNoLTO	63731450072	79738467000	3780435000
XGo	LLGoNoLTO	61411243292	82468976000	3956559000
Gorm_schema	LLGoFullLTOGlobalDCE	57485779611	64502345000	1624656000
Dustin_humanize	LLGoFullLTOGlobalDCE	53396776847	46998848000	1391337000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	42661766482	41915250000	1300272000
Toml	LLGoFullLTOGlobalDCE	41568740834	46973690000	1348395000
Toml	LLGoFullLTOGlobalDCEPlugin	40650035275	46245256000	1357362000
Dustin_humanize	LLGoFullLTONoGlobalDCE	40011719416	44734145000	1216551000
Uber_zap	LLGoNoLTO	32661264936	45086072000	2467870000
Gorm_schema	LLGoNoLTO	28669434720	32856802000	1990430000
Toml	LLGoNoLTO	17183750979	21432298000	1414141000
IXGo	Go	10710296076	34031702000	2748433000
Gorm_schema	Go	10036287228	4165490000	264392000
Etcdctl	Go	6408098086	15722597000	1175165000
XGo	Go	3917794249	6442070000	476988000
Aws_restjson	Go	3729069651	6621589000	767665000
Uber_zap	Go	2719645682	3259371000	279464000
Toml	Go	939611852	588331000	100699000
K8s_workqueue	Go	837259582	1606918000	176472000
Dustin_humanize	Go	655722924	634818000	103557000
