benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	429028517354	448614883000	5326173000
IXGo	LLGoFullLTOGlobalDCE	400802888208	428257632000	5319389000
IXGo	LLGoFullLTOGlobalDCEPlugin	382613246147	416917858000	5785179000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	302513197192	331254027000	3976494000
Etcdctl	LLGoFullLTOGlobalDCE	289253100036	324871765000	4206921000
IXGo	LLGoDeadcodeDrop	233726854561	293166697000	6453870000
Etcdctl	LLGoFullLTONoGlobalDCE	257271006061	286133518000	3519786000
Etcdctl	LLGoDeadcodeDrop	186387435538	209987866000	4034347000
XGo	LLGoFullLTOGlobalDCE	189801218314	198858828000	3462609000
XGo	LLGoNoLTO	141207178164	176095643000	4388023000
XGo	LLGoFullLTONoGlobalDCE	151249996838	174317539000	2972170000
XGo	LLGoFullLTOGlobalDCEPlugin	156544025088	173624617000	2972304000
K8s_workqueue	LLGoFullLTONoGlobalDCE	158380592579	164957254000	3537815000
Uber_zap	LLGoDeadcodeDrop	143476743925	156817688000	4115500000
Aws_restjson	LLGoFullLTOGlobalDCE	155484620953	155330343000	2816913000
Aws_restjson	LLGoFullLTONoGlobalDCE	129536631549	144652370000	2603696000
Uber_zap	LLGoFullLTONoGlobalDCE	140240308404	137643545000	2702955000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	127576982580	137385612000	2601413000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	127630203290	116409847000	2977293000
Gorm_schema	LLGoFullLTONoGlobalDCE	119368017673	110741196000	2157459000
K8s_workqueue	LLGoFullLTOGlobalDCE	91941247047	102558107000	2444997000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	87970533289	100714021000	2197518000
IXGo	LLGoNoLTO	56590236417	96576118000	3144669000
Uber_zap	LLGoFullLTOGlobalDCE	84741632268	96906447000	2310750000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	88043941273	96554465000	2346400000
Etcdctl	LLGoNoLTO	70440529931	89679349000	3023459000
Aws_restjson	LLGoDeadcodeDrop	84794027854	86194132000	2697652000
XGo	LLGoDeadcodeDrop	72748875038	82646262000	2778905000
Gorm_schema	LLGoFullLTOGlobalDCE	90429133563	82624707000	1814018000
Aws_restjson	LLGoNoLTO	46648890457	67207230000	2640347000
Toml	LLGoFullLTOGlobalDCE	70337887208	62897320000	1658552000
Toml	LLGoFullLTONoGlobalDCE	48284789185	54466120000	1348517000
Toml	LLGoFullLTOGlobalDCEPlugin	44976078689	49613812000	1447445000
Dustin_humanize	LLGoFullLTONoGlobalDCE	37993100783	43481159000	1240623000
IXGo	Go	17396242642	39885486000	2559386000
Uber_zap	LLGoNoLTO	37990852973	38442003000	2263513000
Gorm_schema	LLGoDeadcodeDrop	40860738680	37438166000	1570232000
K8s_workqueue	LLGoNoLTO	36467089621	36046900000	2079177000
K8s_workqueue	LLGoDeadcodeDrop	27170823163	34236719000	2128187000
Etcdctl	Go	21579293602	34429511000	1871556000
Dustin_humanize	LLGoFullLTOGlobalDCE	28207032279	33156750000	1328018000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27609389341	32634704000	1218666000
Gorm_schema	LLGoNoLTO	22387310930	28041766000	1307498000
Toml	LLGoNoLTO	30649655905	25048645000	1453145000
Toml	LLGoDeadcodeDrop	31417207985	24973549000	1418601000
Dustin_humanize	LLGoNoLTO	13296191178	13211353000	1233407000
Dustin_humanize	LLGoDeadcodeDrop	6987248585	12387899000	1184440000
XGo	Go	8637000384	7233718000	459926000
Uber_zap	Go	9270976050	6274642000	434601000
Aws_restjson	Go	5330033582	5593806000	490471000
Gorm_schema	Go	2919082216	3886789000	220290000
Toml	Go	4674409061	2190616000	226013000
K8s_workqueue	Go	3148563484	2036132000	218208000
Dustin_humanize	Go	508253783	630754000	107709000
