benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	404735914503	600072714000	6734428000
IXGo	LLGoFullLTONoGlobalDCE	396492538330	576591802000	6365844000
IXGo	LLGoFullLTOGlobalDCE	395954261536	572445548000	6508054000
IXGo	LLGoNoLTO	136837578825	364712370000	5567441000
IXGo	LLGoDeadcodeDrop	130622109423	352339813000	5623552000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	162499511644	261841564000	4738529000
Etcdctl	LLGoFullLTOGlobalDCE	160972385599	260259045000	4462427000
Etcdctl	LLGoFullLTONoGlobalDCE	160711326420	258152152000	4434947000
Etcdctl	LLGoDeadcodeDrop	65749102143	191968935000	4024095000
Etcdctl	LLGoNoLTO	66266557887	191648340000	3883924000
XGo	LLGoFullLTOGlobalDCEPlugin	125668723224	176493260000	3262611000
XGo	LLGoFullLTONoGlobalDCE	126340800557	175357665000	3125627000
XGo	LLGoFullLTOGlobalDCE	125045172860	174239962000	3166732000
Aws_restjson	LLGoFullLTONoGlobalDCE	117000153008	149253214000	2259332000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	105069208125	139422853000	2317525000
Aws_restjson	LLGoFullLTOGlobalDCE	102692943687	136513925000	2204092000
Uber_zap	LLGoFullLTONoGlobalDCE	84309568695	107819444000	1622099000
XGo	LLGoDeadcodeDrop	42827706065	106422006000	2671573000
K8s_workqueue	LLGoFullLTOGlobalDCE	82374736505	103457597000	1673038000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82499465883	103317266000	1693292000
XGo	LLGoNoLTO	40651684419	102157119000	2672996000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	75529042211	99790274000	1760632000
Uber_zap	LLGoFullLTOGlobalDCE	73986194551	98089024000	1641688000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	68147004695	89834495000	1573932000
Aws_restjson	LLGoDeadcodeDrop	39668520144	80800683000	1926318000
Aws_restjson	LLGoNoLTO	39196907794	79475122000	1827844000
Gorm_schema	LLGoFullLTONoGlobalDCE	46881735846	63911748000	1251326000
Gorm_schema	LLGoFullLTOGlobalDCE	46191689799	63506545000	1222536000
Uber_zap	LLGoDeadcodeDrop	26512943462	57139645000	1452223000
Uber_zap	LLGoNoLTO	26246368403	56215938000	1462449000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35732039884	53269114000	1240683000
Toml	LLGoFullLTONoGlobalDCE	41300623604	51862616000	1075328000
K8s_workqueue	LLGoNoLTO	23248518842	47789051000	1287014000
K8s_workqueue	LLGoDeadcodeDrop	23235256484	47823195000	1250582000
IXGo	Go	13198647817	42287122000	2874889000
Toml	LLGoFullLTOGlobalDCEPlugin	33219683232	43890606000	936635000
Toml	LLGoFullLTOGlobalDCE	32902494533	43294379000	962037000
Gorm_schema	LLGoDeadcodeDrop	12678727517	35063708000	1076914000
Gorm_schema	LLGoNoLTO	12456278410	34618166000	1083706000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26510584005	32502496000	779262000
Etcdctl	Go	9919426062	31177133000	1922932000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17687783330	24390507000	724602000
Dustin_humanize	LLGoFullLTOGlobalDCE	17615402767	23770801000	687260000
Toml	LLGoDeadcodeDrop	8299786200	21244977000	825785000
Toml	LLGoNoLTO	7991540393	20777739000	870182000
XGo	Go	5547120557	17974237000	1192376000
Dustin_humanize	LLGoDeadcodeDrop	5412424048	11748619000	637957000
Dustin_humanize	LLGoNoLTO	5287921838	11636276000	605115000
Aws_restjson	Go	3162274936	7206409000	612584000
Gorm_schema	Go	2174567154	5315197000	411521000
Uber_zap	Go	2037850813	4881931000	403377000
K8s_workqueue	Go	1634371124	4185280000	468069000
Toml	Go	911770589	1783882000	229672000
Dustin_humanize	Go	373484465	676976000	133931000
