benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	297019778642	469392985000	9165832000
IXGo	LLGoFullLTOGlobalDCE	274406704642	378660933000	6194062000
IXGo	LLGoFullLTOGlobalDCEPlugin	276001884005	374465423000	6454333000
Etcdctl	LLGoFullLTONoGlobalDCE	215144945192	318793776000	5266005000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	208745194830	305003449000	4577345000
Etcdctl	LLGoFullLTOGlobalDCE	208023931674	304371910000	4757618000
IXGo	LLGoDeadcodeDrop	91433802508	286153920000	5423346000
XGo	LLGoFullLTOGlobalDCE	138542036702	191353927000	4192607000
Etcdctl	LLGoDeadcodeDrop	57632989648	188867490000	3917109000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	112430836304	178745093000	5118620000
XGo	LLGoFullLTOGlobalDCEPlugin	134518782201	179195750000	3446240000
XGo	LLGoFullLTONoGlobalDCE	131443907898	159256952000	3397931000
K8s_workqueue	LLGoDeadcodeDrop	51219217534	152643144000	3943702000
Aws_restjson	LLGoFullLTONoGlobalDCE	112267890486	137735665000	3045037000
K8s_workqueue	LLGoFullLTOGlobalDCE	92650055130	136698264000	3350487000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	99846700585	132863864000	3377168000
Aws_restjson	LLGoFullLTOGlobalDCE	96384273148	122624802000	2850790000
Uber_zap	LLGoFullLTONoGlobalDCE	87049562320	105434734000	2704500000
XGo	LLGoNoLTO	30935653447	94705438000	2695312000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79736054058	93635980000	2496055000
Uber_zap	LLGoFullLTOGlobalDCE	69352856602	90901170000	2632673000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	68621009867	88333638000	2658731000
Etcdctl	LLGoNoLTO	28366876500	77724634000	3339294000
Aws_restjson	LLGoDeadcodeDrop	26778189350	64184611000	2473245000
Dustin_humanize	LLGoFullLTONoGlobalDCE	45045946054	64436762000	2155261000
Gorm_schema	LLGoFullLTOGlobalDCE	49052607827	63380238000	1729884000
Gorm_schema	LLGoFullLTONoGlobalDCE	50466363783	62946354000	1758381000
IXGo	LLGoNoLTO	22284060156	60586607000	3711248000
XGo	LLGoDeadcodeDrop	22333400660	58586481000	2888697000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	39697761402	57184901000	1975936000
Dustin_humanize	LLGoFullLTOGlobalDCE	34908631228	54363972000	2067022000
Toml	LLGoFullLTONoGlobalDCE	43704404551	51758055000	1578175000
Toml	LLGoFullLTOGlobalDCEPlugin	35647234840	45493505000	1600380000
Toml	LLGoFullLTOGlobalDCE	34993154450	43752585000	1490891000
IXGo	Go	12154083398	39368968000	3061329000
Uber_zap	LLGoDeadcodeDrop	13779073679	39226213000	2224688000
Gorm_schema	LLGoNoLTO	10493992331	30665645000	1519392000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25375329446	30795118000	1306743000
Etcdctl	Go	9420510545	29484262000	2025069000
Gorm_schema	LLGoDeadcodeDrop	9852064228	28176855000	1598510000
Aws_restjson	LLGoNoLTO	10293317408	26138100000	2223475000
Uber_zap	LLGoNoLTO	9327004967	23442715000	2141222000
K8s_workqueue	LLGoNoLTO	8605234437	21346499000	2044863000
Toml	LLGoNoLTO	6879225543	17174190000	1366088000
Toml	LLGoDeadcodeDrop	6962264159	17016829000	1356093000
Dustin_humanize	LLGoDeadcodeDrop	4743456411	10300741000	1203530000
Dustin_humanize	LLGoNoLTO	4080794427	9267225000	1176455000
XGo	Go	2400187500	5813640000	398535000
Uber_zap	Go	1921880190	5124698000	448958000
Aws_restjson	Go	1923147531	4531090000	416687000
Gorm_schema	Go	1486045951	3181957000	206577000
K8s_workqueue	Go	805644348	1572193000	185328000
Dustin_humanize	Go	323370549	543417000	95205000
Toml	Go	308995996	438895000	105534000
