benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	382901466649	404691451000	4896921000
IXGo	LLGoFullLTOGlobalDCE	344853543418	380222460000	4627527000
IXGo	LLGoFullLTONoGlobalDCE	331878098361	368287719000	4493473000
Etcdctl	LLGoFullLTOGlobalDCE	293779569491	339101822000	4748231000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	304137586525	333479583000	4232559000
IXGo	LLGoDeadcodeDrop	256789049478	298456758000	6107015000
Etcdctl	LLGoFullLTONoGlobalDCE	247172244630	279164041000	3467767000
XGo	LLGoFullLTONoGlobalDCE	175956672013	207763606000	3937062000
Aws_restjson	LLGoFullLTONoGlobalDCE	183429697517	183186785000	3297892000
XGo	LLGoFullLTOGlobalDCE	156797771387	180896012000	2650265000
XGo	LLGoFullLTOGlobalDCEPlugin	154614551546	174548381000	2974828000
Etcdctl	LLGoDeadcodeDrop	155200942718	173809160000	2961272000
K8s_workqueue	LLGoFullLTONoGlobalDCE	146326043090	162758771000	3951954000
Aws_restjson	LLGoFullLTOGlobalDCE	154442033412	152615870000	2901521000
Etcdctl	LLGoNoLTO	122457675540	150153067000	2839637000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	155185248431	149250731000	3385348000
Uber_zap	LLGoFullLTONoGlobalDCE	107614452676	117175319000	2459311000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	115599448844	117056158000	2544814000
Uber_zap	LLGoFullLTOGlobalDCE	120529315301	114360010000	2610279000
IXGo	LLGoNoLTO	84072003687	107003760000	3271104000
K8s_workqueue	LLGoFullLTOGlobalDCE	97319749195	105086897000	2480743000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	88133071283	96695456000	2337272000
XGo	LLGoDeadcodeDrop	87268228869	90601682000	3464282000
XGo	LLGoNoLTO	86526113531	87804873000	3432232000
Uber_zap	LLGoDeadcodeDrop	66190149816	85178698000	2399296000
Aws_restjson	LLGoDeadcodeDrop	77809522033	82754107000	2399214000
Gorm_schema	LLGoFullLTOGlobalDCE	84422553452	81454956000	1830541000
Toml	LLGoFullLTONoGlobalDCE	94297733277	79639689000	1617315000
Toml	LLGoDeadcodeDrop	76193834180	78124068000	2440310000
Aws_restjson	LLGoNoLTO	78695415317	77972633000	2341816000
Gorm_schema	LLGoFullLTONoGlobalDCE	78451262973	74543983000	1820295000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	51601369066	56404238000	1528288000
Toml	LLGoFullLTOGlobalDCEPlugin	49869933069	51197527000	1480284000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	58952402332	49518461000	1513484000
Dustin_humanize	LLGoFullLTONoGlobalDCE	58472769439	49276865000	1556579000
Toml	LLGoFullLTOGlobalDCE	43751388002	48409352000	1399890000
IXGo	Go	26245680391	43494958000	2668294000
K8s_workqueue	LLGoDeadcodeDrop	40558626921	38853875000	2045682000
Gorm_schema	LLGoDeadcodeDrop	43337644383	36699904000	1459329000
Dustin_humanize	LLGoFullLTOGlobalDCE	34490112025	36670565000	1319608000
Etcdctl	Go	17374877063	33184759000	1948702000
Uber_zap	LLGoNoLTO	14932444988	29885076000	1896524000
K8s_workqueue	LLGoNoLTO	14155865302	26313319000	1884679000
Gorm_schema	LLGoNoLTO	17199379229	20249324000	1508969000
Toml	LLGoNoLTO	19386099009	16727600000	1323721000
Dustin_humanize	LLGoNoLTO	25991617707	15958585000	1303306000
Dustin_humanize	LLGoDeadcodeDrop	24415443837	15347176000	1294237000
XGo	Go	4821293303	6805460000	410822000
Gorm_schema	Go	6413827192	6336837000	422702000
Aws_restjson	Go	1927159411	4658982000	414213000
Uber_zap	Go	3230652525	3387263000	231824000
K8s_workqueue	Go	1614348285	1922872000	206660000
Dustin_humanize	Go	1166325040	830564000	119043000
Toml	Go	753973117	590161000	124993000
