benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	393065370679	582972823000	6724630000
IXGo	LLGoFullLTOGlobalDCE	393659741786	574292131000	6397524000
IXGo	LLGoFullLTONoGlobalDCE	386408461715	564829005000	6214663000
IXGo	LLGoDeadcodeDrop	129258112902	348077968000	5693562000
IXGo	LLGoNoLTO	119678921004	331174421000	5518650000
Etcdctl	LLGoFullLTOGlobalDCE	168188998931	282913401000	4567630000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	164720267354	279153293000	4594005000
Etcdctl	LLGoFullLTONoGlobalDCE	165591729258	277618449000	4501878000
Etcdctl	LLGoDeadcodeDrop	71755006470	213683083000	4275509000
Etcdctl	LLGoNoLTO	71242929820	210885607000	4075677000
XGo	LLGoFullLTOGlobalDCE	123727362949	174218315000	3123071000
XGo	LLGoFullLTOGlobalDCEPlugin	124608637045	174258426000	3074133000
XGo	LLGoFullLTONoGlobalDCE	124908918313	174270595000	3013592000
Aws_restjson	LLGoFullLTONoGlobalDCE	114031916836	146561486000	2162703000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	104574493945	138965659000	2173369000
Aws_restjson	LLGoFullLTOGlobalDCE	102245300850	135395549000	2177438000
Uber_zap	LLGoFullLTONoGlobalDCE	84542268023	107931704000	1655308000
XGo	LLGoDeadcodeDrop	42548569244	105764155000	2548415000
XGo	LLGoNoLTO	41470699880	103298058000	2551132000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	81490809739	102054206000	1740290000
K8s_workqueue	LLGoFullLTOGlobalDCE	80814391888	102007270000	1630795000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80509131213	101292305000	1615204000
Uber_zap	LLGoFullLTOGlobalDCE	74450142663	98614050000	1550914000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73238460777	96882350000	1713784000
Aws_restjson	LLGoDeadcodeDrop	38557415430	79097989000	1995539000
Aws_restjson	LLGoNoLTO	37467057282	76834651000	1853231000
Gorm_schema	LLGoFullLTOGlobalDCE	45803075672	63124449000	1307551000
Gorm_schema	LLGoFullLTONoGlobalDCE	46347507542	63188163000	1206045000
Uber_zap	LLGoDeadcodeDrop	25140453558	55001521000	1360691000
Uber_zap	LLGoNoLTO	25509009044	54850193000	1372410000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35467812562	52805683000	1168686000
Toml	LLGoFullLTONoGlobalDCE	41073803144	50867593000	1007905000
K8s_workqueue	LLGoDeadcodeDrop	23159022898	47658948000	1437052000
K8s_workqueue	LLGoNoLTO	22819546614	47003182000	1375801000
IXGo	Go	12983779414	42295109000	2908925000
Toml	LLGoFullLTOGlobalDCE	33032470837	43500692000	951274000
Toml	LLGoFullLTOGlobalDCEPlugin	32800148686	43278490000	932507000
Gorm_schema	LLGoDeadcodeDrop	12747576661	35102878000	1115174000
Gorm_schema	LLGoNoLTO	12405449122	34680051000	1037263000
Etcdctl	Go	9950822877	31236681000	1979948000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26187253280	32171009000	751055000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17377720466	23576076000	701797000
Dustin_humanize	LLGoFullLTOGlobalDCE	17341231598	23536907000	706275000
Toml	LLGoDeadcodeDrop	8272353743	21027081000	885339000
Toml	LLGoNoLTO	8018386634	20748824000	814599000
XGo	Go	5568976232	17884646000	1169368000
Dustin_humanize	LLGoDeadcodeDrop	5358108232	11711632000	612812000
Dustin_humanize	LLGoNoLTO	5259958069	11624450000	623834000
Aws_restjson	Go	3223077704	7272524000	644877000
Gorm_schema	Go	2172484979	5373782000	373935000
Uber_zap	Go	2031838280	4922666000	355825000
K8s_workqueue	Go	1675889425	4307527000	458970000
Toml	Go	907170977	1790526000	215984000
Dustin_humanize	Go	376018967	648269000	159533000
