benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoNoLTO	578281642734	579752799000	30229461000
IXGo	LLGoFullLTOGlobalDCE	447909381244	463669645000	13945510000
IXGo	LLGoFullLTOGlobalDCEPlugin	445941164628	449283598000	10864119000
IXGo	LLGoFullLTONoGlobalDCE	397501484203	431653945000	8527027000
XGo	LLGoFullLTOGlobalDCEPlugin	344117632526	344024177000	8297606000
Aws_restjson	LLGoFullLTOGlobalDCE	331405385764	307528072000	9649043000
Etcdctl	LLGoFullLTONoGlobalDCE	289069596511	318652900000	5806206000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	277642462263	307064734000	5659849000
Etcdctl	LLGoFullLTOGlobalDCE	274215720144	303633150000	5661399000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	272588169178	245043344000	7808808000
Etcdctl	LLGoNoLTO	221394735248	242710192000	9939326000
XGo	LLGoFullLTONoGlobalDCE	166669956484	187643589000	3716040000
Uber_zap	LLGoFullLTONoGlobalDCE	165742838673	178262221000	5639328000
Aws_restjson	LLGoFullLTONoGlobalDCE	164093997272	163961502000	3425358000
XGo	LLGoFullLTOGlobalDCE	153262056298	174278526000	3632073000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	136852609018	139511777000	3234467000
K8s_workqueue	LLGoFullLTONoGlobalDCE	134594445181	128475966000	3067032000
Aws_restjson	LLGoNoLTO	104314138622	99659668000	4617707000
K8s_workqueue	LLGoFullLTOGlobalDCE	99408895790	106928039000	2519031000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	99213447358	106442803000	2919679000
Uber_zap	LLGoFullLTOGlobalDCE	81719945447	94229888000	2520656000
XGo	LLGoNoLTO	76503530597	86424861000	4598058000
Toml	LLGoFullLTONoGlobalDCE	66389923651	66872418000	1695097000
Gorm_schema	LLGoFullLTOGlobalDCE	66173544924	69981921000	1935381000
Gorm_schema	LLGoFullLTONoGlobalDCE	62625085119	69030202000	1849361000
Uber_zap	LLGoNoLTO	58204293410	56063269000	3182564000
Gorm_schema	LLGoNoLTO	55776561085	48495338000	2701029000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	53530318789	44791044000	1610514000
Toml	LLGoFullLTOGlobalDCEPlugin	46302108799	49214560000	1472348000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	45512856946	51841643000	1676775000
Dustin_humanize	LLGoFullLTOGlobalDCE	43903375253	43633076000	1475720000
Dustin_humanize	LLGoFullLTONoGlobalDCE	41064409577	44813668000	1461232000
Toml	LLGoFullLTOGlobalDCE	40538109351	46081994000	1426945000
IXGo	Go	22975182852	36136910000	2550077000
K8s_workqueue	LLGoNoLTO	20137158796	30967306000	2210279000
Toml	LLGoNoLTO	18573732692	24756364000	1740348000
Etcdctl	Go	17623636641	32906538000	2203078000
Dustin_humanize	LLGoNoLTO	8029808210	11779244000	1190766000
Gorm_schema	Go	4473812474	5991594000	602536000
XGo	Go	3578821233	8445245000	551837000
Uber_zap	Go	3167008699	3280104000	424340000
K8s_workqueue	Go	2100762390	2017808000	225851000
Aws_restjson	Go	2027635298	4649805000	458085000
Dustin_humanize	Go	1196143437	748451000	138140000
Toml	Go	317743239	443629000	106525000
