benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	485980488896	505020324000	10431073000
Etcdctl	LLGoFullLTOGlobalDCE	430664524196	460150464000	11677515000
IXGo	LLGoFullLTOGlobalDCE	410498180176	441798424000	8702268000
IXGo	LLGoFullLTONoGlobalDCE	385768582957	439955565000	9700227000
Etcdctl	LLGoFullLTONoGlobalDCE	334128974805	353650872000	6353748000
XGo	LLGoFullLTOGlobalDCEPlugin	332670852303	341512243000	9272373000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	324639342231	343536000000	6611036000
Etcdctl	LLGoNoLTO	252704341524	261790073000	11262648000
IXGo	LLGoNoLTO	251225329988	279027665000	13270344000
Uber_zap	LLGoNoLTO	241047292417	222253544000	13878291000
XGo	LLGoFullLTOGlobalDCE	223511354027	232439706000	4371987000
XGo	LLGoFullLTONoGlobalDCE	184278554309	206405137000	4206990000
K8s_workqueue	LLGoFullLTONoGlobalDCE	179488082334	176874616000	5961213000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	155474371811	158220616000	3510223000
Aws_restjson	LLGoFullLTOGlobalDCE	153093298966	155968325000	3269781000
Aws_restjson	LLGoFullLTONoGlobalDCE	138147865028	155194358000	3402757000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	129235816304	128357482000	3123078000
Uber_zap	LLGoFullLTOGlobalDCE	128167602695	128701686000	3259475000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	125664014783	127786344000	2938598000
Uber_zap	LLGoFullLTONoGlobalDCE	105037148656	117331435000	2614297000
XGo	LLGoNoLTO	104586142584	124019647000	6396480000
Aws_restjson	LLGoNoLTO	95892449455	97331809000	4347712000
K8s_workqueue	LLGoFullLTOGlobalDCE	95606326157	104369442000	2530785000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	91927795412	86543052000	2190089000
Toml	LLGoFullLTONoGlobalDCE	82578978498	77443554000	1772109000
Toml	LLGoFullLTOGlobalDCEPlugin	76866940748	73440579000	1981513000
Dustin_humanize	LLGoFullLTONoGlobalDCE	75576255310	70168171000	1599522000
Gorm_schema	LLGoFullLTONoGlobalDCE	68537773830	72819414000	1761502000
Gorm_schema	LLGoFullLTOGlobalDCE	63070452151	67345334000	1871516000
Toml	LLGoFullLTOGlobalDCE	52253256378	51893471000	1518729000
K8s_workqueue	LLGoNoLTO	44768082528	45184774000	3085650000
Gorm_schema	LLGoNoLTO	30928775947	40374354000	2485439000
Toml	LLGoNoLTO	30732086519	28826907000	1878776000
Dustin_humanize	LLGoFullLTOGlobalDCE	28467292755	33062218000	1336554000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27639635491	32036924000	1187371000
XGo	Go	23488441096	20218989000	1129939000
Dustin_humanize	LLGoNoLTO	15748912277	15388570000	1372090000
IXGo	Go	11700094811	36449375000	2523345000
Etcdctl	Go	8128268390	17028254000	879037000
Gorm_schema	Go	5343979669	4127140000	219321000
Aws_restjson	Go	2020756325	4675471000	427537000
Uber_zap	Go	1319231085	2773069000	213939000
K8s_workqueue	Go	847400962	1637463000	193671000
Dustin_humanize	Go	750631392	681335000	103402000
Toml	Go	481455187	539652000	98549000
