benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	403708994026	599895682000	6898125000
IXGo	LLGoFullLTOGlobalDCE	393156671326	591976145000	6717816000
IXGo	LLGoFullLTONoGlobalDCE	405144591757	591097833000	6478440000
IXGo	LLGoNoLTO	138704667437	379527365000	5933467000
IXGo	LLGoDeadcodeDrop	129917480804	351170766000	5695688000
Etcdctl	LLGoFullLTOGlobalDCE	166539362874	265691745000	4849025000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	162558235772	263725962000	4928033000
Etcdctl	LLGoFullLTONoGlobalDCE	160077959949	256080842000	4671303000
Etcdctl	LLGoDeadcodeDrop	67717303706	197482757000	4426270000
Etcdctl	LLGoNoLTO	68068158919	195409424000	4301223000
XGo	LLGoFullLTOGlobalDCEPlugin	129119120833	179774150000	3358960000
XGo	LLGoFullLTOGlobalDCE	129873279257	179691212000	3224511000
XGo	LLGoFullLTONoGlobalDCE	124769274543	173128632000	3086692000
Aws_restjson	LLGoFullLTONoGlobalDCE	117539851029	149964503000	2367097000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	103625046500	138642061000	2437563000
Aws_restjson	LLGoFullLTOGlobalDCE	104866685028	138218946000	2461913000
Uber_zap	LLGoFullLTONoGlobalDCE	86014134721	109415335000	1845586000
XGo	LLGoDeadcodeDrop	42048013107	105352950000	2822150000
XGo	LLGoNoLTO	42392359156	104278870000	2713807000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81881489182	102476947000	1869376000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	77316129034	102189926000	1897814000
K8s_workqueue	LLGoFullLTOGlobalDCE	81103584739	102175164000	1823842000
Uber_zap	LLGoFullLTOGlobalDCE	74212638197	98044560000	1883784000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	67867553378	88988871000	1807080000
Aws_restjson	LLGoNoLTO	41432517877	81349415000	2101268000
Aws_restjson	LLGoDeadcodeDrop	39032410685	79626381000	2083821000
Gorm_schema	LLGoFullLTONoGlobalDCE	46571098653	63371087000	1350110000
Gorm_schema	LLGoFullLTOGlobalDCE	45969557109	62992461000	1490165000
Uber_zap	LLGoDeadcodeDrop	25892076189	56722400000	1591540000
Uber_zap	LLGoNoLTO	25280953967	55107676000	1566931000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35886706477	53268643000	1350670000
Toml	LLGoFullLTONoGlobalDCE	40972452349	50919356000	1101884000
K8s_workqueue	LLGoDeadcodeDrop	24046099942	48555595000	1645849000
K8s_workqueue	LLGoNoLTO	24299538959	48372131000	1480032000
Toml	LLGoFullLTOGlobalDCEPlugin	33316557068	43815878000	1064094000
IXGo	Go	12833227919	41902308000	2918143000
Toml	LLGoFullLTOGlobalDCE	32904317855	43241499000	1119990000
Gorm_schema	LLGoDeadcodeDrop	13125500921	36143663000	1203319000
Gorm_schema	LLGoNoLTO	12735391900	34813738000	1238478000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27266628222	33036791000	864413000
Etcdctl	Go	9879502195	31185670000	1980120000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18329419494	24893959000	898176000
Dustin_humanize	LLGoFullLTOGlobalDCE	17628019064	23657618000	832342000
Toml	LLGoDeadcodeDrop	8592155951	21230858000	1022139000
Toml	LLGoNoLTO	8269869810	21082792000	1009175000
XGo	Go	5531958642	17925456000	1141874000
Dustin_humanize	LLGoDeadcodeDrop	5892215694	12321280000	774574000
Dustin_humanize	LLGoNoLTO	5578332869	11886878000	763604000
Aws_restjson	Go	3149877096	7235851000	602724000
Gorm_schema	Go	2158027377	5340074000	399310000
Uber_zap	Go	2118881810	4957668000	411535000
K8s_workqueue	Go	1673016518	4233076000	485612000
Toml	Go	920055094	1784002000	244225000
Dustin_humanize	Go	376648768	671995000	134250000
