benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	382050497580	539573325000	5654190000
IXGo	LLGoFullLTOGlobalDCEPlugin	381744663435	530899947000	5701168000
IXGo	LLGoFullLTONoGlobalDCE	336640158157	483360828000	5398302000
IXGo	LLGoNoLTO	110234891599	292800853000	5030545000
IXGo	LLGoDeadcodeDrop	109397021880	291438435000	5083098000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	126584768740	199225204000	4050869000
Etcdctl	LLGoFullLTOGlobalDCE	125830326516	198668343000	4056866000
Etcdctl	LLGoFullLTONoGlobalDCE	125666893946	196194372000	3942340000
Etcdctl	LLGoDeadcodeDrop	50041292291	142712206000	3477680000
Etcdctl	LLGoNoLTO	48861573431	140569460000	3514107000
XGo	LLGoFullLTOGlobalDCEPlugin	99008266671	135617954000	2590970000
XGo	LLGoFullLTOGlobalDCE	97909521035	134940659000	2607359000
XGo	LLGoFullLTONoGlobalDCE	98744022280	134405565000	2682636000
Aws_restjson	LLGoFullLTONoGlobalDCE	93976344048	117000042000	1782392000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	85173128711	109723491000	1887887000
Aws_restjson	LLGoFullLTOGlobalDCE	84536577321	108076004000	1848861000
Uber_zap	LLGoFullLTONoGlobalDCE	66168555158	83444870000	1423390000
XGo	LLGoDeadcodeDrop	32614744171	78303620000	2465084000
K8s_workqueue	LLGoFullLTOGlobalDCE	63902909699	79131828000	1389648000
K8s_workqueue	LLGoFullLTONoGlobalDCE	63823181198	78631559000	1418750000
Uber_zap	LLGoFullLTOGlobalDCE	60236882602	77127231000	1413494000
XGo	LLGoNoLTO	30845060618	75500585000	2187262000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	58530932459	76050565000	1409304000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	52299095631	67519840000	1343186000
Aws_restjson	LLGoNoLTO	32175675943	61305391000	1559429000
Aws_restjson	LLGoDeadcodeDrop	30100093123	60111002000	1638201000
Gorm_schema	LLGoFullLTONoGlobalDCE	35286410160	47236299000	987830000
Gorm_schema	LLGoFullLTOGlobalDCE	34840985499	47048741000	1144237000
Uber_zap	LLGoDeadcodeDrop	20321545041	42459258000	1193067000
Uber_zap	LLGoNoLTO	20725373016	42031300000	1143078000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	27259341972	39904324000	1005638000
Toml	LLGoFullLTONoGlobalDCE	31617694140	38869775000	860050000
K8s_workqueue	LLGoDeadcodeDrop	18802026512	35890621000	1182483000
K8s_workqueue	LLGoNoLTO	18267163737	35809407000	1066756000
IXGo	Go	9790521703	31438087000	2329241000
Toml	LLGoFullLTOGlobalDCE	24714931763	32187641000	811225000
Toml	LLGoFullLTOGlobalDCEPlugin	24654794927	32125345000	787347000
Gorm_schema	LLGoDeadcodeDrop	9622365604	25709604000	974094000
Gorm_schema	LLGoNoLTO	9246010212	25186483000	874945000
Dustin_humanize	LLGoFullLTONoGlobalDCE	20895598963	25370800000	622899000
Etcdctl	Go	7558304437	23360911000	1695108000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	14226698307	18991004000	569095000
Dustin_humanize	LLGoFullLTOGlobalDCE	13619225376	18190214000	585958000
Toml	LLGoDeadcodeDrop	6180066245	15296859000	713594000
Toml	LLGoNoLTO	5963685732	15151607000	677654000
XGo	Go	4236507526	13201709000	1024061000
Dustin_humanize	LLGoDeadcodeDrop	4133135235	8932509000	514797000
Dustin_humanize	LLGoNoLTO	4023068611	8552455000	454932000
Aws_restjson	Go	2469758783	5427862000	538110000
Gorm_schema	Go	1639527941	3966401000	320508000
Uber_zap	Go	1547775665	3610636000	345997000
K8s_workqueue	Go	1275692208	3156866000	392758000
Toml	Go	708912083	1340735000	201055000
Dustin_humanize	Go	290137492	490575000	124457000
