benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	356829638385	497142452000	6268745000
IXGo	LLGoFullLTONoGlobalDCE	350750826273	484249677000	5807195000
IXGo	LLGoFullLTOGlobalDCE	341753241831	478736413000	5990434000
IXGo	LLGoNoLTO	114640991864	280854252000	5099176000
IXGo	LLGoDeadcodeDrop	114325463764	279344879000	5108706000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	143549084243	237175158000	4564971000
Etcdctl	LLGoFullLTOGlobalDCE	141557191858	235632012000	4645588000
Etcdctl	LLGoFullLTONoGlobalDCE	140871579308	231194284000	4416380000
Etcdctl	LLGoDeadcodeDrop	57702656820	172219120000	4047413000
Etcdctl	LLGoNoLTO	56296175263	170089301000	3952940000
XGo	LLGoFullLTOGlobalDCEPlugin	106196123272	147616153000	2900165000
XGo	LLGoFullLTOGlobalDCE	105874815231	147344470000	2858559000
XGo	LLGoFullLTONoGlobalDCE	104182576069	142952512000	2709153000
Aws_restjson	LLGoFullLTONoGlobalDCE	100460695559	125652782000	1925032000
Aws_restjson	LLGoFullLTOGlobalDCE	90547333778	117052741000	1885830000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	90665400162	117078791000	1844739000
Uber_zap	LLGoFullLTONoGlobalDCE	69673864991	88036238000	1532911000
XGo	LLGoDeadcodeDrop	33840439958	85649421000	2345441000
XGo	LLGoNoLTO	32618666658	83006103000	2471858000
K8s_workqueue	LLGoFullLTONoGlobalDCE	66228112058	82725298000	1448819000
K8s_workqueue	LLGoFullLTOGlobalDCE	66107794389	82500438000	1461137000
Uber_zap	LLGoFullLTOGlobalDCE	60528153816	80018053000	1462854000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	59970869911	79499312000	1536639000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	56399242438	74328143000	1416988000
Aws_restjson	LLGoDeadcodeDrop	34030700953	67244986000	1652041000
Aws_restjson	LLGoNoLTO	33023541476	64077654000	1657363000
Gorm_schema	LLGoFullLTOGlobalDCE	38485575337	52534457000	1203160000
Gorm_schema	LLGoFullLTONoGlobalDCE	37832315329	51487551000	1087601000
Uber_zap	LLGoDeadcodeDrop	19792413635	44515421000	1320825000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	28935441854	42907880000	1134635000
Uber_zap	LLGoNoLTO	18894966668	42434905000	1213396000
Toml	LLGoFullLTONoGlobalDCE	34135210035	42472116000	888598000
K8s_workqueue	LLGoDeadcodeDrop	17910378884	37749238000	1210139000
K8s_workqueue	LLGoNoLTO	17289179623	36785475000	1143557000
Toml	LLGoFullLTOGlobalDCE	27304604218	35983954000	810505000
IXGo	Go	10290505682	33500706000	2709752000
Toml	LLGoFullLTOGlobalDCEPlugin	26384627314	34881442000	793441000
Gorm_schema	LLGoDeadcodeDrop	10568823071	29305034000	1040664000
Gorm_schema	LLGoNoLTO	10193373985	28277901000	976184000
Dustin_humanize	LLGoFullLTONoGlobalDCE	23656493940	28496433000	663990000
Etcdctl	Go	8355625020	26327387000	1915800000
Dustin_humanize	LLGoFullLTOGlobalDCE	15201924288	20212196000	619148000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	14843028719	19881807000	623186000
Toml	LLGoDeadcodeDrop	6949816747	17711006000	767629000
Toml	LLGoNoLTO	6507202125	16879115000	726936000
XGo	Go	4572358009	14591817000	1081580000
Dustin_humanize	LLGoNoLTO	4708226383	9932383000	514398000
Dustin_humanize	LLGoDeadcodeDrop	4598597072	9919404000	504742000
Aws_restjson	Go	2509098587	5798485000	565501000
Gorm_schema	Go	1752236414	4362312000	350196000
Uber_zap	Go	1740853559	4254061000	337139000
K8s_workqueue	Go	1377433332	3567753000	378671000
Toml	Go	740257210	1499127000	168592000
Dustin_humanize	Go	311969878	572663000	100028000
