benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	468100430010	669896914000	6432494000
IXGo	LLGoFullLTOGlobalDCE	389589501677	575469587000	6375520000
IXGo	LLGoFullLTONoGlobalDCE	383257346045	564707610000	6282884000
IXGo	LLGoDeadcodeDrop	130749236891	351811581000	5615414000
IXGo	LLGoNoLTO	127960807319	343865818000	5739862000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	166034134750	279705461000	4770653000
Etcdctl	LLGoFullLTONoGlobalDCE	166107525612	278814497000	4520063000
Etcdctl	LLGoFullLTOGlobalDCE	163758169503	276733615000	4678436000
Etcdctl	LLGoDeadcodeDrop	72814246108	216324599000	4396115000
Etcdctl	LLGoNoLTO	70145500454	209525341000	4005825000
XGo	LLGoFullLTOGlobalDCEPlugin	127193238554	176861668000	3060920000
XGo	LLGoFullLTOGlobalDCE	124201845501	173630059000	3045287000
XGo	LLGoFullLTONoGlobalDCE	124516350868	172635915000	3141290000
Aws_restjson	LLGoFullLTONoGlobalDCE	121243509472	152745044000	2136740000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	103762670797	136292725000	2165439000
Aws_restjson	LLGoFullLTOGlobalDCE	102466523754	134451902000	2042548000
Uber_zap	LLGoFullLTONoGlobalDCE	83687868666	106935483000	1726732000
XGo	LLGoDeadcodeDrop	41467065298	104283865000	2713722000
XGo	LLGoNoLTO	41309982822	102383200000	2590890000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82163472401	102976436000	1579819000
K8s_workqueue	LLGoFullLTOGlobalDCE	80703149135	101831008000	1626430000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74004091676	97839078000	1649264000
Uber_zap	LLGoFullLTOGlobalDCE	73248012916	97169612000	1549097000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	66838247354	87631571000	1546709000
Aws_restjson	LLGoNoLTO	38140254517	77286485000	1946349000
Aws_restjson	LLGoDeadcodeDrop	37662668630	77215103000	1915826000
Gorm_schema	LLGoFullLTOGlobalDCE	45674079685	62619362000	1270636000
Gorm_schema	LLGoFullLTONoGlobalDCE	46014543181	62701955000	1163775000
Uber_zap	LLGoDeadcodeDrop	25200289315	55246384000	1415160000
Uber_zap	LLGoNoLTO	24993454941	54220385000	1363247000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35312030908	52386159000	1156406000
Toml	LLGoFullLTONoGlobalDCE	40661338031	50628061000	1000658000
K8s_workqueue	LLGoDeadcodeDrop	23724160208	47722214000	1357878000
K8s_workqueue	LLGoNoLTO	22768876461	46754547000	1351278000
IXGo	Go	12905256287	42186552000	2819743000
Toml	LLGoFullLTOGlobalDCEPlugin	33001787758	43382434000	884017000
Toml	LLGoFullLTOGlobalDCE	32813560659	43060073000	990036000
Gorm_schema	LLGoDeadcodeDrop	12579849033	34606343000	1074649000
Gorm_schema	LLGoNoLTO	12191717428	34197929000	1064240000
Etcdctl	Go	9894517098	31012010000	1992718000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26041425638	31909000000	746780000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17401837101	23736592000	709880000
Dustin_humanize	LLGoFullLTOGlobalDCE	17606804420	23663342000	748716000
Toml	LLGoDeadcodeDrop	8137232948	20695692000	860463000
Toml	LLGoNoLTO	8025477115	20463266000	811811000
XGo	Go	5489743656	17724026000	1134063000
Dustin_humanize	LLGoDeadcodeDrop	5351017853	11744956000	622790000
Dustin_humanize	LLGoNoLTO	5250198526	11557668000	605093000
Aws_restjson	Go	3290476701	7484939000	638600000
Gorm_schema	Go	2152128693	5302134000	389471000
Uber_zap	Go	2048323567	4847628000	416942000
K8s_workqueue	Go	1623306763	4169813000	456190000
Toml	Go	900747722	1769438000	233671000
Dustin_humanize	Go	367510779	651933000	146416000
