benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoNoLTO	531059130777	564549308000	29365803000
IXGo	LLGoFullLTOGlobalDCEPlugin	432472180296	455032066000	8996167000
IXGo	LLGoFullLTOGlobalDCE	423724261009	459335831000	9101736000
IXGo	LLGoFullLTONoGlobalDCE	411597643441	445536463000	9050555000
Etcdctl	LLGoFullLTONoGlobalDCE	326657823116	348184607000	6246476000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	324369761247	356942358000	6849951000
Etcdctl	LLGoFullLTOGlobalDCE	288821396912	321304503000	5537322000
Aws_restjson	LLGoFullLTOGlobalDCE	277264666693	277962070000	8267986000
K8s_workqueue	LLGoFullLTONoGlobalDCE	243511504768	237570440000	7326146000
Etcdctl	LLGoNoLTO	208635275433	236672464000	10629375000
XGo	LLGoFullLTONoGlobalDCE	205753024151	216249291000	4328674000
XGo	LLGoFullLTOGlobalDCEPlugin	204276406319	223971636000	5082119000
XGo	LLGoFullLTOGlobalDCE	172486540295	191903968000	3838333000
Aws_restjson	LLGoFullLTONoGlobalDCE	162451954534	170669609000	3107100000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	161793801806	173234777000	4006997000
Uber_zap	LLGoFullLTOGlobalDCE	119298563206	117909465000	3073513000
Uber_zap	LLGoFullLTONoGlobalDCE	115076542958	122693160000	2809581000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	109450859518	115565780000	2726503000
K8s_workqueue	LLGoFullLTOGlobalDCE	106706691713	112577424000	2628150000
Gorm_schema	LLGoFullLTONoGlobalDCE	106531822411	100871851000	2175018000
XGo	LLGoNoLTO	104584323141	111487684000	5513393000
Gorm_schema	LLGoFullLTOGlobalDCE	104488248605	99153285000	2178147000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	96931689209	106065549000	2718202000
Aws_restjson	LLGoNoLTO	87886881497	94018734000	4298752000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	85402334274	87760468000	3158394000
Toml	LLGoFullLTOGlobalDCE	78192287463	72741864000	1816128000
Toml	LLGoFullLTONoGlobalDCE	75866988861	77332433000	1762855000
Toml	LLGoFullLTOGlobalDCEPlugin	74609067644	68065637000	1786527000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	74434998173	71426168000	3070040000
Dustin_humanize	LLGoFullLTONoGlobalDCE	61763961875	53841038000	1588102000
Dustin_humanize	LLGoFullLTOGlobalDCE	49815541210	50018343000	1504269000
Gorm_schema	LLGoNoLTO	46698620805	42884692000	2525613000
K8s_workqueue	LLGoNoLTO	45115232140	43541589000	3097904000
Uber_zap	LLGoNoLTO	35094475433	49339244000	2820414000
IXGo	Go	22772552608	40734872000	2456562000
Dustin_humanize	LLGoNoLTO	20917365515	16692516000	1496920000
Toml	LLGoNoLTO	18839180009	23907022000	1643537000
Etcdctl	Go	13338016805	32699285000	1908940000
XGo	Go	7148675722	7187927000	456357000
Uber_zap	Go	6911493931	6216507000	457587000
Aws_restjson	Go	6485014906	5544757000	464687000
Gorm_schema	Go	2846323426	3830324000	212799000
Toml	Go	1852843022	644686000	114914000
K8s_workqueue	Go	841997546	1640705000	182992000
Dustin_humanize	Go	483463344	724357000	158358000
