benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	629302907725	851585373000	7439767000
IXGo	LLGoFullLTOGlobalDCEPlugin	574083692372	784016825000	7492998000
IXGo	LLGoFullLTOGlobalDCE	534784803515	747801411000	7567648000
IXGo	LLGoDeadcodeDrop	171746875090	476981983000	6734879000
IXGo	LLGoNoLTO	170000845246	458835240000	6466227000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	177762460466	277910624000	5784137000
Etcdctl	LLGoFullLTOGlobalDCE	163557890791	259471426000	5083978000
Etcdctl	LLGoFullLTONoGlobalDCE	163167510923	257645936000	5252604000
Etcdctl	LLGoDeadcodeDrop	64304066406	185821483000	4578407000
Etcdctl	LLGoNoLTO	64023691799	185062885000	4510835000
XGo	LLGoFullLTOGlobalDCEPlugin	132710547345	181379686000	3545223000
XGo	LLGoFullLTONoGlobalDCE	129870624483	177651011000	3444034000
XGo	LLGoFullLTOGlobalDCE	128101299623	175754558000	3528561000
Aws_restjson	LLGoFullLTONoGlobalDCE	133451101474	164320316000	2416897000
Aws_restjson	LLGoFullLTOGlobalDCE	121941551419	153876645000	2562405000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	118747042557	151100464000	2545983000
K8s_workqueue	LLGoFullLTOGlobalDCE	85335297341	105351172000	1896138000
Uber_zap	LLGoFullLTONoGlobalDCE	83190234167	104694695000	1787510000
XGo	LLGoDeadcodeDrop	41799380324	101755010000	2904518000
XGo	LLGoNoLTO	41880310016	99237964000	2767091000
Uber_zap	LLGoFullLTOGlobalDCE	77140119655	99897608000	1780631000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79746902186	98752311000	1702085000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73228085498	95833296000	1849533000
Aws_restjson	LLGoDeadcodeDrop	53821420734	92907633000	2095741000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	71909140520	92855649000	1869848000
Aws_restjson	LLGoNoLTO	42567917905	79461191000	2113242000
Gorm_schema	LLGoFullLTOGlobalDCE	50005435440	66984840000	1468357000
Gorm_schema	LLGoFullLTONoGlobalDCE	47517353121	63574495000	1293049000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37042958865	53798609000	1419028000
Uber_zap	LLGoDeadcodeDrop	25447019414	53234596000	1496528000
Uber_zap	LLGoNoLTO	24119602242	52201967000	1470819000
Toml	LLGoFullLTONoGlobalDCE	41024787937	50646103000	1034096000
K8s_workqueue	LLGoDeadcodeDrop	23992745435	47452430000	1454172000
K8s_workqueue	LLGoNoLTO	22244790677	44703986000	1452258000
Toml	LLGoFullLTOGlobalDCEPlugin	33773665109	43925283000	1070470000
IXGo	Go	12969930475	41502919000	3226437000
Toml	LLGoFullLTOGlobalDCE	31736492884	41253929000	1075973000
Gorm_schema	LLGoDeadcodeDrop	12761655447	34278981000	1261450000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28126380862	33924688000	885764000
Gorm_schema	LLGoNoLTO	11744197215	32189219000	1101556000
Etcdctl	Go	9613933620	29805602000	2193071000
Dustin_humanize	LLGoFullLTOGlobalDCE	18785009740	24490402000	752384000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18055308560	24192527000	810425000
Toml	LLGoDeadcodeDrop	8265532828	20813416000	889122000
Toml	LLGoNoLTO	7682591939	19308494000	830181000
XGo	Go	5825907490	18073494000	1312862000
Dustin_humanize	LLGoDeadcodeDrop	5631747517	11821540000	688496000
Dustin_humanize	LLGoNoLTO	5306275909	11218187000	642589000
Aws_restjson	Go	3506415003	7438031000	747858000
Gorm_schema	Go	2269762302	5332658000	434688000
Uber_zap	Go	2062838221	4769866000	460980000
K8s_workqueue	Go	1655799073	4075502000	482828000
Toml	Go	929198666	1771585000	241018000
Dustin_humanize	Go	378579505	630887000	150862000
