benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	254837380687	371731131000	5662741000
IXGo	LLGoFullLTOGlobalDCEPlugin	252604501292	368313723000	5670218000
IXGo	LLGoFullLTOGlobalDCE	251500684346	358375462000	5592445000
IXGo	LLGoNoLTO	108180215264	354801726000	5382484000
Etcdctl	LLGoDeadcodeDrop	105680539871	346242075000	4731297000
Etcdctl	LLGoFullLTOGlobalDCE	203332855335	307667718000	4260508000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	199985182071	304024161000	4080593000
Etcdctl	LLGoFullLTONoGlobalDCE	199980100446	300403385000	4026853000
IXGo	LLGoDeadcodeDrop	84127883689	260928425000	5200143000
Aws_restjson	LLGoFullLTONoGlobalDCE	133371495464	224832298000	3913637000
XGo	LLGoFullLTOGlobalDCE	130856122384	178651423000	3177432000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	105470213167	177256432000	3198649000
XGo	LLGoFullLTONoGlobalDCE	130780308407	169944392000	3181667000
XGo	LLGoFullLTOGlobalDCEPlugin	126401464006	166068952000	3128149000
Aws_restjson	LLGoFullLTOGlobalDCE	100247064893	132195934000	2666200000
Uber_zap	LLGoFullLTOGlobalDCE	84765783547	127724756000	2568741000
Uber_zap	LLGoFullLTONoGlobalDCE	84706493863	104992049000	2526821000
XGo	LLGoDeadcodeDrop	33874708516	104160498000	2699452000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	81630039561	100018984000	2656096000
K8s_workqueue	LLGoFullLTOGlobalDCE	81319803634	99986447000	2521610000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81361274506	99152720000	2291196000
Toml	LLGoNoLTO	36750141877	98794524000	2374710000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	71260212086	92018425000	2515236000
Toml	LLGoFullLTOGlobalDCE	50613478589	87657789000	2411635000
Etcdctl	LLGoNoLTO	29859986860	84079767000	3070101000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	48637479402	82797463000	2236678000
Aws_restjson	LLGoDeadcodeDrop	30430575062	71944439000	2509561000
Gorm_schema	LLGoFullLTOGlobalDCE	51371508188	67893209000	1653507000
Gorm_schema	LLGoFullLTONoGlobalDCE	48748704006	62707943000	1522488000
Toml	LLGoFullLTONoGlobalDCE	45646184165	55118621000	1448575000
Uber_zap	LLGoDeadcodeDrop	16228489839	49025732000	2093822000
Toml	LLGoFullLTOGlobalDCEPlugin	35674181979	45037330000	1383695000
XGo	LLGoNoLTO	16387225947	40435291000	2448654000
Dustin_humanize	LLGoFullLTONoGlobalDCE	34967857832	40811379000	1274478000
K8s_workqueue	LLGoDeadcodeDrop	12441427119	34292818000	1991305000
Dustin_humanize	LLGoFullLTOGlobalDCE	26520358485	33638651000	1332016000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25001301827	30974746000	1239375000
Gorm_schema	LLGoDeadcodeDrop	10199839808	29578177000	1332177000
Gorm_schema	LLGoNoLTO	10121524688	29512902000	1375713000
Aws_restjson	LLGoNoLTO	10529636118	27476604000	2107801000
Uber_zap	LLGoNoLTO	9797418825	25413574000	2022721000
K8s_workqueue	LLGoNoLTO	9343094172	23713146000	1894798000
Toml	LLGoDeadcodeDrop	7510175824	18996265000	1284932000
Dustin_humanize	LLGoDeadcodeDrop	4863217252	10853632000	1128538000
Dustin_humanize	LLGoNoLTO	4209781686	9847381000	1111162000
IXGo	Go	1519765099	1743829000	317288000
Etcdctl	Go	795726925	1284780000	239680000
XGo	Go	774842244	946487000	171112000
Aws_restjson	Go	510736321	683062000	126228000
K8s_workqueue	Go	415149383	582094000	105951000
Uber_zap	Go	419939144	546236000	125793000
Gorm_schema	Go	285309540	442347000	99706000
Toml	Go	318964676	422516000	103047000
Dustin_humanize	Go	189374403	292721000	59481000
