benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	647099620394	855757757000	7113761000
IXGo	LLGoFullLTOGlobalDCE	633195399279	849609619000	7674223000
IXGo	LLGoFullLTOGlobalDCEPlugin	589778655772	788794880000	7440041000
IXGo	LLGoDeadcodeDrop	147512044307	387869160000	6597502000
IXGo	LLGoNoLTO	132892091761	372285362000	6355218000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	178442068760	291587434000	5560752000
Etcdctl	LLGoFullLTOGlobalDCE	173557482470	286020607000	5661769000
Etcdctl	LLGoFullLTONoGlobalDCE	170977763176	278620536000	5162160000
Etcdctl	LLGoDeadcodeDrop	69935555710	206484302000	4901438000
Etcdctl	LLGoNoLTO	68699152840	203157848000	4743497000
Aws_restjson	LLGoFullLTONoGlobalDCE	166441883677	198663813000	2600923000
XGo	LLGoFullLTOGlobalDCE	131607944519	180214005000	3626806000
XGo	LLGoFullLTONoGlobalDCE	130853614901	178743335000	3510209000
XGo	LLGoFullLTOGlobalDCEPlugin	128575985950	176209675000	3521720000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	141847737329	174103836000	2379291000
Aws_restjson	LLGoFullLTOGlobalDCE	117021104479	148063881000	2265293000
Uber_zap	LLGoFullLTONoGlobalDCE	87808442908	110747570000	1849703000
XGo	LLGoDeadcodeDrop	40821070271	101766136000	2921811000
K8s_workqueue	LLGoFullLTOGlobalDCE	82348630561	102286461000	1821627000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82216194400	102217123000	1848831000
Uber_zap	LLGoFullLTOGlobalDCE	78149282492	102059148000	1826354000
XGo	LLGoNoLTO	40924372843	99453865000	2868091000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	76487296473	99935295000	1852208000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	67934327181	88268494000	1774436000
Aws_restjson	LLGoDeadcodeDrop	41479215680	80080328000	2145292000
Aws_restjson	LLGoNoLTO	39088168250	75546929000	2041536000
Gorm_schema	LLGoFullLTOGlobalDCE	46428087934	62892293000	1411989000
Gorm_schema	LLGoFullLTONoGlobalDCE	45619392257	61381312000	1337130000
Uber_zap	LLGoDeadcodeDrop	24992902511	53685031000	1509634000
Toml	LLGoFullLTONoGlobalDCE	43815920723	53676188000	1118742000
Uber_zap	LLGoNoLTO	24396952864	52824884000	1440830000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34339126332	50708289000	1288853000
K8s_workqueue	LLGoDeadcodeDrop	22809858633	46008479000	1509041000
K8s_workqueue	LLGoNoLTO	22498287019	45754803000	1408951000
Toml	LLGoFullLTOGlobalDCEPlugin	34518309488	45086529000	1065502000
Toml	LLGoFullLTOGlobalDCE	34353010806	44422874000	1010336000
IXGo	Go	12881679990	41011378000	3361730000
Gorm_schema	LLGoDeadcodeDrop	12808390398	34837430000	1185401000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28285711163	34057670000	857961000
Gorm_schema	LLGoNoLTO	11906972131	32831088000	1191698000
Etcdctl	Go	10040351365	30718567000	2252918000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	19251024503	25239076000	773196000
Dustin_humanize	LLGoFullLTOGlobalDCE	17724988322	23885782000	790393000
Toml	LLGoNoLTO	8005332785	20369465000	895947000
Toml	LLGoDeadcodeDrop	7846646575	20115823000	887830000
XGo	Go	5572569822	17473599000	1315841000
Dustin_humanize	LLGoNoLTO	5371539670	11616976000	686331000
Dustin_humanize	LLGoDeadcodeDrop	5409138765	11573495000	668630000
Aws_restjson	Go	3149099065	6938068000	738719000
Gorm_schema	Go	2181514925	5140242000	450241000
Uber_zap	Go	2031018352	4709469000	421441000
K8s_workqueue	Go	1621246697	4050575000	481974000
Toml	Go	919546406	1767613000	241266000
Dustin_humanize	Go	380053059	631133000	165856000
