benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	347938133143	568684829000	10334848000
IXGo	LLGoFullLTONoGlobalDCE	307737241113	486120366000	6385272000
IXGo	LLGoDeadcodeDrop	153530742865	456500992000	6191285000
IXGo	LLGoFullLTOGlobalDCEPlugin	279622406186	387074426000	5606424000
Etcdctl	LLGoFullLTOGlobalDCE	225627434797	355481148000	5800085000
Etcdctl	LLGoFullLTONoGlobalDCE	216703878997	325956987000	4169667000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	213406966312	323790805000	4077035000
XGo	LLGoNoLTO	82269720621	250690836000	4038815000
Etcdctl	LLGoDeadcodeDrop	71473780903	221345959000	3567105000
Etcdctl	LLGoNoLTO	70199072755	218527580000	3424135000
XGo	LLGoFullLTOGlobalDCEPlugin	140108869888	194466729000	3186254000
XGo	LLGoFullLTOGlobalDCE	138669787137	183144581000	3762658000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	99467795993	181609389000	4015105000
XGo	LLGoFullLTONoGlobalDCE	141800095286	179003719000	3154729000
Aws_restjson	LLGoFullLTONoGlobalDCE	113730892588	143866606000	2651534000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	100860804465	133464997000	2739726000
Aws_restjson	LLGoFullLTOGlobalDCE	98353130807	129916187000	2775965000
Uber_zap	LLGoFullLTONoGlobalDCE	90377542979	113550011000	2558127000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	82577989805	102061044000	2613605000
K8s_workqueue	LLGoFullLTONoGlobalDCE	83076967259	101545352000	2333601000
K8s_workqueue	LLGoFullLTOGlobalDCE	80583541395	97988343000	2244023000
Uber_zap	LLGoFullLTOGlobalDCE	71956947836	96313185000	2477346000
IXGo	LLGoNoLTO	40369450018	90705172000	3503780000
XGo	LLGoDeadcodeDrop	29787268202	73485787000	2619181000
Aws_restjson	LLGoDeadcodeDrop	30802698492	70526171000	2665434000
Gorm_schema	LLGoFullLTOGlobalDCE	50316906635	66928037000	1649846000
Gorm_schema	LLGoFullLTONoGlobalDCE	51988897150	66968615000	1557393000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	41034646409	61180053000	1848367000
Toml	LLGoFullLTONoGlobalDCE	44708597730	54631235000	1448628000
Uber_zap	LLGoNoLTO	17672084703	49940197000	2058611000
Uber_zap	LLGoDeadcodeDrop	17291195263	46280566000	2187201000
Toml	LLGoFullLTOGlobalDCEPlugin	36455392006	46658089000	1442532000
Toml	LLGoFullLTOGlobalDCE	36025546097	46148249000	1427121000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36426019534	42873806000	1263330000
IXGo	Go	11242142925	36313424000	2294955000
Aws_restjson	LLGoNoLTO	14823151969	34983219000	2222981000
Dustin_humanize	LLGoFullLTOGlobalDCE	27286476984	34193825000	1274637000
K8s_workqueue	LLGoDeadcodeDrop	13332439856	33162538000	2003893000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26520047715	33337785000	1244572000
K8s_workqueue	LLGoNoLTO	12870001135	32493396000	1977309000
Gorm_schema	LLGoDeadcodeDrop	11893173028	32942464000	1396023000
Toml	LLGoDeadcodeDrop	9873947745	25647392000	1385647000
Gorm_schema	LLGoNoLTO	7267702739	16940277000	1373518000
Etcdctl	Go	5756263919	16072926000	794726000
Toml	LLGoNoLTO	6084807698	13881140000	1166064000
Dustin_humanize	LLGoDeadcodeDrop	5620721699	12493463000	1128814000
Dustin_humanize	LLGoNoLTO	5521361815	12194703000	1061953000
Aws_restjson	Go	3113946693	7187187000	628017000
XGo	Go	2403604484	5996250000	399054000
Gorm_schema	Go	1501127533	3286157000	188209000
Uber_zap	Go	1304765904	2776780000	216883000
K8s_workqueue	Go	801471964	1596204000	185730000
Dustin_humanize	Go	322042167	548970000	96922000
Toml	Go	301827357	425528000	112099000
