benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	451693809903	628515927000	7127260000
IXGo	LLGoFullLTOGlobalDCE	435424617222	627305809000	7172948000
IXGo	LLGoFullLTONoGlobalDCE	414378474251	599007839000	7018162000
IXGo	LLGoDeadcodeDrop	131719242574	353839884000	6370822000
IXGo	LLGoNoLTO	126966567580	339212333000	6186766000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	163788069196	269649112000	5113845000
Etcdctl	LLGoFullLTOGlobalDCE	163455285652	269033935000	5152650000
Etcdctl	LLGoFullLTONoGlobalDCE	161802011572	265370143000	5171240000
Etcdctl	LLGoDeadcodeDrop	70298035724	204514133000	4604932000
Etcdctl	LLGoNoLTO	68599579030	198917220000	4323290000
XGo	LLGoFullLTOGlobalDCE	128913647587	175870263000	3518761000
XGo	LLGoFullLTONoGlobalDCE	126521127769	172747961000	3355600000
XGo	LLGoFullLTOGlobalDCEPlugin	121202122390	167229695000	3349920000
Aws_restjson	LLGoFullLTONoGlobalDCE	122130939351	151591768000	2272676000
Aws_restjson	LLGoFullLTOGlobalDCE	115680471329	146818420000	2352110000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	103960389715	134619832000	2493958000
Uber_zap	LLGoFullLTONoGlobalDCE	82122864249	103610706000	1779935000
XGo	LLGoDeadcodeDrop	42297398319	101293427000	2851960000
XGo	LLGoNoLTO	41852842417	99695796000	2825052000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79272909431	97922626000	1771134000
K8s_workqueue	LLGoFullLTOGlobalDCE	78376323705	97656833000	1746335000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74145815537	96101946000	1765157000
Uber_zap	LLGoFullLTOGlobalDCE	73344935620	95480744000	1759801000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	65840345309	85505388000	1660474000
Aws_restjson	LLGoDeadcodeDrop	40144581530	77642389000	1985867000
Aws_restjson	LLGoNoLTO	38381672967	74152597000	2050869000
Gorm_schema	LLGoFullLTOGlobalDCE	44703461178	60409791000	1360295000
Gorm_schema	LLGoFullLTONoGlobalDCE	44394308196	59755785000	1293990000
Uber_zap	LLGoDeadcodeDrop	24382976930	52110600000	1419131000
Uber_zap	LLGoNoLTO	24149817519	51272848000	1438089000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33546349829	49986069000	1214580000
Toml	LLGoFullLTONoGlobalDCE	39016137557	48266785000	1023916000
K8s_workqueue	LLGoDeadcodeDrop	22455857784	45444807000	1428627000
K8s_workqueue	LLGoNoLTO	22562915110	45016285000	1327178000
Toml	LLGoFullLTOGlobalDCEPlugin	31819930973	41505324000	956576000
IXGo	Go	12236963490	39278853000	3120023000
Toml	LLGoFullLTOGlobalDCE	30933289139	40531761000	943434000
Gorm_schema	LLGoDeadcodeDrop	12206927908	32573236000	1145955000
Gorm_schema	LLGoNoLTO	11731589411	32218500000	1082448000
Dustin_humanize	LLGoFullLTONoGlobalDCE	25913027910	31807114000	800028000
Etcdctl	Go	9588750043	29901700000	2103762000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17852087674	23584802000	736113000
Dustin_humanize	LLGoFullLTOGlobalDCE	17146078430	23104984000	723595000
Toml	LLGoDeadcodeDrop	7877900280	19641921000	929683000
Toml	LLGoNoLTO	7783229831	19674341000	866966000
XGo	Go	5359993896	16937982000	1274371000
Dustin_humanize	LLGoDeadcodeDrop	5187958962	11334423000	619729000
Dustin_humanize	LLGoNoLTO	5012788340	10765996000	610428000
Aws_restjson	Go	3079148536	6795901000	716035000
Gorm_schema	Go	2078878419	5060917000	416932000
Uber_zap	Go	1966483052	4631769000	457016000
K8s_workqueue	Go	1586376980	4004114000	450929000
Toml	Go	935034661	1746609000	242953000
Dustin_humanize	Go	373583335	606948000	176707000
