benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	424968807275	488597010000	11256607000
IXGo	LLGoFullLTOGlobalDCE	395160302816	423414819000	8173784000
IXGo	LLGoFullLTONoGlobalDCE	371767313617	406332228000	7842481000
IXGo	LLGoNoLTO	322339912934	332881775000	16485060000
Etcdctl	LLGoFullLTONoGlobalDCE	295798102464	322002879000	6010706000
Etcdctl	LLGoFullLTOGlobalDCE	293845847166	341016931000	7743262000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	280185255411	310349024000	5214794000
XGo	LLGoFullLTONoGlobalDCE	247091915622	253302650000	5608542000
Etcdctl	LLGoNoLTO	205689514547	223885407000	10031614000
Aws_restjson	LLGoFullLTONoGlobalDCE	191710116654	198207349000	4233641000
XGo	LLGoFullLTOGlobalDCE	170652876518	192118006000	4069308000
XGo	LLGoFullLTOGlobalDCEPlugin	169425023637	186763498000	3615701000
K8s_workqueue	LLGoFullLTOGlobalDCE	166699348576	177499595000	5878630000
Uber_zap	LLGoFullLTONoGlobalDCE	154800094562	153525403000	3185486000
Aws_restjson	LLGoFullLTOGlobalDCE	149615193735	154259425000	3312292000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	138344783733	148661675000	4331735000
XGo	LLGoNoLTO	137249046591	149049578000	7845990000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	126678503132	125901272000	2955896000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	118985246838	132572756000	2827061000
Toml	LLGoFullLTONoGlobalDCE	102422348345	98578805000	4149442000
K8s_workqueue	LLGoFullLTONoGlobalDCE	94517446010	105502938000	2369392000
Gorm_schema	LLGoNoLTO	91033382307	84862793000	8067195000
Uber_zap	LLGoFullLTOGlobalDCE	90466188981	99966064000	2521974000
K8s_workqueue	LLGoNoLTO	86978650964	93104868000	5297749000
Aws_restjson	LLGoNoLTO	86926463445	90184688000	4474315000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	75548138809	80866475000	3556520000
Dustin_humanize	LLGoFullLTONoGlobalDCE	75377669641	69715581000	1626899000
Gorm_schema	LLGoFullLTOGlobalDCE	65900882934	67218115000	1962469000
Toml	LLGoFullLTOGlobalDCEPlugin	65652623595	65278646000	1610635000
Gorm_schema	LLGoFullLTONoGlobalDCE	65221281175	71713038000	1782401000
Toml	LLGoFullLTOGlobalDCE	61278457215	61120686000	1583453000
Dustin_humanize	LLGoFullLTOGlobalDCE	56533756225	50360779000	1547679000
Uber_zap	LLGoNoLTO	36298221362	47249671000	2910118000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	28183452021	32488238000	1261169000
Toml	LLGoNoLTO	18924740755	22060319000	1650801000
IXGo	Go	15388799426	34710657000	2249914000
Etcdctl	Go	14764002887	18390741000	900652000
XGo	Go	12644091554	19498244000	1158927000
Dustin_humanize	LLGoNoLTO	10510957302	13582411000	1293684000
Aws_restjson	Go	7648128296	8619429000	586193000
Gorm_schema	Go	5366652577	4113069000	231996000
Uber_zap	Go	4339943733	3345005000	239141000
K8s_workqueue	Go	2443727667	1985710000	226304000
Dustin_humanize	Go	2061242118	864809000	140376000
Toml	Go	1019217353	596733000	115014000
