benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	409738416710	611900898000	6542971000
IXGo	LLGoFullLTOGlobalDCE	405533741875	597150426000	6656920000
IXGo	LLGoFullLTONoGlobalDCE	385520825162	553652386000	6336715000
IXGo	LLGoDeadcodeDrop	132388665068	358027800000	5623619000
IXGo	LLGoNoLTO	127627285009	350822335000	5689447000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	166986758934	283978328000	4864500000
Etcdctl	LLGoFullLTOGlobalDCE	166832832945	283768943000	4969647000
Etcdctl	LLGoFullLTONoGlobalDCE	164788055807	278981285000	4680176000
Etcdctl	LLGoDeadcodeDrop	70401440065	212772443000	4111141000
Etcdctl	LLGoNoLTO	69899384580	211095870000	4113652000
XGo	LLGoFullLTONoGlobalDCE	125536210200	174328689000	3103002000
XGo	LLGoFullLTOGlobalDCE	124086982278	173931234000	3105301000
XGo	LLGoFullLTOGlobalDCEPlugin	123175895300	172895361000	3204886000
Aws_restjson	LLGoFullLTONoGlobalDCE	112533177315	143770744000	2198966000
Aws_restjson	LLGoFullLTOGlobalDCE	102247608488	135371067000	2115031000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	102774688050	135294748000	2112130000
Uber_zap	LLGoFullLTONoGlobalDCE	82862316149	106190193000	1671256000
XGo	LLGoDeadcodeDrop	40517108459	103040785000	2663849000
K8s_workqueue	LLGoFullLTOGlobalDCE	81219152754	102703189000	1615994000
XGo	LLGoNoLTO	39741263899	101421419000	2499122000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79709171507	100423142000	1622803000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	72798857482	96706746000	1620933000
Uber_zap	LLGoFullLTOGlobalDCE	72108783854	96002748000	1598033000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	66539567068	87740249000	1572541000
Aws_restjson	LLGoDeadcodeDrop	37114199236	78172265000	1945914000
Aws_restjson	LLGoNoLTO	36193286985	76203763000	1887837000
Gorm_schema	LLGoFullLTONoGlobalDCE	46801705205	63856714000	1208478000
Gorm_schema	LLGoFullLTOGlobalDCE	45748512154	63045316000	1213307000
Uber_zap	LLGoDeadcodeDrop	24152088256	54867505000	1383982000
Uber_zap	LLGoNoLTO	23644113336	52868195000	1339218000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35586604415	53015135000	1185335000
Toml	LLGoFullLTONoGlobalDCE	41184240904	51422807000	977864000
K8s_workqueue	LLGoNoLTO	21747941404	46130550000	1404603000
K8s_workqueue	LLGoDeadcodeDrop	21869949259	46129579000	1317044000
IXGo	Go	12991681859	42675022000	2919848000
Toml	LLGoFullLTOGlobalDCEPlugin	33079380461	43589823000	942652000
Toml	LLGoFullLTOGlobalDCE	32923075802	43401011000	946800000
Gorm_schema	LLGoDeadcodeDrop	12739474233	35956263000	1137697000
Gorm_schema	LLGoNoLTO	12550737736	35243020000	1068911000
Etcdctl	Go	9875672648	31384610000	1926669000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26461554772	32488702000	747450000
Dustin_humanize	LLGoFullLTOGlobalDCE	17508231540	23832212000	660927000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17452050219	23696349000	708420000
Toml	LLGoDeadcodeDrop	8084000934	21016377000	820110000
Toml	LLGoNoLTO	8072993354	20788409000	846180000
XGo	Go	5800706061	17928596000	1161660000
Dustin_humanize	LLGoDeadcodeDrop	5393515132	11857212000	666381000
Dustin_humanize	LLGoNoLTO	5317529389	11737374000	622777000
Aws_restjson	Go	3293764521	7523711000	675841000
Gorm_schema	Go	2174447620	5359775000	394262000
Uber_zap	Go	2040057426	4856720000	398996000
K8s_workqueue	Go	1668943137	4290567000	439793000
Toml	Go	913497293	1792596000	229510000
Dustin_humanize	Go	374972204	664399000	143033000
