benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	424954260911	618553580000	6477011000
IXGo	LLGoFullLTONoGlobalDCE	412487950292	614132567000	6615749000
IXGo	LLGoFullLTOGlobalDCE	410631724624	609782032000	6643559000
IXGo	LLGoDeadcodeDrop	134576165940	365523403000	5697471000
IXGo	LLGoNoLTO	134724760358	359816815000	5681100000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	165973723118	281205883000	4787122000
Etcdctl	LLGoFullLTOGlobalDCE	165546271715	280388995000	4732703000
Etcdctl	LLGoFullLTONoGlobalDCE	165049147747	277432938000	4537282000
Etcdctl	LLGoDeadcodeDrop	71232907608	213414175000	4251935000
Etcdctl	LLGoNoLTO	69148769426	209234888000	4098088000
XGo	LLGoFullLTONoGlobalDCE	124932081741	174282846000	3201265000
XGo	LLGoFullLTOGlobalDCEPlugin	123953684849	174352939000	3037516000
XGo	LLGoFullLTOGlobalDCE	124208935921	173789016000	3104066000
Aws_restjson	LLGoFullLTONoGlobalDCE	116417011460	148421062000	2217812000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	104176090276	137919729000	2319884000
Aws_restjson	LLGoFullLTOGlobalDCE	103602038240	137136370000	2023531000
Uber_zap	LLGoFullLTONoGlobalDCE	83086770598	106526785000	1609540000
XGo	LLGoDeadcodeDrop	40771221358	103749021000	2766651000
XGo	LLGoNoLTO	39932129503	101874927000	2745506000
K8s_workqueue	LLGoFullLTOGlobalDCE	80384271374	101471805000	1631881000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80169091544	100740868000	1633593000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73126934195	97215479000	1696467000
Uber_zap	LLGoFullLTOGlobalDCE	72989768073	97137703000	1574429000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	66779409309	88204309000	1613783000
Aws_restjson	LLGoDeadcodeDrop	37143525331	77476992000	1929064000
Aws_restjson	LLGoNoLTO	36647280206	75377360000	1900047000
Gorm_schema	LLGoFullLTONoGlobalDCE	46990418051	64096069000	1251185000
Gorm_schema	LLGoFullLTOGlobalDCE	46280204290	63590062000	1349458000
Uber_zap	LLGoDeadcodeDrop	24191703097	54699275000	1428543000
Uber_zap	LLGoNoLTO	23899953095	53290831000	1405557000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35809729204	53251123000	1188400000
Toml	LLGoFullLTONoGlobalDCE	41394513423	51701285000	976453000
K8s_workqueue	LLGoDeadcodeDrop	22156669705	46624343000	1457843000
K8s_workqueue	LLGoNoLTO	21709382296	46094350000	1330364000
IXGo	Go	13082681775	42856801000	2959889000
Toml	LLGoFullLTOGlobalDCEPlugin	33537142074	44101012000	937848000
Toml	LLGoFullLTOGlobalDCE	33190272400	43803338000	873855000
Gorm_schema	LLGoDeadcodeDrop	12750141063	36115352000	1154036000
Gorm_schema	LLGoNoLTO	12441519652	34732208000	1036021000
Etcdctl	Go	9965758402	31481937000	1989662000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26528075705	32635130000	719156000
Dustin_humanize	LLGoFullLTOGlobalDCE	17958539894	24206752000	795640000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17630073667	23946290000	663020000
Toml	LLGoDeadcodeDrop	8393943283	21447738000	819163000
Toml	LLGoNoLTO	7911149143	20895559000	767860000
XGo	Go	5560597859	17848788000	1149958000
Dustin_humanize	LLGoDeadcodeDrop	5485178678	12076536000	651354000
Dustin_humanize	LLGoNoLTO	5359906230	11908628000	670847000
Aws_restjson	Go	3182447906	7229074000	683842000
Gorm_schema	Go	2179613519	5387027000	374330000
Uber_zap	Go	2051549480	4887758000	443473000
K8s_workqueue	Go	1657947078	4200736000	463119000
Toml	Go	907947890	1783543000	226152000
Dustin_humanize	Go	376492424	665162000	151627000
