benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	413976131752	444228547000	4965833000
IXGo	LLGoFullLTOGlobalDCE	387461738478	416260639000	4794497000
IXGo	LLGoFullLTONoGlobalDCE	386118187304	414509146000	4734688000
Etcdctl	LLGoFullLTOGlobalDCE	334702969801	378039181000	5955264000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	306411070762	343481374000	3660218000
Etcdctl	LLGoFullLTONoGlobalDCE	298700383046	325639238000	3428612000
IXGo	LLGoDeadcodeDrop	240839295887	301319975000	6506733000
XGo	LLGoFullLTOGlobalDCEPlugin	281910990314	292807784000	5162308000
Uber_zap	LLGoFullLTONoGlobalDCE	222246709426	223535277000	4738233000
Etcdctl	LLGoDeadcodeDrop	203085322335	213322179000	3744555000
Uber_zap	LLGoFullLTOGlobalDCE	205594191656	205900767000	4440284000
XGo	LLGoFullLTONoGlobalDCE	193362494326	202828859000	2934310000
Aws_restjson	LLGoFullLTONoGlobalDCE	209040285961	201046564000	2816626000
XGo	LLGoFullLTOGlobalDCE	187581099846	199199160000	2944188000
Uber_zap	LLGoDeadcodeDrop	193722793084	193057233000	4661039000
Aws_restjson	LLGoFullLTOGlobalDCE	151236272455	152540901000	2551649000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	145515730347	149043425000	2565733000
K8s_workqueue	LLGoFullLTOGlobalDCE	89810634207	102441343000	2346560000
K8s_workqueue	LLGoFullLTONoGlobalDCE	89900971516	102131185000	2323037000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	86390903077	95377668000	1983109000
IXGo	LLGoNoLTO	50255385861	92227010000	2797815000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	77878764989	88539071000	1982151000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	92624057303	80996297000	1846958000
Aws_restjson	LLGoDeadcodeDrop	66582582276	79530003000	2532301000
Etcdctl	LLGoNoLTO	42491800551	79522692000	2518082000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	93373960074	78562111000	2524196000
XGo	LLGoDeadcodeDrop	42884018667	69227230000	2199715000
Gorm_schema	LLGoFullLTOGlobalDCE	59279048094	67717391000	1605916000
XGo	LLGoNoLTO	57391639549	66789359000	2366178000
Gorm_schema	LLGoFullLTONoGlobalDCE	61376313498	67174889000	1429757000
Toml	LLGoFullLTOGlobalDCE	67133930929	61853914000	1483350000
Toml	LLGoFullLTONoGlobalDCE	49664770150	56162990000	1337738000
Dustin_humanize	LLGoFullLTONoGlobalDCE	53943363730	50210614000	1244689000
Toml	LLGoFullLTOGlobalDCEPlugin	43131421593	46868414000	1251675000
Dustin_humanize	LLGoFullLTOGlobalDCE	57651706156	46036333000	1261030000
Aws_restjson	LLGoNoLTO	41035740181	42041045000	1988521000
IXGo	Go	12577396248	39862181000	3270923000
K8s_workqueue	LLGoNoLTO	32926382223	38295564000	2133039000
K8s_workqueue	LLGoDeadcodeDrop	32605691873	35197805000	1868241000
Gorm_schema	LLGoDeadcodeDrop	37090932260	33674195000	1384866000
Uber_zap	LLGoNoLTO	20132273947	31573667000	1881625000
Gorm_schema	LLGoNoLTO	20859812793	27656886000	1233589000
Toml	LLGoNoLTO	27472282989	22882852000	1246353000
Toml	LLGoDeadcodeDrop	16595948192	20441804000	1149821000
Etcdctl	Go	14272877667	17521829000	993189000
Dustin_humanize	LLGoDeadcodeDrop	6664676493	12253404000	1046738000
Dustin_humanize	LLGoNoLTO	8230340182	12038912000	1032258000
XGo	Go	5950413996	6798613000	461155000
Gorm_schema	Go	7336225376	6148367000	416185000
Aws_restjson	Go	7222862358	5343768000	496387000
Uber_zap	Go	1320112651	2740167000	204519000
K8s_workqueue	Go	1359581431	1672808000	267343000
Toml	Go	1423851945	598026000	100597000
Dustin_humanize	Go	345343690	567931000	89840000
