benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTONoGlobalDCE	313481721885	355492173000	6076296000
Etcdctl	LLGoFullLTOGlobalDCE	243927614003	266382827000	3510052000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	215624317573	248972240000	3014684000
XGo	LLGoFullLTOGlobalDCEPlugin	164821646862	187665045000	2573350000
Uber_zap	LLGoFullLTOGlobalDCE	167912325420	169740947000	3874709000
XGo	LLGoFullLTONoGlobalDCE	144026801692	167216238000	2618448000
XGo	LLGoFullLTOGlobalDCE	141562730814	164524151000	2747494000
Etcdctl	LLGoDeadcodeDrop	131032598515	150602962000	2906011000
XGo	LLGoNoLTO	129547231004	149614702000	3053648000
Aws_restjson	LLGoFullLTONoGlobalDCE	144410354865	145159484000	2505374000
Etcdctl	LLGoNoLTO	97896779998	131365156000	2348199000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	105068067998	117203786000	2448980000
Aws_restjson	LLGoFullLTOGlobalDCE	97687658018	112483974000	2169441000
K8s_workqueue	LLGoFullLTOGlobalDCE	104738595971	104975052000	2432416000
Uber_zap	LLGoFullLTONoGlobalDCE	92126776714	102953605000	2206383000
K8s_workqueue	LLGoFullLTONoGlobalDCE	86003133326	96600556000	2341840000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	81640966215	91381326000	2218000000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73881810468	84940552000	2093026000
Dustin_humanize	LLGoNoLTO	81785436634	67765000000	2253718000
XGo	LLGoDeadcodeDrop	48777203182	65572809000	2200282000
Aws_restjson	LLGoNoLTO	44211351787	61332982000	2322409000
Gorm_schema	LLGoFullLTONoGlobalDCE	52137362714	59522934000	1310466000
Gorm_schema	LLGoFullLTOGlobalDCE	53277793385	59293203000	1425341000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	49725038914	56545333000	1542241000
Aws_restjson	LLGoDeadcodeDrop	40299854291	55822413000	1907473000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	47663237438	50325931000	1712944000
Toml	LLGoFullLTONoGlobalDCE	44016503736	49913342000	1363326000
Toml	LLGoFullLTOGlobalDCEPlugin	43024261149	49461816000	1500892000
Uber_zap	LLGoDeadcodeDrop	41626396909	45849474000	2214739000
Toml	LLGoFullLTOGlobalDCE	41937668961	45869770000	1385263000
Dustin_humanize	LLGoFullLTONoGlobalDCE	39588306404	42528484000	1220737000
Dustin_humanize	LLGoFullLTOGlobalDCE	30336024535	33173559000	1211640000
Gorm_schema	LLGoNoLTO	36836883203	32824944000	1395360000
K8s_workqueue	LLGoNoLTO	31580232410	31735528000	2105463000
K8s_workqueue	LLGoDeadcodeDrop	25646929667	30714403000	1856656000
Uber_zap	LLGoNoLTO	14093770823	28159898000	1833552000
Gorm_schema	LLGoDeadcodeDrop	16692956093	24230667000	1207110000
XGo	Go	18630602685	18819274000	1080966000
Toml	LLGoDeadcodeDrop	14371210772	18387394000	1145442000
Etcdctl	Go	11767883981	16997088000	737753000
Toml	LLGoNoLTO	10218142328	16542194000	1049776000
Dustin_humanize	LLGoDeadcodeDrop	8387582414	11847939000	1098034000
Gorm_schema	Go	7246509218	5928958000	304744000
Aws_restjson	Go	1751292191	4261117000	357907000
Uber_zap	Go	1196912355	2555521000	198898000
Toml	Go	2606311903	1870285000	160335000
K8s_workqueue	Go	1326813083	1739460000	173663000
Dustin_humanize	Go	465864249	597582000	105584000
