benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	498058937294	701874410000	7465151000
IXGo	LLGoFullLTOGlobalDCEPlugin	410351936746	603867130000	7339045000
IXGo	LLGoFullLTONoGlobalDCE	396458363158	582019981000	7156935000
IXGo	LLGoNoLTO	139648742243	372761129000	6502702000
IXGo	LLGoDeadcodeDrop	134618840641	357748991000	6457002000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	169760982159	284723662000	5696010000
Etcdctl	LLGoFullLTOGlobalDCE	165710951861	280510697000	5553259000
Etcdctl	LLGoFullLTONoGlobalDCE	166048025225	277939124000	5383626000
Etcdctl	LLGoDeadcodeDrop	74664112361	215923139000	5139015000
Etcdctl	LLGoNoLTO	71250582327	211761080000	4930901000
XGo	LLGoFullLTOGlobalDCE	129464694482	180171554000	4109889000
XGo	LLGoFullLTOGlobalDCEPlugin	124682811696	174310261000	3942118000
XGo	LLGoFullLTONoGlobalDCE	125484121136	173736095000	4043947000
Aws_restjson	LLGoFullLTONoGlobalDCE	116542711338	147887065000	3028509000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	103486998597	136071511000	2890542000
Aws_restjson	LLGoFullLTOGlobalDCE	103449268516	135728533000	2920919000
Uber_zap	LLGoFullLTONoGlobalDCE	86100271676	109544101000	2596440000
XGo	LLGoDeadcodeDrop	43531175823	107016415000	3481105000
K8s_workqueue	LLGoFullLTOGlobalDCE	82467049500	103246392000	2606208000
XGo	LLGoNoLTO	41359892372	101905967000	3440754000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	81918732013	102667415000	2507927000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81903365975	102538508000	2423686000
Uber_zap	LLGoFullLTOGlobalDCE	76092543782	99933381000	2511511000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	75319937607	99392773000	2530850000
Aws_restjson	LLGoDeadcodeDrop	39594943271	79142006000	2922599000
Aws_restjson	LLGoNoLTO	38667144203	77800801000	2691894000
Gorm_schema	LLGoFullLTONoGlobalDCE	49115296255	66232294000	1861286000
Gorm_schema	LLGoFullLTOGlobalDCE	46348120016	63416284000	1835886000
Uber_zap	LLGoDeadcodeDrop	26065834365	55467638000	2259057000
Uber_zap	LLGoNoLTO	25793807334	55087872000	2262815000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36604704442	54005563000	1778749000
Toml	LLGoFullLTONoGlobalDCE	41539110001	51563679000	1470034000
K8s_workqueue	LLGoNoLTO	26046327590	49970260000	2153871000
K8s_workqueue	LLGoDeadcodeDrop	24200749275	48703032000	2291127000
Toml	LLGoFullLTOGlobalDCEPlugin	33461502579	43881463000	1474801000
IXGo	Go	12947409492	42246125000	2944215000
Toml	LLGoFullLTOGlobalDCE	33244969604	43513349000	1454450000
Gorm_schema	LLGoDeadcodeDrop	13337999872	36308697000	1660512000
Gorm_schema	LLGoNoLTO	13517955340	35893735000	1664476000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27217364885	33230735000	1344314000
Etcdctl	Go	10114816942	30864383000	1993143000
Dustin_humanize	LLGoFullLTOGlobalDCE	18314650340	24471676000	1207949000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17892797679	24102764000	1181105000
Toml	LLGoDeadcodeDrop	8826739140	21482539000	1414289000
Toml	LLGoNoLTO	8648974984	20896328000	1350550000
XGo	Go	5571028268	17739154000	1166477000
Dustin_humanize	LLGoDeadcodeDrop	6061476861	12425491000	1088771000
Dustin_humanize	LLGoNoLTO	5961471414	12346104000	1145602000
Aws_restjson	Go	3143721379	7165232000	630125000
Gorm_schema	Go	2175466117	5361520000	372129000
Uber_zap	Go	2115344193	4911293000	385136000
K8s_workqueue	Go	1624208512	4181172000	439654000
Toml	Go	908254964	1748156000	258471000
Dustin_humanize	Go	370743843	645675000	140351000
