benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	481399210208	517333504000	9409879000
IXGo	LLGoFullLTOGlobalDCEPlugin	457925863828	494053228000	8294659000
IXGo	LLGoFullLTOGlobalDCE	418678601066	440372488000	5744498000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	394893072304	413786001000	7683563000
Etcdctl	LLGoDeadcodeDrop	303905288145	325665883000	6684189000
Etcdctl	LLGoFullLTONoGlobalDCE	307623593233	322701907000	4756778000
Etcdctl	LLGoFullLTOGlobalDCE	259235473233	284659570000	3731309000
IXGo	LLGoDeadcodeDrop	197434151593	233539874000	4383973000
IXGo	LLGoNoLTO	175598461414	212610696000	4164804000
Aws_restjson	LLGoNoLTO	219401678270	204379228000	4793792000
XGo	LLGoFullLTOGlobalDCE	165305177807	184991245000	3302517000
XGo	LLGoFullLTONoGlobalDCE	159668522600	179343831000	3181073000
XGo	LLGoFullLTOGlobalDCEPlugin	161476187812	175324692000	3407638000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	153944870047	149191665000	3056657000
Aws_restjson	LLGoFullLTONoGlobalDCE	133036127305	148246904000	2615538000
Aws_restjson	LLGoFullLTOGlobalDCE	131599906963	139652464000	2650736000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	135131608814	132355453000	3663315000
Gorm_schema	LLGoFullLTONoGlobalDCE	154512600523	128293139000	3475406000
XGo	LLGoDeadcodeDrop	108917172886	124189131000	3601873000
Uber_zap	LLGoFullLTONoGlobalDCE	95728932837	109211714000	2522239000
K8s_workqueue	LLGoFullLTONoGlobalDCE	101814278641	106028567000	2564264000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	99243332309	102970718000	2520782000
Uber_zap	LLGoFullLTOGlobalDCE	90724451474	100695268000	2585312000
K8s_workqueue	LLGoFullLTOGlobalDCE	84049783199	95436671000	2339114000
Etcdctl	LLGoNoLTO	76626029990	90337314000	3173520000
Aws_restjson	LLGoDeadcodeDrop	83742747165	80960218000	2625296000
Gorm_schema	LLGoFullLTOGlobalDCE	89137010591	80896428000	1915506000
Toml	LLGoFullLTOGlobalDCE	89776733494	77272409000	2544431000
Dustin_humanize	LLGoFullLTOGlobalDCE	96726414495	68743467000	2405547000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	61057453516	60307011000	1773823000
Toml	LLGoFullLTONoGlobalDCE	56125784292	59493668000	1539036000
XGo	LLGoNoLTO	30152320188	54078235000	2433118000
Uber_zap	LLGoNoLTO	51875578802	49896667000	2433628000
Uber_zap	LLGoDeadcodeDrop	40693752587	46373199000	2389275000
Gorm_schema	LLGoDeadcodeDrop	69442187621	46028681000	1847560000
Toml	LLGoFullLTOGlobalDCEPlugin	41194521611	45175156000	1435230000
Dustin_humanize	LLGoFullLTONoGlobalDCE	40404607748	43199267000	1367116000
IXGo	Go	28736247997	40669383000	3146227000
K8s_workqueue	LLGoDeadcodeDrop	25000350070	34021246000	2196341000
K8s_workqueue	LLGoNoLTO	21457857290	32502818000	2426473000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27866133577	33008305000	1261374000
Toml	LLGoNoLTO	16600553437	21017237000	1409917000
Toml	LLGoDeadcodeDrop	12299204555	18768289000	1235785000
Etcdctl	Go	19014484764	17627926000	926818000
Gorm_schema	LLGoNoLTO	8812117215	16494197000	1375570000
Dustin_humanize	LLGoDeadcodeDrop	15038078459	13353626000	1332260000
Dustin_humanize	LLGoNoLTO	14775080409	13098448000	1273418000
XGo	Go	9083759025	7123452000	455668000
Aws_restjson	Go	1927019898	4505033000	422019000
Uber_zap	Go	4734363641	3309744000	282811000
Gorm_schema	Go	1527045656	3189178000	209609000
K8s_workqueue	Go	1444856217	1832029000	223680000
Dustin_humanize	Go	845162063	686065000	110067000
Toml	Go	895605082	612835000	134381000
