benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	284499265876	323007010000	5576721000
IXGo	LLGoFullLTOGlobalDCEPlugin	258105043034	287152625000	3839421000
IXGo	LLGoFullLTONoGlobalDCE	254501503831	282979189000	4110225000
Etcdctl	LLGoFullLTONoGlobalDCE	212147501562	239058731000	3810994000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	188026806961	214308389000	2822756000
Etcdctl	LLGoFullLTOGlobalDCE	186214092489	212414082000	2843958000
XGo	LLGoFullLTONoGlobalDCE	166207683407	179826738000	3045430000
IXGo	LLGoNoLTO	149370550277	172123322000	3918654000
IXGo	LLGoDeadcodeDrop	131058282332	160584879000	3268242000
XGo	LLGoFullLTOGlobalDCEPlugin	142886936983	159477028000	3354181000
K8s_workqueue	LLGoFullLTOGlobalDCE	142271876307	144760726000	3771052000
Uber_zap	LLGoFullLTOGlobalDCE	137394090559	140713133000	3325286000
XGo	LLGoFullLTOGlobalDCE	121936106870	139872832000	2278350000
K8s_workqueue	LLGoDeadcodeDrop	130507723519	133533724000	3703644000
Etcdctl	LLGoDeadcodeDrop	103365550722	125091840000	2479581000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	116809489227	114842078000	2900351000
Etcdctl	LLGoNoLTO	92069221229	114684892000	2317229000
Aws_restjson	LLGoFullLTONoGlobalDCE	102760863945	114388244000	2059407000
Aws_restjson	LLGoFullLTOGlobalDCE	102444685572	110760028000	2121062000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	84723568423	96188324000	2077703000
Uber_zap	LLGoFullLTONoGlobalDCE	77752014688	86540749000	1991245000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	72783678016	79070507000	1998556000
K8s_workqueue	LLGoFullLTONoGlobalDCE	66401512952	75634018000	1929477000
XGo	LLGoDeadcodeDrop	57710032245	72742302000	1950822000
Aws_restjson	LLGoNoLTO	55222252781	57478292000	2162919000
Gorm_schema	LLGoFullLTONoGlobalDCE	44282991589	48934542000	1240632000
Gorm_schema	LLGoFullLTOGlobalDCE	42018511676	47622279000	1238070000
Aws_restjson	LLGoDeadcodeDrop	33283480510	44554645000	1742304000
XGo	LLGoNoLTO	31521890355	44026265000	1881992000
Toml	LLGoFullLTONoGlobalDCE	36249449330	40699667000	1143699000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35135310591	39803229000	1173295000
Toml	LLGoFullLTOGlobalDCE	36955918220	38525685000	1279297000
Toml	LLGoFullLTOGlobalDCEPlugin	31682022836	36379389000	1181220000
Uber_zap	LLGoDeadcodeDrop	36511606091	35690503000	1717704000
Gorm_schema	LLGoDeadcodeDrop	36392597998	33125394000	1494084000
Dustin_humanize	LLGoFullLTONoGlobalDCE	29998862709	33486673000	1023605000
IXGo	Go	20006502211	32152647000	2209365000
Dustin_humanize	LLGoFullLTOGlobalDCE	30234605553	28142333000	1137082000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25199814955	27321629000	1029380000
Etcdctl	Go	18202271059	25062328000	1596199000
Uber_zap	LLGoNoLTO	14216124089	22679293000	1543911000
K8s_workqueue	LLGoNoLTO	10477148274	19939073000	1435809000
Toml	LLGoNoLTO	15317654215	16156099000	1065458000
Toml	LLGoDeadcodeDrop	8781794648	13569585000	965900000
Gorm_schema	LLGoNoLTO	6478384658	12300864000	998729000
Dustin_humanize	LLGoDeadcodeDrop	10621093979	10520029000	999658000
Dustin_humanize	LLGoNoLTO	8125791949	9851368000	1049033000
Aws_restjson	Go	9960703272	6836285000	547901000
XGo	Go	3053806164	5025024000	359245000
Gorm_schema	Go	3091529661	2984365000	185253000
Uber_zap	Go	1805316799	2424517000	200531000
K8s_workqueue	Go	4067769084	1606392000	201825000
Dustin_humanize	Go	769038143	549724000	88526000
Toml	Go	542278036	435444000	101564000
