benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	651114359241	892029509000	7461075000
IXGo	LLGoFullLTOGlobalDCEPlugin	605052566360	837290748000	7687446000
IXGo	LLGoFullLTONoGlobalDCE	584308961624	784659781000	7107114000
IXGo	LLGoDeadcodeDrop	162655026079	434399104000	6511206000
IXGo	LLGoNoLTO	156862349233	419541068000	6545105000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	177173922297	289550209000	5802097000
Etcdctl	LLGoFullLTOGlobalDCE	168989669477	278800084000	5340692000
Etcdctl	LLGoFullLTONoGlobalDCE	169464916882	277336235000	5232426000
Etcdctl	LLGoDeadcodeDrop	72433979532	213585873000	4965138000
Etcdctl	LLGoNoLTO	67602581759	200491427000	4668440000
XGo	LLGoFullLTOGlobalDCEPlugin	129597200059	177990308000	3557330000
XGo	LLGoFullLTOGlobalDCE	129309291236	177910900000	3493967000
Aws_restjson	LLGoFullLTONoGlobalDCE	146169373372	176835802000	2452564000
XGo	LLGoFullLTONoGlobalDCE	127889464358	174146052000	3272644000
Aws_restjson	LLGoFullLTOGlobalDCE	116663950187	148537265000	2324358000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	113069123713	144685832000	2340556000
Uber_zap	LLGoFullLTONoGlobalDCE	89976706218	113328868000	1879175000
XGo	LLGoDeadcodeDrop	41631812558	102835756000	3017145000
K8s_workqueue	LLGoFullLTOGlobalDCE	82939017844	103485759000	1733875000
K8s_workqueue	LLGoFullLTONoGlobalDCE	84006197698	103283756000	1771457000
Uber_zap	LLGoFullLTOGlobalDCE	77619400190	100826529000	1890876000
XGo	LLGoNoLTO	40127366244	99148854000	2966961000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74138094675	96871471000	1763185000
Aws_restjson	LLGoNoLTO	53167085952	92064279000	2103963000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	68352691710	88445556000	1696685000
Aws_restjson	LLGoDeadcodeDrop	41286236531	80118875000	2119132000
Gorm_schema	LLGoFullLTOGlobalDCE	46972588373	63398625000	1382039000
Gorm_schema	LLGoFullLTONoGlobalDCE	47184787613	63211588000	1333110000
Uber_zap	LLGoDeadcodeDrop	24849159750	53651694000	1485794000
Toml	LLGoFullLTONoGlobalDCE	43557133591	53608843000	1113609000
Uber_zap	LLGoNoLTO	24581764562	52666219000	1396524000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34589537685	50768996000	1230043000
K8s_workqueue	LLGoDeadcodeDrop	23183265682	46759470000	1597005000
K8s_workqueue	LLGoNoLTO	22145319388	44716486000	1493944000
IXGo	Go	13325529433	42526896000	3410004000
Toml	LLGoFullLTOGlobalDCE	32151818994	41960193000	990178000
Toml	LLGoFullLTOGlobalDCEPlugin	32067061339	41835362000	1028010000
Gorm_schema	LLGoDeadcodeDrop	12266206632	33619491000	1183087000
Gorm_schema	LLGoNoLTO	11953916807	32873674000	1181173000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27302587144	32735123000	817314000
Etcdctl	Go	9760696625	30285809000	2199841000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18302390561	24094463000	733534000
Dustin_humanize	LLGoFullLTOGlobalDCE	17772042761	23589854000	726582000
Toml	LLGoNoLTO	8207968300	20739933000	899652000
Toml	LLGoDeadcodeDrop	7855047783	20281769000	892040000
XGo	Go	5754102628	17278648000	1297082000
Dustin_humanize	LLGoDeadcodeDrop	5335581118	11500204000	663505000
Dustin_humanize	LLGoNoLTO	5246530038	11405992000	627713000
Aws_restjson	Go	3161141199	7044612000	698636000
Gorm_schema	Go	2273360328	5383981000	446015000
Uber_zap	Go	2063011330	4805006000	439120000
K8s_workqueue	Go	1670375614	4134764000	487581000
Toml	Go	990067391	1824335000	259969000
Dustin_humanize	Go	392964969	662807000	145468000
