benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTONoGlobalDCE	234868899735	240871381000	6646645000
Aws_restjson	LLGoFullLTOGlobalDCE	213049279737	216592019000	6401382000
Aws_restjson	LLGoNoLTO	173864497382	178450496000	11722641000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	140208143202	145635997000	3675082000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	125968102319	125297718000	3104504000
K8s_workqueue	LLGoFullLTONoGlobalDCE	125689721177	125703190000	3036732000
K8s_workqueue	LLGoFullLTOGlobalDCE	122782033480	126977803000	2811643000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	115579003917	129051365000	2870322000
Uber_zap	LLGoFullLTONoGlobalDCE	108896791549	119086821000	2635905000
Toml	LLGoFullLTOGlobalDCEPlugin	106177044148	103903095000	4194687000
Gorm_schema	LLGoFullLTOGlobalDCE	85074743451	84804762000	2110068000
Uber_zap	LLGoFullLTOGlobalDCE	80435644497	91876453000	2413958000
Toml	LLGoFullLTOGlobalDCE	70917069961	65746672000	1755266000
Gorm_schema	LLGoFullLTONoGlobalDCE	68642185636	73323638000	1876830000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	56152453215	50140033000	1530775000
Toml	LLGoFullLTONoGlobalDCE	55943907644	59544962000	1622940000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	48165604807	54535636000	1667339000
Dustin_humanize	LLGoFullLTONoGlobalDCE	39930658465	44295445000	1343700000
Uber_zap	LLGoNoLTO	31901679362	43501925000	2665296000
Gorm_schema	LLGoNoLTO	29155425787	35605998000	2213868000
Dustin_humanize	LLGoFullLTOGlobalDCE	27495945661	31968623000	1266868000
K8s_workqueue	LLGoNoLTO	21174296436	32192658000	2457639000
Toml	LLGoNoLTO	18206143736	22177976000	1622435000
Dustin_humanize	LLGoNoLTO	7825414045	12361396000	1185606000
Uber_zap	Go	1059256692	714616000	138667000
Aws_restjson	Go	1038506340	1005157000	180156000
K8s_workqueue	Go	548778075	625120000	135623000
Gorm_schema	Go	439176012	528091000	105159000
Dustin_humanize	Go	319637681	340451000	74562000
Toml	Go	279052672	393126000	109444000
