benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTONoGlobalDCE	174622440485	265614660000	5200881000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	172606662694	250299324000	3800299000
Etcdctl	LLGoFullLTOGlobalDCE	165585014401	242965028000	3681567000
XGo	LLGoFullLTOGlobalDCEPlugin	129245158317	211596459000	4531767000
Aws_restjson	LLGoFullLTONoGlobalDCE	107113494447	175684058000	3542977000
Etcdctl	LLGoDeadcodeDrop	49252186967	159114325000	3054783000
Etcdctl	LLGoNoLTO	47127363700	151530599000	2927227000
XGo	LLGoFullLTOGlobalDCE	114508855545	151193869000	2984610000
XGo	LLGoFullLTONoGlobalDCE	110572681634	145448276000	2870583000
K8s_workqueue	LLGoFullLTOGlobalDCE	87443705416	144339716000	3871322000
XGo	LLGoDeadcodeDrop	42131798242	138610302000	2863012000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	85172663071	106838687000	2324122000
Aws_restjson	LLGoFullLTOGlobalDCE	76104164271	99036410000	2321940000
Uber_zap	LLGoFullLTONoGlobalDCE	70941714514	88469735000	2344644000
K8s_workqueue	LLGoFullLTONoGlobalDCE	66871741972	78541658000	2214886000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	62914069629	73973328000	2008988000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	57400848760	73628120000	2220718000
Gorm_schema	LLGoDeadcodeDrop	26141035087	72086204000	2015077000
Uber_zap	LLGoFullLTOGlobalDCE	55038529558	69946488000	2136175000
Aws_restjson	LLGoDeadcodeDrop	23025805788	51876465000	2072543000
Gorm_schema	LLGoFullLTONoGlobalDCE	41465344424	52490730000	1400708000
Gorm_schema	LLGoFullLTOGlobalDCE	39111026663	50643253000	1365370000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	31867217067	42255963000	1399587000
Toml	LLGoFullLTONoGlobalDCE	34995066424	41405401000	1246264000
Toml	LLGoFullLTOGlobalDCEPlugin	27797231687	36152798000	1268931000
Toml	LLGoFullLTOGlobalDCE	28390972380	35543560000	1194356000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28847793512	32934888000	1115491000
Uber_zap	LLGoDeadcodeDrop	11716280026	31820405000	1856770000
XGo	LLGoNoLTO	13265634389	31369782000	2071489000
Uber_zap	LLGoNoLTO	11170295508	30442952000	1773895000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	21112712328	25366227000	1144025000
Dustin_humanize	LLGoFullLTOGlobalDCE	21272282372	25332743000	1162446000
K8s_workqueue	LLGoDeadcodeDrop	8541328527	21917956000	1780604000
Aws_restjson	LLGoNoLTO	8478101803	21362564000	1766506000
K8s_workqueue	LLGoNoLTO	7046434180	17046243000	1632977000
Toml	LLGoDeadcodeDrop	5761345164	13921206000	1060814000
Toml	LLGoNoLTO	5698445914	13547028000	1052811000
Etcdctl	Go	4490171335	12328657000	726208000
Gorm_schema	LLGoNoLTO	4606054107	10886897000	1108194000
Dustin_humanize	LLGoNoLTO	4140203421	8746199000	997334000
Dustin_humanize	LLGoDeadcodeDrop	3938520268	8192286000	930102000
XGo	Go	2648448359	6399373000	402542000
Aws_restjson	Go	1587352998	3641475000	346986000
Gorm_schema	Go	1198378424	2553699000	159016000
Uber_zap	Go	1014086595	2092829000	194186000
K8s_workqueue	Go	645258489	1220774000	196241000
Dustin_humanize	Go	306236338	491297000	126331000
Toml	Go	254679817	356846000	87431000
