benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	378733608649	531547917000	5893695000
IXGo	LLGoFullLTOGlobalDCEPlugin	362140197228	515523254000	6008378000
IXGo	LLGoFullLTOGlobalDCE	356483768787	510097714000	6054635000
IXGo	LLGoDeadcodeDrop	122831953809	315258322000	5217161000
IXGo	LLGoNoLTO	123614626158	305112626000	5274697000
Etcdctl	LLGoFullLTOGlobalDCE	132694586626	210941581000	4283966000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	131772566424	210507681000	4392556000
Etcdctl	LLGoFullLTONoGlobalDCE	133405079633	209087866000	4126911000
Etcdctl	LLGoDeadcodeDrop	50969011118	149431997000	3865224000
Etcdctl	LLGoNoLTO	50485204251	148914952000	3840870000
XGo	LLGoFullLTONoGlobalDCE	105399504231	144839295000	2868338000
XGo	LLGoFullLTOGlobalDCE	103457043550	142986052000	2783941000
XGo	LLGoFullLTOGlobalDCEPlugin	101303655847	141980801000	2922787000
Aws_restjson	LLGoFullLTONoGlobalDCE	94707898440	122118422000	2060330000
Aws_restjson	LLGoFullLTOGlobalDCE	83785478746	112022561000	2022238000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	83309613914	111890952000	2087789000
Uber_zap	LLGoFullLTONoGlobalDCE	67411784046	86013090000	1608542000
XGo	LLGoDeadcodeDrop	30621161325	81302873000	2375174000
K8s_workqueue	LLGoFullLTOGlobalDCE	64504017376	81244570000	1508279000
K8s_workqueue	LLGoFullLTONoGlobalDCE	64523580777	80472225000	1554459000
XGo	LLGoNoLTO	30633032891	79388642000	2518441000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	58147050440	77499832000	1609767000
Uber_zap	LLGoFullLTOGlobalDCE	58253575712	77227220000	1553286000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	53447974104	70034963000	1531797000
Aws_restjson	LLGoDeadcodeDrop	34281825124	67843548000	1802855000
Aws_restjson	LLGoNoLTO	34201663247	66941923000	1779447000
Gorm_schema	LLGoFullLTONoGlobalDCE	37344187109	50970991000	1243890000
Gorm_schema	LLGoFullLTOGlobalDCE	37014892342	50640630000	1211611000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	28725414535	43032753000	1228335000
Uber_zap	LLGoDeadcodeDrop	18241336354	41950796000	1336819000
Uber_zap	LLGoNoLTO	17999718863	41046271000	1321354000
Toml	LLGoFullLTONoGlobalDCE	33039036983	41223347000	966376000
K8s_workqueue	LLGoDeadcodeDrop	16760674917	36300433000	1294324000
K8s_workqueue	LLGoNoLTO	16481784929	35941706000	1252450000
Toml	LLGoFullLTOGlobalDCEPlugin	25235870088	33656998000	875567000
Toml	LLGoFullLTOGlobalDCE	25709421543	33638898000	843953000
IXGo	Go	9814501536	31389740000	2802892000
Gorm_schema	LLGoDeadcodeDrop	9729566539	28301485000	1096818000
Dustin_humanize	LLGoFullLTONoGlobalDCE	22575459879	27524636000	774802000
Gorm_schema	LLGoNoLTO	9516661025	27074161000	1090950000
Etcdctl	Go	7822778353	23913420000	1911725000
Dustin_humanize	LLGoFullLTOGlobalDCE	14861954810	19804016000	715083000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	14663924038	19776926000	711823000
Toml	LLGoDeadcodeDrop	6711224531	17438061000	763522000
Toml	LLGoNoLTO	6532089729	16498469000	795451000
XGo	Go	4382744833	13512976000	1118700000
Dustin_humanize	LLGoDeadcodeDrop	4663192667	10081228000	623995000
Dustin_humanize	LLGoNoLTO	4600381956	10018382000	636947000
Aws_restjson	Go	2533203213	5644979000	576550000
Gorm_schema	Go	1707191052	4043026000	379370000
Uber_zap	Go	1667958513	3784977000	399226000
K8s_workqueue	Go	1304460526	3307719000	348087000
Toml	Go	728317511	1393413000	190680000
Dustin_humanize	Go	304384168	522886000	104768000
