benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCE	390953778421	410913250000	6967604000
Etcdctl	LLGoDeadcodeDrop	276876748044	298192273000	7234070000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	255982652916	291026296000	4029918000
Etcdctl	LLGoFullLTONoGlobalDCE	250310276418	285275369000	4072528000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	283326710525	260914684000	4716979000
XGo	LLGoFullLTOGlobalDCE	186929249562	199006359000	3726166000
XGo	LLGoFullLTONoGlobalDCE	160958573629	184571375000	3211043000
XGo	LLGoFullLTOGlobalDCEPlugin	158042246923	178263826000	3447359000
K8s_workqueue	LLGoFullLTONoGlobalDCE	148858448575	162741014000	4449747000
Aws_restjson	LLGoFullLTONoGlobalDCE	145262430322	159197796000	3304567000
Uber_zap	LLGoFullLTONoGlobalDCE	147310625346	138756162000	3167623000
Aws_restjson	LLGoFullLTOGlobalDCE	113139382944	128179957000	2786460000
K8s_workqueue	LLGoFullLTOGlobalDCE	136576586671	127145353000	3333118000
Uber_zap	LLGoFullLTOGlobalDCE	107699776303	111530604000	3172621000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	110646266407	110987911000	2868363000
XGo	LLGoDeadcodeDrop	72109275812	104010088000	3428860000
K8s_workqueue	LLGoNoLTO	114403580298	97985839000	3208480000
Etcdctl	LLGoNoLTO	84465745549	96343296000	3794735000
Aws_restjson	LLGoDeadcodeDrop	98919315140	92420656000	2995406000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	77535217639	91395271000	2590902000
Gorm_schema	LLGoDeadcodeDrop	74540614971	80426934000	2942792000
Aws_restjson	LLGoNoLTO	69205762375	73224119000	2897725000
Gorm_schema	LLGoFullLTONoGlobalDCE	73670787490	73741764000	2041501000
Toml	LLGoFullLTOGlobalDCE	64474716634	71622808000	2283498000
Gorm_schema	LLGoFullLTOGlobalDCE	69159597099	70876360000	1832164000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	69977568890	66860414000	1935323000
XGo	LLGoNoLTO	34780107110	54906191000	2643472000
Toml	LLGoFullLTONoGlobalDCE	48228936614	53769862000	1804178000
Toml	LLGoFullLTOGlobalDCEPlugin	47084957089	50249171000	1683141000
Dustin_humanize	LLGoFullLTONoGlobalDCE	40337790343	43479053000	1489148000
Uber_zap	LLGoDeadcodeDrop	25632229140	40376266000	2093306000
Uber_zap	LLGoNoLTO	32535472891	35977122000	2453028000
K8s_workqueue	LLGoDeadcodeDrop	23496752321	32063600000	2413027000
Dustin_humanize	LLGoFullLTOGlobalDCE	27631044208	32728621000	1408821000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27698854524	32294678000	1413773000
Toml	LLGoDeadcodeDrop	14317107859	18921574000	1432986000
Toml	LLGoNoLTO	11457792960	17929463000	1321261000
Gorm_schema	LLGoNoLTO	8765062261	16309018000	1475949000
Etcdctl	Go	5915797863	15895031000	1027739000
Dustin_humanize	LLGoDeadcodeDrop	14348931053	14560549000	1428111000
Dustin_humanize	LLGoNoLTO	16634220579	13075633000	1523182000
XGo	Go	12647870089	10116735000	679700000
Uber_zap	Go	6848086443	5944888000	495782000
Aws_restjson	Go	2253289533	4519129000	593766000
Gorm_schema	Go	1502950914	3242091000	191136000
K8s_workqueue	Go	5149832088	2642442000	337998000
Dustin_humanize	Go	421021647	553194000	126455000
Toml	Go	457332010	481320000	132364000
