benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCEPlugin	268066437387	305122364000	3764993000
Etcdctl	LLGoFullLTOGlobalDCE	263765861935	300346052000	3612950000
Etcdctl	LLGoFullLTONoGlobalDCE	265211572500	296631243000	3595310000
XGo	LLGoNoLTO	277328076026	274599295000	5717208000
Etcdctl	LLGoDeadcodeDrop	200698235865	224293945000	4097370000
Aws_restjson	LLGoFullLTONoGlobalDCE	220318674637	212387326000	3194070000
XGo	LLGoFullLTOGlobalDCEPlugin	171710201224	196587462000	3067482000
XGo	LLGoFullLTOGlobalDCE	167903085042	192784106000	2914558000
XGo	LLGoFullLTONoGlobalDCE	155931588217	180169718000	2930499000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	164045658844	174540887000	2647101000
K8s_workqueue	LLGoFullLTOGlobalDCE	149000638138	163464528000	3535248000
K8s_workqueue	LLGoFullLTONoGlobalDCE	170099869115	160590568000	2992042000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	167221505205	157724936000	3086042000
Aws_restjson	LLGoFullLTOGlobalDCE	136027935502	156726517000	2943417000
Uber_zap	LLGoFullLTONoGlobalDCE	133085368582	134972567000	2919213000
Toml	LLGoFullLTOGlobalDCEPlugin	165413457202	126022261000	3390358000
Uber_zap	LLGoFullLTOGlobalDCE	94350125930	104554381000	2470408000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	80789650184	95579427000	2382066000
Aws_restjson	LLGoDeadcodeDrop	80782146651	84897557000	2456614000
Etcdctl	LLGoNoLTO	42950587364	77637588000	2667110000
Gorm_schema	LLGoFullLTOGlobalDCE	65853130329	75393171000	1860455000
XGo	LLGoDeadcodeDrop	43988392628	69223576000	2338389000
Gorm_schema	LLGoFullLTONoGlobalDCE	58670138596	66757559000	1453839000
Aws_restjson	LLGoNoLTO	45503335729	62232612000	2098089000
Toml	LLGoFullLTONoGlobalDCE	50984253194	57489984000	1392586000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	47282751051	55324504000	1419131000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	57745347086	51433481000	1548481000
Toml	LLGoFullLTOGlobalDCE	46155988855	50600543000	1555713000
Uber_zap	LLGoNoLTO	28717702376	46794891000	2341415000
Dustin_humanize	LLGoFullLTONoGlobalDCE	42282159804	47464706000	1344968000
Uber_zap	LLGoDeadcodeDrop	29482541960	45385681000	2092493000
K8s_workqueue	LLGoDeadcodeDrop	39528156878	40708010000	2271407000
Dustin_humanize	LLGoFullLTOGlobalDCE	33761642111	37836897000	1398968000
Etcdctl	Go	15033770943	33729587000	2086037000
K8s_workqueue	LLGoNoLTO	21944522142	32657146000	2041981000
Gorm_schema	LLGoDeadcodeDrop	24176831264	29939936000	1379008000
Gorm_schema	LLGoNoLTO	18965343312	27315591000	1355888000
Toml	LLGoDeadcodeDrop	18216972081	23433278000	1342702000
Toml	LLGoNoLTO	8398866141	14479645000	1150265000
Dustin_humanize	LLGoNoLTO	6711092382	12405728000	1126074000
Dustin_humanize	LLGoDeadcodeDrop	6825721853	12065747000	1143517000
XGo	Go	3690783138	8672555000	487965000
Aws_restjson	Go	2127712319	4923411000	481253000
Gorm_schema	Go	2972890779	3847002000	229639000
Uber_zap	Go	1380578006	2868468000	216549000
K8s_workqueue	Go	943778617	1804220000	188299000
Dustin_humanize	Go	878367595	751583000	214814000
Toml	Go	1250088416	666348000	146730000
