benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	287612162351	445552804000	5675267000
IXGo	LLGoFullLTOGlobalDCEPlugin	277123040120	406475886000	5651285000
Etcdctl	LLGoFullLTOGlobalDCE	234622775820	396344328000	5184590000
IXGo	LLGoFullLTOGlobalDCE	271324526959	388160811000	5687618000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	211108918650	314454547000	4268045000
Etcdctl	LLGoFullLTONoGlobalDCE	212356513534	313116989000	4224449000
IXGo	LLGoDeadcodeDrop	94661108630	299182349000	4824316000
XGo	LLGoDeadcodeDrop	78008433949	246155524000	4030044000
Etcdctl	LLGoDeadcodeDrop	64415420241	205540501000	3554280000
Etcdctl	LLGoNoLTO	63481519238	202170726000	3520878000
XGo	LLGoFullLTOGlobalDCE	137801413452	186624179000	3220376000
XGo	LLGoFullLTONoGlobalDCE	136148499229	173631545000	3278867000
XGo	LLGoFullLTOGlobalDCEPlugin	134007870839	173118823000	3253044000
Aws_restjson	LLGoFullLTONoGlobalDCE	117774961084	145346108000	2677508000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	99941015234	140905418000	2889788000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	98734698959	128260827000	2825383000
Aws_restjson	LLGoFullLTOGlobalDCE	97999683287	125989010000	2732199000
Uber_zap	LLGoFullLTONoGlobalDCE	91015865196	110869448000	2764041000
K8s_workqueue	LLGoFullLTOGlobalDCE	86947017909	107458637000	2684385000
K8s_workqueue	LLGoFullLTONoGlobalDCE	85193651678	101691654000	2478908000
Uber_zap	LLGoFullLTOGlobalDCE	76678428258	97105126000	2607660000
Toml	LLGoFullLTONoGlobalDCE	61101239336	96848511000	2374600000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	75699629539	96134812000	2656931000
Gorm_schema	LLGoNoLTO	40181127887	95774617000	2068512000
Toml	LLGoFullLTOGlobalDCEPlugin	52701197417	89796394000	2416910000
IXGo	LLGoNoLTO	25024932368	64864424000	3624999000
Aws_restjson	LLGoDeadcodeDrop	28590077463	65789847000	2413504000
Gorm_schema	LLGoFullLTONoGlobalDCE	52154458528	65791886000	1643448000
Gorm_schema	LLGoFullLTOGlobalDCE	50231625328	63917137000	1578417000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	38676373288	52406572000	1577567000
Uber_zap	LLGoDeadcodeDrop	16789656718	46850988000	2338053000
Toml	LLGoFullLTOGlobalDCE	37849631685	46984309000	1480998000
Dustin_humanize	LLGoFullLTONoGlobalDCE	37478731596	42961344000	1285041000
XGo	LLGoNoLTO	17695788451	39937768000	2573069000
K8s_workqueue	LLGoDeadcodeDrop	13519024032	34821870000	2254291000
K8s_workqueue	LLGoNoLTO	12877121804	33673243000	2266150000
Dustin_humanize	LLGoFullLTOGlobalDCE	26482922463	32006819000	1328592000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26555864847	32028774000	1273266000
Gorm_schema	LLGoDeadcodeDrop	10748480482	29728257000	1435057000
Aws_restjson	LLGoNoLTO	11578636044	27959831000	2138659000
Uber_zap	LLGoNoLTO	10315965806	24635696000	1965770000
Toml	LLGoDeadcodeDrop	8340637811	19883220000	1328833000
Toml	LLGoNoLTO	8204427555	19757495000	1281122000
Dustin_humanize	LLGoDeadcodeDrop	5283596942	10828056000	1128165000
Dustin_humanize	LLGoNoLTO	5227951838	10603903000	1170181000
IXGo	Go	1172642483	1724841000	238854000
Etcdctl	Go	841247186	1261210000	197273000
XGo	Go	601802871	909007000	144622000
Aws_restjson	Go	468660014	700374000	135549000
K8s_workqueue	Go	435930079	635212000	126734000
Uber_zap	Go	393246827	558965000	128812000
Gorm_schema	Go	304605576	450039000	93892000
Dustin_humanize	Go	257208352	398854000	133016000
Toml	Go	292177506	407361000	113592000
