benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	413984531653	589406751000	7157386000
IXGo	LLGoFullLTOGlobalDCE	404357138234	586139717000	7086435000
IXGo	LLGoFullLTONoGlobalDCE	396785952631	573123966000	6873162000
IXGo	LLGoNoLTO	134863178396	355797232000	6139752000
IXGo	LLGoDeadcodeDrop	132646583289	351095412000	6239876000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	161487791228	257792157000	5164737000
Etcdctl	LLGoFullLTOGlobalDCE	158826059607	251029050000	5056647000
Etcdctl	LLGoFullLTONoGlobalDCE	160342292990	249886956000	4739390000
Etcdctl	LLGoDeadcodeDrop	63611343113	181881590000	4572639000
Etcdctl	LLGoNoLTO	63726702945	182079663000	4303834000
XGo	LLGoFullLTOGlobalDCEPlugin	124465077677	171821215000	3482092000
XGo	LLGoFullLTOGlobalDCE	124294869545	170522923000	3322013000
XGo	LLGoFullLTONoGlobalDCE	124855813937	170230196000	3253020000
Aws_restjson	LLGoFullLTONoGlobalDCE	127300327296	156702205000	2329014000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	103222006941	134147381000	2303567000
Aws_restjson	LLGoFullLTOGlobalDCE	103295030261	133540236000	2263257000
Uber_zap	LLGoFullLTONoGlobalDCE	82691726844	104299667000	1744369000
XGo	LLGoDeadcodeDrop	41306926698	102691210000	2940730000
K8s_workqueue	LLGoFullLTOGlobalDCE	80126434783	99327074000	1736824000
XGo	LLGoNoLTO	40127522075	97959486000	2718297000
K8s_workqueue	LLGoFullLTONoGlobalDCE	78859816282	97667373000	1740378000
Uber_zap	LLGoFullLTOGlobalDCE	74058941090	95995390000	1728449000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	71471452069	93744836000	1777030000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	66140066714	85766402000	1687860000
Aws_restjson	LLGoDeadcodeDrop	40366377198	79180968000	2014446000
Aws_restjson	LLGoNoLTO	40711433130	78163124000	2025582000
Gorm_schema	LLGoFullLTONoGlobalDCE	45366363582	60997240000	1319076000
Gorm_schema	LLGoFullLTOGlobalDCE	44891169569	60737542000	1369020000
Uber_zap	LLGoDeadcodeDrop	24533092722	53053027000	1475327000
Uber_zap	LLGoNoLTO	24122016728	51679549000	1423047000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33657233045	49572716000	1243148000
Toml	LLGoFullLTONoGlobalDCE	39367607443	48639572000	1044359000
K8s_workqueue	LLGoDeadcodeDrop	25040748498	47688199000	1433117000
K8s_workqueue	LLGoNoLTO	22460371848	45387612000	1444452000
Toml	LLGoFullLTOGlobalDCEPlugin	32673701207	42673187000	1021900000
IXGo	Go	12223751668	39539189000	3104150000
Toml	LLGoFullLTOGlobalDCE	31118314264	40726706000	984373000
Gorm_schema	LLGoDeadcodeDrop	12045227910	32605566000	1228637000
Gorm_schema	LLGoNoLTO	11869567136	32257340000	1159444000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26723959415	32166199000	794437000
Etcdctl	Go	9473141486	29590234000	2070150000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17617325679	23658068000	781195000
Dustin_humanize	LLGoFullLTOGlobalDCE	17089643464	22684111000	768239000
Toml	LLGoNoLTO	7756266308	19696274000	877455000
Toml	LLGoDeadcodeDrop	7643384471	19657278000	856726000
XGo	Go	5688712766	17261729000	1282067000
Dustin_humanize	LLGoDeadcodeDrop	5312745749	11311982000	671324000
Dustin_humanize	LLGoNoLTO	5113678829	11331540000	642931000
Aws_restjson	Go	3142550657	6917951000	704266000
Gorm_schema	Go	2109622509	5103898000	387753000
Uber_zap	Go	2041512169	4680580000	448156000
K8s_workqueue	Go	1606091128	3992478000	481100000
Toml	Go	892153977	1683507000	266546000
Dustin_humanize	Go	375938315	646992000	151996000
