benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	302940138359	500764457000	9061666000
IXGo	LLGoFullLTOGlobalDCEPlugin	268799388508	369496588000	5705519000
IXGo	LLGoFullLTOGlobalDCE	267856458007	369209207000	5506016000
Etcdctl	LLGoDeadcodeDrop	110030820956	366310240000	6235427000
Etcdctl	LLGoFullLTOGlobalDCE	204222683138	309008055000	4230829000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	204720966573	308817551000	4118727000
Etcdctl	LLGoFullLTONoGlobalDCE	205824259384	305621562000	4040743000
IXGo	LLGoDeadcodeDrop	90849517424	287026535000	4985121000
IXGo	LLGoNoLTO	73538889162	231328907000	4618469000
XGo	LLGoFullLTOGlobalDCEPlugin	148651185554	230634694000	3647358000
XGo	LLGoFullLTOGlobalDCE	137513344374	194341556000	3794087000
Uber_zap	LLGoFullLTOGlobalDCE	100494908073	185489021000	4508894000
XGo	LLGoFullLTONoGlobalDCE	130872935530	162340330000	3280372000
Aws_restjson	LLGoFullLTONoGlobalDCE	110102845914	138151706000	2694125000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	93169777523	123845373000	2682787000
Aws_restjson	LLGoFullLTOGlobalDCE	92960545482	123039631000	2752172000
Uber_zap	LLGoFullLTONoGlobalDCE	87066598533	107393730000	2485252000
XGo	LLGoNoLTO	32506184234	100773944000	2512904000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79749360093	95182895000	2367544000
K8s_workqueue	LLGoFullLTOGlobalDCE	78745796752	94804896000	2473417000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	78862514127	94609379000	2413815000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	68488275718	89302470000	2544642000
Etcdctl	LLGoNoLTO	30339685421	85499789000	3072561000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	50348039704	86131931000	2415629000
Aws_restjson	LLGoNoLTO	28115866970	70279669000	2668562000
Dustin_humanize	LLGoNoLTO	25703614364	66919142000	1744684000
Gorm_schema	LLGoFullLTOGlobalDCE	49267920270	64969686000	1586563000
Gorm_schema	LLGoFullLTONoGlobalDCE	50328369958	64199641000	1605508000
XGo	LLGoDeadcodeDrop	23400732414	62673370000	2554297000
Aws_restjson	LLGoDeadcodeDrop	25908123427	61409200000	2371340000
Toml	LLGoFullLTONoGlobalDCE	44953916254	56757674000	1547482000
Toml	LLGoFullLTOGlobalDCE	34971961201	44625876000	1388409000
Toml	LLGoFullLTOGlobalDCEPlugin	34953794144	44429580000	1378858000
Uber_zap	LLGoDeadcodeDrop	14343687105	41724620000	2140920000
Dustin_humanize	LLGoFullLTONoGlobalDCE	35636654714	41453778000	1175243000
Uber_zap	LLGoNoLTO	13956385650	40020707000	2070404000
K8s_workqueue	LLGoDeadcodeDrop	13369419152	37882646000	2214294000
IXGo	Go	10741168361	33260851000	2220652000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25546201135	31684375000	1235642000
Dustin_humanize	LLGoFullLTOGlobalDCE	25536169958	31364728000	1334743000
Gorm_schema	LLGoDeadcodeDrop	10312622443	30355945000	1391293000
Gorm_schema	LLGoNoLTO	9960132933	29035648000	1401667000
K8s_workqueue	LLGoNoLTO	9012971093	22872800000	1910443000
Toml	LLGoNoLTO	7076017525	18250698000	1268831000
Toml	LLGoDeadcodeDrop	7211980862	18162934000	1273691000
Etcdctl	Go	5671303424	15981728000	735353000
Dustin_humanize	LLGoDeadcodeDrop	4876914396	11038563000	1135591000
XGo	Go	3390618836	8454377000	425725000
Aws_restjson	Go	1907725320	4650212000	371598000
Gorm_schema	Go	1599881410	3374111000	174143000
Uber_zap	Go	1358152540	2760447000	211063000
K8s_workqueue	Go	984074612	2237110000	291277000
Dustin_humanize	Go	317468898	554305000	84997000
Toml	Go	298989963	446663000	93419000
