benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoNoLTO	202376223907	193420843000	13425058000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	193565823133	219354837000	7089488000
Aws_restjson	LLGoFullLTONoGlobalDCE	141523101170	153473070000	3100029000
Uber_zap	LLGoFullLTONoGlobalDCE	141434658432	155510319000	4103054000
Aws_restjson	LLGoFullLTOGlobalDCE	123901617084	125804275000	3211884000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	111552588309	115545328000	2669964000
Uber_zap	LLGoFullLTOGlobalDCE	98704522288	103652969000	3031795000
K8s_workqueue	LLGoFullLTONoGlobalDCE	94552157853	104727353000	2705056000
K8s_workqueue	LLGoFullLTOGlobalDCE	91881861146	103238901000	2889293000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	90128358526	99596513000	5097910000
Gorm_schema	LLGoFullLTONoGlobalDCE	86713644654	91291763000	3714032000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	78869243874	90352621000	2529695000
Gorm_schema	LLGoFullLTOGlobalDCE	76204869411	75913520000	1811445000
Dustin_humanize	LLGoFullLTONoGlobalDCE	64950088423	58162050000	1777234000
Gorm_schema	LLGoNoLTO	55236555108	49134279000	3215120000
Toml	LLGoFullLTOGlobalDCE	53496005468	52561007000	1583962000
Toml	LLGoFullLTONoGlobalDCE	52585495080	57295514000	1612190000
Uber_zap	LLGoNoLTO	45675963615	50015016000	3161000000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	42894735563	41448914000	1641480000
K8s_workqueue	LLGoNoLTO	42815980164	41666819000	3392327000
Dustin_humanize	LLGoFullLTOGlobalDCE	40767106591	38784469000	1558655000
Toml	LLGoFullLTOGlobalDCEPlugin	40495683071	46759753000	1646972000
Toml	LLGoNoLTO	26187183705	24817080000	1951275000
Dustin_humanize	LLGoNoLTO	17739503176	15792763000	1590822000
Aws_restjson	Go	8362357174	8071884000	575611000
Gorm_schema	Go	5872830406	5874410000	383675000
K8s_workqueue	Go	4942396617	2604855000	338549000
Toml	Go	4342053735	2123483000	257572000
Uber_zap	Go	2943449344	5385317000	385432000
Dustin_humanize	Go	479408971	617041000	109951000
