benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	392583435549	548170450000	7120373000
IXGo	LLGoFullLTOGlobalDCEPlugin	393634656544	545810056000	7031053000
IXGo	LLGoFullLTONoGlobalDCE	384981837982	532701994000	6863771000
IXGo	LLGoDeadcodeDrop	126045734162	309540241000	6240747000
IXGo	LLGoNoLTO	121101851683	308888787000	6170775000
Etcdctl	LLGoFullLTOGlobalDCE	162668534041	268943949000	5513654000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	159934174050	264857227000	5514699000
Etcdctl	LLGoFullLTONoGlobalDCE	157248707603	259911387000	5153301000
Etcdctl	LLGoDeadcodeDrop	66042202191	198893899000	5203321000
Etcdctl	LLGoNoLTO	64213345021	193987198000	5024434000
XGo	LLGoFullLTONoGlobalDCE	120299252216	165299069000	3583852000
XGo	LLGoFullLTOGlobalDCEPlugin	118170301363	165224814000	3628329000
XGo	LLGoFullLTOGlobalDCE	117590997773	164518917000	3593848000
Aws_restjson	LLGoFullLTONoGlobalDCE	111962374998	141577553000	2578174000
Aws_restjson	LLGoFullLTOGlobalDCE	101704198240	132163303000	2632770000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	98851651327	129121349000	2701932000
Uber_zap	LLGoFullLTONoGlobalDCE	77337183796	98948223000	2155312000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	75355276614	94726102000	2224661000
K8s_workqueue	LLGoFullLTONoGlobalDCE	75316477540	94508484000	2154717000
K8s_workqueue	LLGoFullLTOGlobalDCE	74585644423	93887122000	2124527000
XGo	LLGoDeadcodeDrop	36873175869	92551493000	3196798000
XGo	LLGoNoLTO	36005686974	91628525000	3221864000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	67668629921	90017906000	2204715000
Uber_zap	LLGoFullLTOGlobalDCE	67764794672	89698732000	2224413000
Aws_restjson	LLGoDeadcodeDrop	37732082081	75258354000	2479915000
Aws_restjson	LLGoNoLTO	36334921605	71354676000	2455524000
Gorm_schema	LLGoFullLTOGlobalDCE	43642972137	58882858000	1646554000
Gorm_schema	LLGoFullLTONoGlobalDCE	43673057150	58844931000	1665990000
Uber_zap	LLGoDeadcodeDrop	21505327070	48236838000	1924254000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	32967124640	48511227000	1626581000
Uber_zap	LLGoNoLTO	21173305098	47830341000	1910067000
Toml	LLGoFullLTONoGlobalDCE	38182467360	47498714000	1325428000
K8s_workqueue	LLGoDeadcodeDrop	20032024016	42447003000	1888004000
K8s_workqueue	LLGoNoLTO	19501470041	41558871000	1930606000
Toml	LLGoFullLTOGlobalDCE	30978112300	40765381000	1256268000
Toml	LLGoFullLTOGlobalDCEPlugin	30155578891	39797228000	1264875000
IXGo	Go	11296446823	36960187000	3028657000
Gorm_schema	LLGoDeadcodeDrop	11995529140	32422702000	1504979000
Dustin_humanize	LLGoFullLTONoGlobalDCE	25883815188	31591684000	1105544000
Gorm_schema	LLGoNoLTO	11593614466	31186023000	1463389000
Etcdctl	Go	9028644419	28386688000	2073421000
Dustin_humanize	LLGoFullLTOGlobalDCE	17711730080	23761767000	1069734000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17578418018	23549989000	1087618000
Toml	LLGoNoLTO	8237002666	19647278000	1204457000
Toml	LLGoDeadcodeDrop	7846519670	19628999000	1096671000
XGo	Go	4960922400	15980002000	1177008000
Dustin_humanize	LLGoDeadcodeDrop	5577638564	11659618000	972885000
Dustin_humanize	LLGoNoLTO	5503117488	11464411000	968943000
Aws_restjson	Go	2826047676	6530848000	585743000
Gorm_schema	Go	1938245949	4787764000	366450000
Uber_zap	Go	1823077315	4420284000	389585000
K8s_workqueue	Go	1509667255	3917325000	368407000
Toml	Go	810921124	1604297000	203895000
Dustin_humanize	Go	321212914	589197000	94305000
